run_id,t,p_family,theta,source_feature,best_p0,best_sigma_p,best_alpha_source,best_branch_source,alpha_pref_readout,branch_pref_readout,pair_i,pair_j,p_i,p_j,delta_p,delta_p2,pair_weight,kbar_ij,kbar_abs_ij,kbar_sign,contrib_neg,contrib_abs,contrib_signed,contrib_primary,case_label,branch_basis,branch_label,pair_rank_primary,cumulative_primary
M33_V0_alpha_peak_robustness,20.0,P2,1e-08,abs,4.0,1.0,1.42,,1.42,,0,5,-4.0,3.0,-7.0,7.0,8.479854459370558e-14,-8.294671221577288e-09,8.294671221577288e-09,-1,7.03376047473048e-22,7.03376047473048e-22,-7.03376047473048e-22,7.03376047473048e-22,t=20.0__pf=P2__th=1e-08,nearest_branch_readout,S1,16,0.9999999999999956
M33_V0_alpha_peak_robustness,20.0,P2,1e-08,abs,4.0,1.0,1.42,,1.42,,0,6,-4.0,6.0,-10.0,-20.0,1.8921112835547295e-14,-9.929683959623849e-09,9.929683959623849e-09,-1,1.878806706213669e-22,1.878806706213669e-22,-1.878806706213669e-22,1.878806706213669e-22,t=20.0__pf=P2__th=1e-08,nearest_branch_readout,S1,17,0.9999999999999988
M33_V0_alpha_peak_robustness,20.0,P2,1e-08,abs,4.0,1.0,1.42,,1.42,,0,4,-4.0,1.0,-5.0,15.0,1.5531395210685333e-15,-5.38488489909561e-08,5.38488489909561e-08,-1,8.363477553190533e-23,8.363477553190533e-23,-8.363477553190533e-23,8.363477553190533e-23,t=20.0__pf=P2__th=1e-08,nearest_branch_readout,S1,18,1.0000000000000002
M33_V0_alpha_peak_robustness,20.0,P2,1e-08,abs,4.0,1.0,1.42,,1.42,,0,3,-4.0,0.0,-4.0,16.0,4.690074962606262e-17,1.6158196529045266e-08,1.6158196529045266e-08,1,0.0,7.578315298174661e-25,7.578315298174661e-25,7.578315298174661e-25,t=20.0__pf=P2__th=1e-08,nearest_branch_readout,S1,19,1.0000000000000002
M33_V0_alpha_peak_robustness,20.0,P2,1e-08,abs,4.0,1.0,1.42,,1.42,,0,2,-4.0,-1.0,-3.0,15.0,5.210202652368988e-19,4.19071292633022e-08,4.19071292633022e-08,1,0.0,2.1834463604082717e-26,2.1834463604082717e-26,2.1834463604082717e-26,t=20.0__pf=P2__th=1e-08,nearest_branch_readout,S1,20,1.0000000000000002
M33_V0_alpha_peak_robustness,20.0,P2,1e-08,abs,4.0,1.0,1.42,,1.42,,0,1,-4.0,-2.0,-2.0,12.0,2.1292907388311314e-21,-1.189269073810506e-07,1.189269073810506e-07,-1,2.532299624842988e-28,2.532299624842988e-28,-2.532299624842988e-28,2.532299624842988e-28,t=20.0__pf=P2__th=1e-08,nearest_branch_readout,S1,21,1.0000000000000002
M33_V0_alpha_peak_robustness,40.0,P2,1e-09,neg,-1.5,0.8,1.42,,1.42,,1,2,-2.0,-1.0,-1.0,3.0,0.6849279452059713,-2.883106040088568e-07,2.883106040088568e-07,-1,1.9747198958487876e-07,1.9747198958487876e-07,-1.9747198958487876e-07,1.9747198958487876e-07,t=40.0__pf=P2__th=1e-09,nearest_branch_readout,S1,1,0.748035350736259
M33_V0_alpha_peak_robustness,40.0,P2,1e-09,neg,-1.5,0.8,1.42,,1.42,,2,3,-1.0,0.0,-1.0,1.0,0.14356869669317482,-3.076415948438313e-07,3.076415948438313e-07,-1,4.416770282033859e-08,4.416770282033859e-08,-4.416770282033859e-08,4.416770282033859e-08,t=40.0__pf=P2__th=1e-09,nearest_branch_readout,S1,2,0.915345170928382
M33_V0_alpha_peak_robustness,40.0,P2,1e-09,neg,-1.5,0.8,1.42,,1.42,,1,3,-2.0,0.0,-2.0,4.0,0.14356869669317482,-1.429654210554493e-07,1.429654210554493e-07,-1,2.0525359173121827e-08,2.0525359173121827e-08,-2.0525359173121827e-08,2.0525359173121827e-08,t=40.0__pf=P2__th=1e-09,nearest_branch_readout,S1,3,0.9930964220315388
M33_V0_alpha_peak_robustness,40.0,P2,1e-09,neg,-1.5,0.8,1.42,,1.42,,2,4,-1.0,1.0,-2.0,0.0,0.006307968297007137,-1.631462848492157e-07,1.631462848492157e-07,-1,1.0291215926033484e-09,1.0291215926033484e-09,-1.0291215926033484e-09,1.0291215926033484e-09,t=40.0__pf=P2__th=1e-09,nearest_branch_readout,S1,4,0.9969947943176114
M33_V0_alpha_peak_robustness,40.0,P2,1e-09,neg,-1.5,0.8,1.42,,1.42,,3,4,0.0,1.0,-1.0,-1.0,0.0013222219848408147,-3.076415948481681e-07,3.076415948481681e-07,-1,4.067704801597386e-10,4.067704801597386e-10,-4.067704801597386e-10,4.067704801597386e-10,t=40.0__pf=P2__th=1e-09,nearest_branch_readout,S1,5,0.9985356644908198
M33_V0_alpha_peak_robustness,40.0,P2,1e-09,neg,-1.5,0.8,1.42,,1.42,,1,4,-2.0,1.0,-3.0,3.0,0.006307968297007137,-4.816170738088099e-08,4.816170738088099e-08,-1,3.0380252328833196e-10,3.0380252328833196e-10,-3.0380252328833196e-10,3.0380252328833196e-10,t=40.0__pf=P2__th=1e-09,nearest_branch_readout,S1,6,0.9996864860708337
M33_V0_alpha_peak_robustness,40.0,P2,1e-09,neg,-1.5,0.8,1.42,,1.42,,0,1,-4.0,-2.0,-2.0,12.0,0.006307968297007137,-1.0239328107619627e-08,1.0239328107619627e-08,-1,6.458935708551869e-11,6.458935708551869e-11,-6.458935708551869e-11,6.458935708551869e-11,t=40.0__pf=P2__th=1e-09,nearest_branch_readout,S1,7,0.9999311543019224
M33_V0_alpha_peak_robustness,40.0,P2,1e-09,neg,-1.5,0.8,1.42,,1.42,,0,3,-4.0,0.0,-4.0,16.0,0.0013222219848408147,-1.2841087476331281e-08,1.2841087476331281e-08,-1,1.6978768170469276e-11,1.6978768170469276e-11,-1.6978768170469276e-11,1.6978768170469276e-11,t=40.0__pf=P2__th=1e-09,nearest_branch_readout,S1,8,0.9999954708605906
M33_V0_alpha_peak_robustness,40.0,P2,1e-09,neg,-1.5,0.8,1.42,,1.42,,0,4,-4.0,1.0,-5.0,15.0,5.8094379583360915e-05,-2.0570449624918163e-08,2.0570449624918163e-08,-1,1.1950275087103998e-12,1.1950275087103998e-12,-1.1950275087103998e-12,1.1950275087103998e-12,t=40.0__pf=P2__th=1e-09,nearest_branch_readout,S1,9,0.9999999976941101
M33_V0_alpha_peak_robustness,40.0,P2,1e-09,neg,-1.5,0.8,1.42,,1.42,,3,5,0.0,3.0,-3.0,-9.0,2.350761006341341e-08,-2.2054085941150547e-08,2.2054085941150547e-08,-1,5.184388526095748e-16,5.184388526095748e-16,-5.184388526095748e-16,5.184388526095748e-16,t=40.0__pf=P2__th=1e-09,nearest_branch_readout,S1,10,0.9999999996579865
M33_V0_alpha_peak_robustness,40.0,P2,1e-09,neg,-1.5,0.8,1.42,,1.42,,4,5,1.0,3.0,-2.0,-8.0,1.0328523030011398e-09,-8.74154934202287e-08,8.74154934202287e-08,-1,9.02872936970642e-17,9.02872936970642e-17,-9.02872936970642e-17,9.02872936970642e-17,t=40.0__pf=P2__th=1e-09,nearest_branch_readout,S1,11,1.0
M33_V0_alpha_peak_robustness,40.0,P2,1e-09,neg,-1.5,0.8,1.42,,1.42,,2,6,-1.0,6.0,-7.0,-35.0,6.843232612424201e-20,-6.0183353821352545e-09,6.0183353821352545e-09,-1,4.118486895953444e-28,4.118486895953444e-28,-4.118486895953444e-28,4.118486895953444e-28,t=40.0__pf=P2__th=1e-09,nearest_branch_readout,S1,12,1.0
M33_V0_alpha_peak_robustness,40.0,P2,1e-09,neg,-1.5,0.8,1.42,,1.42,,3,6,0.0,6.0,-6.0,-36.0,1.4344194804878684e-20,-1.0679268112184781e-08,1.0679268112184781e-08,-1,1.5318550217470754e-28,1.5318550217470754e-28,-1.5318550217470754e-28,1.5318550217470754e-28,t=40.0__pf=P2__th=1e-09,nearest_branch_readout,S1,13,1.0
M33_V0_alpha_peak_robustness,40.0,P2,1e-09,neg,-1.5,0.8,1.42,,1.42,,4,6,1.0,6.0,-5.0,-35.0,6.302399350231806e-22,-2.0562816801725226e-08,2.0562816801725226e-08,-1,1.2959508325012875e-29,1.2959508325012875e-29,-1.2959508325012875e-29,1.2959508325012875e-29,t=40.0__pf=P2__th=1e-09,nearest_branch_readout,S1,14,1.0
M33_V0_alpha_peak_robustness,40.0,P2,1e-09,neg,-1.5,0.8,1.42,,1.42,,0,2,-4.0,-1.0,-3.0,15.0,0.006307968297007137,1.6008670666867175e-08,1.6008670666867175e-08,1,0.0,1.0098218704382625e-10,1.0098218704382625e-10,0.0,t=40.0__pf=P2__th=1e-09,nearest_branch_readout,S1,15,1.0
M33_V0_alpha_peak_robustness,40.0,P2,1e-09,neg,-1.5,0.8,1.42,,1.42,,0,5,-4.0,3.0,-7.0,7.0,1.0328523030011398e-09,1.2417277686985197e-08,1.2417277686985197e-08,1,0.0,1.2825213856007326e-17,1.2825213856007326e-17,0.0,t=40.0__pf=P2__th=1e-09,nearest_branch_readout,S1,16,1.0
M33_V0_alpha_peak_robustness,40.0,P2,1e-09,neg,-1.5,0.8,1.42,,1.42,,0,6,-4.0,6.0,-10.0,-20.0,6.302399350231806e-22,2.5999091144736364e-08,2.5999091144736364e-08,1,0.0,1.6385665513720396e-29,1.6385665513720396e-29,0.0,t=40.0__pf=P2__th=1e-09,nearest_branch_readout,S1,17,1.0
M33_V0_alpha_peak_robustness,40.0,P2,1e-09,neg,-1.5,0.8,1.42,,1.42,,1,5,-2.0,3.0,-5.0,-5.0,1.1214853535828185e-07,5.3847669660885e-08,5.3847669660885e-08,1,0.0,6.038937284924842e-15,6.038937284924842e-15,0.0,t=40.0__pf=P2__th=1e-09,nearest_branch_readout,S1,18,1.0
M33_V0_alpha_peak_robustness,40.0,P2,1e-09,neg,-1.5,0.8,1.42,,1.42,,1,6,-2.0,6.0,-8.0,-32.0,6.843232612424201e-20,1.252064467729963e-08,1.252064467729963e-08,1,0.0,8.568168398427232e-28,8.568168398427232e-28,0.0,t=40.0__pf=P2__th=1e-09,nearest_branch_readout,S1,19,1.0
M33_V0_alpha_peak_robustness,40.0,P2,1e-09,neg,-1.5,0.8,1.42,,1.42,,2,5,-1.0,3.0,-4.0,-8.0,1.1214853535828185e-07,1.6158196518636925e-08,1.6158196518636925e-08,1,0.0,1.81211807359642e-15,1.81211807359642e-15,0.0,t=40.0__pf=P2__th=1e-09,nearest_branch_readout,S1,20,1.0
M33_V0_alpha_peak_robustness,40.0,P2,1e-09,neg,-1.5,0.8,1.42,,1.42,,5,6,3.0,6.0,-3.0,-27.0,1.1204952578896648e-26,5.017116813752637e-08,5.017116813752637e-08,1,0.0,5.621655598088334e-34,5.621655598088334e-34,0.0,t=40.0__pf=P2__th=1e-09,nearest_branch_readout,S1,21,1.0
M33_V0_alpha_peak_robustness,2.0,P1,3e-09,neg,3.5,0.3,1.58,,1.58,,5,6,2.0,4.0,-2.0,-12.0,0.9999999997766336,-1.6215227527848974e-07,1.6215227527848974e-07,-1,1.6215227524227038e-07,1.6215227524227038e-07,-1.6215227524227038e-07,1.6215227524227038e-07,t=2.0__pf=P1__th=3e-09,nearest_branch_readout,S2,1,1.0
M33_V0_alpha_peak_robustness,2.0,P1,3e-09,neg,3.5,0.3,1.58,,1.58,,3,5,0.0,2.0,-2.0,-4.0,1.1143831575914239e-29,-1.6303573948175942e-07,1.6303573948175942e-07,-1,1.8168428216393583e-36,1.8168428216393583e-36,-1.8168428216393583e-36,1.8168428216393583e-36,t=2.0__pf=P1__th=3e-09,nearest_branch_readout,S2,2,1.0
M33_V0_alpha_peak_robustness,2.0,P1,3e-09,neg,3.5,0.3,1.58,,1.58,,3,4,0.0,1.0,-1.0,-1.0,2.489121252771551e-39,-2.853897416998929e-09,2.853897416998929e-09,-1,7.103696713881868e-48,7.103696713881868e-48,-7.103696713881868e-48,7.103696713881868e-48,t=2.0__pf=P1__th=3e-09,nearest_branch_readout,S2,3,1.0
M33_V0_alpha_peak_robustness,2.0,P1,3e-09,neg,3.5,0.3,1.58,,1.58,,2,6,-1.0,4.0,-5.0,-15.0,3.7200759751898963e-44,-9.159781029152714e-09,9.159781029152714e-09,-1,3.407508134455119e-52,3.407508134455119e-52,-3.407508134455119e-52,3.407508134455119e-52,t=2.0__pf=P1__th=3e-09,nearest_branch_readout,S2,4,1.0
M33_V0_alpha_peak_robustness,2.0,P1,3e-09,neg,3.5,0.3,1.58,,1.58,,2,4,-1.0,1.0,-2.0,0.0,1.2418498222008253e-58,-1.631462848492157e-07,1.631462848492157e-07,-1,2.026031848327237e-65,2.026031848327237e-65,-2.026031848327237e-65,2.026031848327237e-65,t=2.0__pf=P1__th=3e-09,nearest_branch_readout,S2,5,1.0
M33_V0_alpha_peak_robustness,2.0,P1,3e-09,neg,3.5,0.3,1.58,,1.58,,2,3,-1.0,0.0,-1.0,1.0,4.145590012638098e-73,-2.853897444754505e-09,2.853897444754505e-09,-1,1.1831088744067665e-81,1.1831088744067665e-81,-1.1831088744067665e-81,1.1831088744067665e-81,t=2.0__pf=P1__th=3e-09,nearest_branch_readout,S2,6,1.0
M33_V0_alpha_peak_robustness,2.0,P1,3e-09,neg,3.5,0.3,1.58,,1.58,,1,3,-2.0,0.0,-2.0,4.0,3.091114785881044e-97,-1.6303573947904894e-07,1.6303573947904894e-07,-1,5.039621849307381e-104,5.039621849307381e-104,-5.039621849307381e-104,5.039621849307381e-104,t=2.0__pf=P1__th=3e-09,nearest_branch_readout,S2,7,1.0
M33_V0_alpha_peak_robustness,2.0,P1,3e-09,neg,3.5,0.3,1.58,,1.58,,0,6,-3.0,4.0,-7.0,-7.0,3.0911147858810796e-97,-1.2541965747209227e-09,1.2541965747209227e-09,-1,3.8768655765212484e-106,3.8768655765212484e-106,-3.8768655765212484e-106,3.8768655765212484e-106,t=2.0__pf=P1__th=3e-09,nearest_branch_readout,S2,8,1.0
M33_V0_alpha_peak_robustness,2.0,P1,3e-09,neg,3.5,0.3,1.58,,1.58,,0,3,-3.0,0.0,-3.0,9.0,3.444686256337123e-126,-4.285796165875988e-09,4.285796165875988e-09,-1,1.4763223150055353e-134,1.4763223150055353e-134,-1.4763223150055353e-134,1.4763223150055353e-134,t=2.0__pf=P1__th=3e-09,nearest_branch_readout,S2,9,1.0
M33_V0_alpha_peak_robustness,2.0,P1,3e-09,neg,3.5,0.3,1.58,,1.58,,0,2,-3.0,-1.0,-2.0,8.0,1.7185916556723453e-145,-1.627042532249129e-07,1.627042532249129e-07,-1,2.796221719347356e-152,2.796221719347356e-152,-2.796221719347356e-152,2.796221719347356e-152,t=2.0__pf=P1__th=3e-09,nearest_branch_readout,S2,10,1.0
M33_V0_alpha_peak_robustness,2.0,P1,3e-09,neg,3.5,0.3,1.58,,1.58,,0,1,-3.0,-2.0,-1.0,5.0,1.2814494587128702e-169,-1.4264652709039538e-08,1.4264652709039538e-08,-1,1.8279431492725795e-177,1.8279431492725795e-177,-1.8279431492725795e-177,1.8279431492725795e-177,t=2.0__pf=P1__th=3e-09,nearest_branch_readout,S2,11,1.0
M33_V0_alpha_peak_robustness,2.0,P1,3e-09,neg,3.5,0.3,1.58,,1.58,,0,5,-3.0,2.0,-5.0,5.0,4.619775689395004e-102,3.0618998256987107e-09,3.0618998256987107e-09,1,0.0,1.4145290378125705e-110,1.4145290378125705e-110,0.0,t=2.0__pf=P1__th=3e-09,nearest_branch_readout,S2,12,1.0
M33_V0_alpha_peak_robustness,2.0,P1,3e-09,neg,3.5,0.3,1.58,,1.58,,0,4,-3.0,1.0,-4.0,8.0,1.0318876208039836e-111,3.0074843686191816e-08,3.0074843686191816e-08,1,0.0,3.103385889739618e-119,3.103385889739618e-119,0.0,t=2.0__pf=P1__th=3e-09,nearest_branch_readout,S2,13,1.0
M33_V0_alpha_peak_robustness,2.0,P1,3e-09,neg,3.5,0.3,1.58,,1.58,,1,5,-2.0,2.0,-4.0,0.0,4.145590012638039e-73,3.0156550399960784e-08,3.0156550399960784e-08,1,0.0,1.2501669415369308e-80,1.2501669415369308e-80,0.0,t=2.0__pf=P1__th=3e-09,nearest_branch_readout,S2,14,1.0
M33_V0_alpha_peak_robustness,2.0,P1,3e-09,neg,3.5,0.3,1.58,,1.58,,1,6,-2.0,4.0,-6.0,-12.0,2.773834801911028e-68,5.6670724092816954e-08,5.6670724092816954e-08,1,0.0,1.5719522673815344e-75,1.5719522673815344e-75,0.0,t=2.0__pf=P1__th=3e-09,nearest_branch_readout,S2,15,1.0
M33_V0_alpha_peak_robustness,2.0,P1,3e-09,neg,3.5,0.3,1.58,,1.58,,1,2,-2.0,-1.0,-1.0,3.0,1.5421909812446685e-116,8.560725364703536e-09,8.560725364703536e-09,1,0.0,1.320227345035827e-124,1.320227345035827e-124,0.0,t=2.0__pf=P1__th=3e-09,nearest_branch_readout,S2,16,1.0
M33_V0_alpha_peak_robustness,2.0,P1,3e-09,neg,3.5,0.3,1.58,,1.58,,1,4,-2.0,1.0,-3.0,3.0,9.259720173838204e-83,1.4300519622645336e-09,1.4300519622645336e-09,1,0.0,1.3241881004617812e-91,1.3241881004617812e-91,0.0,t=2.0__pf=P1__th=3e-09,nearest_branch_readout,S2,17,1.0
M33_V0_alpha_peak_robustness,2.0,P1,3e-09,neg,3.5,0.3,1.58,,1.58,,2,5,-1.0,2.0,-3.0,-3.0,5.559779478711946e-49,1.4300519449172984e-09,1.4300519449172984e-09,1,0.0,7.950773456843301e-58,7.950773456843301e-58,0.0,t=2.0__pf=P1__th=3e-09,nearest_branch_readout,S2,18,1.0
M33_V0_alpha_peak_robustness,2.0,P1,3e-09,neg,3.5,0.3,1.58,,1.58,,3,6,0.0,4.0,-4.0,-16.0,7.456392879583304e-25,2.9830166249460166e-08,2.9830166249460166e-08,1,0.0,2.2242543921926096e-32,2.2242543921926096e-32,0.0,t=2.0__pf=P1__th=3e-09,nearest_branch_readout,S2,19,1.0
M33_V0_alpha_peak_robustness,2.0,P1,3e-09,neg,3.5,0.3,1.58,,1.58,,4,5,1.0,2.0,-1.0,-3.0,3.338237794619358e-15,8.560725343886855e-09,8.560725343886855e-09,1,0.0,2.85777368923189e-23,2.85777368923189e-23,0.0,t=2.0__pf=P1__th=3e-09,nearest_branch_readout,S2,20,1.0
M33_V0_alpha_peak_robustness,2.0,P1,3e-09,neg,3.5,0.3,1.58,,1.58,,4,6,1.0,4.0,-3.0,-15.0,2.2336314357042476e-10,7.128474147771735e-09,7.128474147771735e-09,1,0.0,1.5922383945067994e-18,1.5922383945067994e-18,0.0,t=2.0__pf=P1__th=3e-09,nearest_branch_readout,S2,21,1.0
M33_V0_alpha_peak_robustness,10.0,P2,1e-09,neg,-4.0,0.3,1.78,,1.78,,0,1,-4.0,-2.0,-2.0,12.0,0.9999999999991366,-1.631299518183678e-07,1.631299518183678e-07,-1,1.6312995181822696e-07,1.6312995181822696e-07,-1.6312995181822696e-07,1.6312995181822696e-07,t=10.0__pf=P2__th=1e-09,nearest_branch_readout,S3,1,1.0
