run_id,t,p_family,theta,source_feature,best_p0,best_sigma_p,best_alpha_source,best_branch_source,alpha_pref_readout,branch_pref_readout,pair_i,pair_j,p_i,p_j,delta_p,delta_p2,pair_weight,kbar_ij,kbar_abs_ij,kbar_sign,contrib_neg,contrib_abs,contrib_signed,contrib_primary,pair_rank_primary,cumulative_primary,case_label,branch_basis,branch_label
M33_V0_alpha_peak_robustness,2.0,P1,1e-09,neg,3.5,0.3,1.58,S2,1.58,S2,5,6,2.0,4.0,-2.0,-12.0,0.9999999997766336,-1.6215227527848974e-07,1.6215227527848974e-07,-1,1.621522752422704e-07,1.621522752422704e-07,-1.621522752422704e-07,1.621522752422704e-07,1,1.0,t=2.0__pf=P1__th=1e-09,,
M33_V0_alpha_peak_robustness,2.0,P1,1e-09,neg,3.5,0.3,1.58,S2,1.58,S2,3,5,0.0,2.0,-2.0,-4.0,1.114383157591424e-29,-1.6303573948175942e-07,1.6303573948175942e-07,-1,1.8168428216393583e-36,1.8168428216393583e-36,-1.8168428216393583e-36,1.8168428216393583e-36,2,1.0,t=2.0__pf=P1__th=1e-09,,
M33_V0_alpha_peak_robustness,2.0,P1,1e-09,neg,3.5,0.3,1.58,S2,1.58,S2,3,4,0.0,1.0,-1.0,-1.0,2.4891212527715507e-39,-2.853897416998929e-09,2.853897416998929e-09,-1,7.103696713881867e-48,7.103696713881867e-48,-7.103696713881867e-48,7.103696713881867e-48,3,1.0,t=2.0__pf=P1__th=1e-09,,
M33_V0_alpha_peak_robustness,2.0,P1,1e-09,neg,3.5,0.3,1.58,S2,1.58,S2,2,6,-1.0,4.0,-5.0,-15.0,3.7200759751898963e-44,-9.159781029152714e-09,9.159781029152714e-09,-1,3.407508134455119e-52,3.407508134455119e-52,-3.407508134455119e-52,3.407508134455119e-52,4,1.0,t=2.0__pf=P1__th=1e-09,,
M33_V0_alpha_peak_robustness,2.0,P1,1e-09,neg,3.5,0.3,1.58,S2,1.58,S2,2,4,-1.0,1.0,-2.0,0.0,1.2418498222008253e-58,-1.631462848492157e-07,1.631462848492157e-07,-1,2.026031848327237e-65,2.026031848327237e-65,-2.026031848327237e-65,2.026031848327237e-65,5,1.0,t=2.0__pf=P1__th=1e-09,,
M33_V0_alpha_peak_robustness,2.0,P1,1e-09,neg,3.5,0.3,1.58,S2,1.58,S2,2,3,-1.0,0.0,-1.0,1.0,4.145590012638098e-73,-2.853897444754505e-09,2.853897444754505e-09,-1,1.1831088744067663e-81,1.1831088744067663e-81,-1.1831088744067663e-81,1.1831088744067663e-81,6,1.0,t=2.0__pf=P1__th=1e-09,,
M33_V0_alpha_peak_robustness,2.0,P1,1e-09,neg,3.5,0.3,1.58,S2,1.58,S2,1,3,-2.0,0.0,-2.0,4.0,3.091114785881044e-97,-1.6303573947904894e-07,1.6303573947904894e-07,-1,5.039621849307381e-104,5.039621849307381e-104,-5.039621849307381e-104,5.039621849307381e-104,7,1.0,t=2.0__pf=P1__th=1e-09,,
M33_V0_alpha_peak_robustness,2.0,P1,1e-09,neg,3.5,0.3,1.58,S2,1.58,S2,0,6,-3.0,4.0,-7.0,-7.0,3.09111478588108e-97,-1.2541965747209227e-09,1.2541965747209227e-09,-1,3.876865576521248e-106,3.876865576521248e-106,-3.876865576521248e-106,3.876865576521248e-106,8,1.0,t=2.0__pf=P1__th=1e-09,,
M33_V0_alpha_peak_robustness,2.0,P1,1e-09,neg,3.5,0.3,1.58,S2,1.58,S2,0,3,-3.0,0.0,-3.0,9.0,3.444686256337123e-126,-4.285796165875988e-09,4.285796165875988e-09,-1,1.4763223150055353e-134,1.4763223150055353e-134,-1.4763223150055353e-134,1.4763223150055353e-134,9,1.0,t=2.0__pf=P1__th=1e-09,,
M33_V0_alpha_peak_robustness,2.0,P1,1e-09,neg,3.5,0.3,1.58,S2,1.58,S2,0,2,-3.0,-1.0,-2.0,8.0,1.718591655672345e-145,-1.627042532249129e-07,1.627042532249129e-07,-1,2.796221719347356e-152,2.796221719347356e-152,-2.796221719347356e-152,2.796221719347356e-152,10,1.0,t=2.0__pf=P1__th=1e-09,,
M33_V0_alpha_peak_robustness,2.0,P1,1e-09,neg,3.5,0.3,1.58,S2,1.58,S2,0,1,-3.0,-2.0,-1.0,5.0,1.2814494587128702e-169,-1.4264652709039538e-08,1.4264652709039538e-08,-1,1.8279431492725795e-177,1.8279431492725795e-177,-1.8279431492725795e-177,1.8279431492725795e-177,11,1.0,t=2.0__pf=P1__th=1e-09,,
