run_id,t,p_family,theta,source_feature,class_mode,class_label,n_pairs_in_class,sum_pair_weight,sum_contrib_primary,mean_contrib_primary,max_contrib_primary,class_rank,cumulative_class_contrib,case_label,branch_basis,branch_label
M33_V0_alpha_peak_robustness,20.0,P2,1e-08,abs,delta_p2,dp2=-36,1,0.0005012036687333612,1.8217061988058543e-11,1.8217061988058543e-11,1.8217061988058543e-11,5,0.9999849055180817,t=20.0__pf=P2__th=1e-08,nearest_branch_readout,S1
M33_V0_alpha_peak_robustness,20.0,P2,1e-08,abs,delta_p2,dp2=-1,1,4.114130245827098e-05,8.010575866779422e-13,8.010575866779422e-13,8.010575866779422e-13,6,0.9999986739926487,t=20.0__pf=P2__th=1e-08,nearest_branch_readout,S1
M33_V0_alpha_peak_robustness,20.0,P2,1e-08,abs,delta_p2,dp2=0,1,4.570385865877121e-07,7.456414743452181e-14,7.456414743452181e-14,7.456414743452181e-14,7,0.9999999555916057,t=20.0__pf=P2__th=1e-08,nearest_branch_readout,S1
M33_V0_alpha_peak_robustness,20.0,P2,1e-08,abs,delta_p2,dp2=-5,1,1.0197909301932822e-07,2.0975611957776215e-15,2.0975611957776215e-15,2.0975611957776215e-15,8,0.9999999916442173,t=20.0__pf=P2__th=1e-08,nearest_branch_readout,S1
M33_V0_alpha_peak_robustness,20.0,P2,1e-08,abs,delta_p2,dp2=1,1,1.3801369437983653e-08,2.6872488236209673e-16,2.6872488236209673e-16,2.6872488236209673e-16,9,0.9999999962630258,t=20.0__pf=P2__th=1e-08,nearest_branch_readout,S1
M33_V0_alpha_peak_robustness,20.0,P2,1e-08,abs,delta_p2,dp2=-32,1,2.2754611357194333e-08,1.9033925756516944e-16,1.9033925756516944e-16,1.9033925756516944e-16,10,0.9999999995345524,t=20.0__pf=P2__th=1e-08,nearest_branch_readout,S1
M33_V0_alpha_peak_robustness,20.0,P2,1e-08,abs,delta_p2,dp2=3,2,1.868438823145759e-09,1.8166177855640947e-17,9.083088927820473e-18,1.812976999330386e-17,11,0.9999999998467903,t=20.0__pf=P2__th=1e-08,nearest_branch_readout,S1
M33_V0_alpha_peak_robustness,20.0,P2,1e-08,abs,delta_p2,dp2=4,1,5.6403042430842475e-11,8.912839708623362e-18,8.912839708623362e-18,8.912839708623362e-18,12,0.999999999999983,t=20.0__pf=P2__th=1e-08,nearest_branch_readout,S1
M33_V0_alpha_peak_robustness,20.0,P2,1e-08,abs,delta_p2,dp2=7,1,8.479854459370558e-14,7.03376047473048e-22,7.03376047473048e-22,7.03376047473048e-22,13,0.9999999999999951,t=20.0__pf=P2__th=1e-08,nearest_branch_readout,S1
M33_V0_alpha_peak_robustness,20.0,P2,1e-08,abs,delta_p2,dp2=-20,1,1.8921112835547295e-14,1.878806706213669e-22,1.878806706213669e-22,1.878806706213669e-22,14,0.9999999999999983,t=20.0__pf=P2__th=1e-08,nearest_branch_readout,S1
