edge_id,source,target,edge_type,source_degree,target_degree,shared_face_count,shared_faces,shared_face_types,weight,distance,comment
e_001,c60_001,c60_002,5_6,3,3,2,H_01;P_00,"H,P",0.85,0.17647058823529416,C60 combinatorial edge from truncated-icosahedral construction.
e_002,c60_001,c60_005,5_6,3,3,2,H_05;P_00,"H,P",0.85,0.17647058823529416,C60 combinatorial edge from truncated-icosahedral construction.
e_003,c60_001,c60_006,6_6,3,3,2,H_01;H_05,"H,H",1.0,0.0,C60 combinatorial edge from truncated-icosahedral construction.
e_004,c60_002,c60_003,5_6,3,3,2,H_02;P_00,"H,P",0.85,0.17647058823529416,C60 combinatorial edge from truncated-icosahedral construction.
e_005,c60_002,c60_011,6_6,3,3,2,H_01;H_02,"H,H",1.0,0.0,C60 combinatorial edge from truncated-icosahedral construction.
e_006,c60_003,c60_004,5_6,3,3,2,H_03;P_00,"H,P",0.85,0.17647058823529416,C60 combinatorial edge from truncated-icosahedral construction.
e_007,c60_003,c60_016,6_6,3,3,2,H_02;H_03,"H,H",1.0,0.0,C60 combinatorial edge from truncated-icosahedral construction.
e_008,c60_004,c60_005,5_6,3,3,2,H_04;P_00,"H,P",0.85,0.17647058823529416,C60 combinatorial edge from truncated-icosahedral construction.
e_009,c60_004,c60_021,6_6,3,3,2,H_03;H_04,"H,H",1.0,0.0,C60 combinatorial edge from truncated-icosahedral construction.
e_010,c60_005,c60_026,6_6,3,3,2,H_04;H_05,"H,H",1.0,0.0,C60 combinatorial edge from truncated-icosahedral construction.
e_011,c60_006,c60_007,5_6,3,3,2,H_01;P_01,"H,P",0.85,0.17647058823529416,C60 combinatorial edge from truncated-icosahedral construction.
e_012,c60_006,c60_008,5_6,3,3,2,H_05;P_01,"H,P",0.85,0.17647058823529416,C60 combinatorial edge from truncated-icosahedral construction.
e_013,c60_007,c60_009,5_6,3,3,2,H_06;P_01,"H,P",0.85,0.17647058823529416,C60 combinatorial edge from truncated-icosahedral construction.
e_014,c60_007,c60_012,6_6,3,3,2,H_01;H_06,"H,H",1.0,0.0,C60 combinatorial edge from truncated-icosahedral construction.
e_015,c60_008,c60_010,5_6,3,3,2,H_14;P_01,"H,P",0.85,0.17647058823529416,C60 combinatorial edge from truncated-icosahedral construction.
e_016,c60_008,c60_027,6_6,3,3,2,H_05;H_14,"H,H",1.0,0.0,C60 combinatorial edge from truncated-icosahedral construction.
e_017,c60_009,c60_010,5_6,3,3,2,H_15;P_01,"H,P",0.85,0.17647058823529416,C60 combinatorial edge from truncated-icosahedral construction.
