structure_id,edge_id,source,target,source_source_id,target_source_id,edge_class,boundary_edge,periodic_edge,cell_left,cell_right,cell_count,edge_role_hint
graphene_patch,graphene_patch_n0008--graphene_patch_n0023,graphene_patch_n0008,graphene_patch_n0023,graphene_patch_n0008,graphene_patch_n0023,hex_hex_proxy,0,0,graphene_patch_cell_01_00,graphene_patch_cell_01_01,2,hex_hex_proxy
graphene_patch,graphene_patch_n0026--graphene_patch_n0027,graphene_patch_n0026,graphene_patch_n0027,graphene_patch_n0026,graphene_patch_n0027,hex_hex_proxy,0,0,graphene_patch_cell_01_01,graphene_patch_cell_02_02,2,hex_hex_proxy
graphene_patch,graphene_patch_n0023--graphene_patch_n0027,graphene_patch_n0023,graphene_patch_n0027,graphene_patch_n0023,graphene_patch_n0027,hex_hex_proxy,0,0,graphene_patch_cell_01_01,graphene_patch_cell_02_01,2,hex_hex_proxy
graphene_patch,graphene_patch_n0012--graphene_patch_n0026,graphene_patch_n0012,graphene_patch_n0026,graphene_patch_n0012,graphene_patch_n0026,hex_hex_proxy,0,0,graphene_patch_cell_01_01,graphene_patch_cell_01_02,2,hex_hex_proxy
graphene_patch,graphene_patch_n0028--graphene_patch_n0029,graphene_patch_n0028,graphene_patch_n0029,graphene_patch_n0028,graphene_patch_n0029,hex_hex_proxy,0,0,graphene_patch_cell_01_02,graphene_patch_cell_02_03,2,hex_hex_proxy
graphene_patch,graphene_patch_n0026--graphene_patch_n0029,graphene_patch_n0026,graphene_patch_n0029,graphene_patch_n0026,graphene_patch_n0029,hex_hex_proxy,0,0,graphene_patch_cell_01_02,graphene_patch_cell_02_02,2,hex_hex_proxy
graphene_patch,graphene_patch_n0016--graphene_patch_n0028,graphene_patch_n0016,graphene_patch_n0028,graphene_patch_n0016,graphene_patch_n0028,hex_hex_proxy,0,0,graphene_patch_cell_01_02,graphene_patch_cell_01_03,2,hex_hex_proxy
graphene_patch,graphene_patch_n0030--graphene_patch_n0031,graphene_patch_n0030,graphene_patch_n0031,graphene_patch_n0030,graphene_patch_n0031,hex_hex_proxy,0,0,graphene_patch_cell_01_03,graphene_patch_cell_02_04,2,hex_hex_proxy
graphene_patch,graphene_patch_n0028--graphene_patch_n0031,graphene_patch_n0028,graphene_patch_n0031,graphene_patch_n0028,graphene_patch_n0031,hex_hex_proxy,0,0,graphene_patch_cell_01_03,graphene_patch_cell_02_03,2,hex_hex_proxy
graphene_patch,graphene_patch_n0020--graphene_patch_n0030,graphene_patch_n0020,graphene_patch_n0030,graphene_patch_n0020,graphene_patch_n0030,hex_hex_proxy,0,0,graphene_patch_cell_01_03,graphene_patch_cell_01_04,2,hex_hex_proxy
graphene_patch,graphene_patch_n0032--graphene_patch_n0033,graphene_patch_n0032,graphene_patch_n0033,graphene_patch_n0032,graphene_patch_n0033,boundary_edge,1,0,graphene_patch_cell_01_04,,1,hex_hex_proxy
graphene_patch,graphene_patch_n0030--graphene_patch_n0033,graphene_patch_n0030,graphene_patch_n0033,graphene_patch_n0030,graphene_patch_n0033,hex_hex_proxy,0,0,graphene_patch_cell_01_04,graphene_patch_cell_02_04,2,hex_hex_proxy
graphene_patch,graphene_patch_n0019--graphene_patch_n0034,graphene_patch_n0019,graphene_patch_n0034,graphene_patch_n0019,graphene_patch_n0034,boundary_edge,1,0,graphene_patch_cell_01_04,,1,hex_hex_proxy
graphene_patch,graphene_patch_n0032--graphene_patch_n0034,graphene_patch_n0032,graphene_patch_n0034,graphene_patch_n0032,graphene_patch_n0034,boundary_edge,1,0,graphene_patch_cell_01_04,,1,hex_hex_proxy
graphene_patch,graphene_patch_n0035--graphene_patch_n0036,graphene_patch_n0035,graphene_patch_n0036,graphene_patch_n0035,graphene_patch_n0036,hex_hex_proxy,0,0,graphene_patch_cell_02_00,graphene_patch_cell_03_00,2,hex_hex_proxy
graphene_patch,graphene_patch_n0036--graphene_patch_n0037,graphene_patch_n0036,graphene_patch_n0037,graphene_patch_n0036,graphene_patch_n0037,boundary_edge,1,0,graphene_patch_cell_02_00,,1,hex_hex_proxy
graphene_patch,graphene_patch_n0037--graphene_patch_n0038,graphene_patch_n0037,graphene_patch_n0038,graphene_patch_n0037,graphene_patch_n0038,boundary_edge,1,0,graphene_patch_cell_02_00,,1,hex_hex_proxy
graphene_patch,graphene_patch_n0025--graphene_patch_n0038,graphene_patch_n0025,graphene_patch_n0038,graphene_patch_n0025,graphene_patch_n0038,boundary_edge,1,0,graphene_patch_cell_02_00,,1,hex_hex_proxy
graphene_patch,graphene_patch_n0024--graphene_patch_n0035,graphene_patch_n0024,graphene_patch_n0035,graphene_patch_n0024,graphene_patch_n0035,hex_hex_proxy,0,0,graphene_patch_cell_02_00,graphene_patch_cell_02_01,2,hex_hex_proxy
graphene_patch,graphene_patch_n0039--graphene_patch_n0040,graphene_patch_n0039,graphene_patch_n0040,graphene_patch_n0039,graphene_patch_n0040,hex_hex_proxy,0,0,graphene_patch_cell_02_01,graphene_patch_cell_03_01,2,hex_hex_proxy
graphene_patch,graphene_patch_n0035--graphene_patch_n0040,graphene_patch_n0035,graphene_patch_n0040,graphene_patch_n0035,graphene_patch_n0040,hex_hex_proxy,0,0,graphene_patch_cell_02_01,graphene_patch_cell_03_00,2,hex_hex_proxy
graphene_patch,graphene_patch_n0027--graphene_patch_n0039,graphene_patch_n0027,graphene_patch_n0039,graphene_patch_n0027,graphene_patch_n0039,hex_hex_proxy,0,0,graphene_patch_cell_02_01,graphene_patch_cell_02_02,2,hex_hex_proxy
graphene_patch,graphene_patch_n0041--graphene_patch_n0042,graphene_patch_n0041,graphene_patch_n0042,graphene_patch_n0041,graphene_patch_n0042,hex_hex_proxy,0,0,graphene_patch_cell_02_02,graphene_patch_cell_03_02,2,hex_hex_proxy
graphene_patch,graphene_patch_n0039--graphene_patch_n0042,graphene_patch_n0039,graphene_patch_n0042,graphene_patch_n0039,graphene_patch_n0042,hex_hex_proxy,0,0,graphene_patch_cell_02_02,graphene_patch_cell_03_01,2,hex_hex_proxy
graphene_patch,graphene_patch_n0029--graphene_patch_n0041,graphene_patch_n0029,graphene_patch_n0041,graphene_patch_n0029,graphene_patch_n0041,hex_hex_proxy,0,0,graphene_patch_cell_02_02,graphene_patch_cell_02_03,2,hex_hex_proxy
graphene_patch,graphene_patch_n0043--graphene_patch_n0044,graphene_patch_n0043,graphene_patch_n0044,graphene_patch_n0043,graphene_patch_n0044,hex_hex_proxy,0,0,graphene_patch_cell_02_03,graphene_patch_cell_03_03,2,hex_hex_proxy
graphene_patch,graphene_patch_n0041--graphene_patch_n0044,graphene_patch_n0041,graphene_patch_n0044,graphene_patch_n0041,graphene_patch_n0044,hex_hex_proxy,0,0,graphene_patch_cell_02_03,graphene_patch_cell_03_02,2,hex_hex_proxy
graphene_patch,graphene_patch_n0031--graphene_patch_n0043,graphene_patch_n0031,graphene_patch_n0043,graphene_patch_n0031,graphene_patch_n0043,hex_hex_proxy,0,0,graphene_patch_cell_02_03,graphene_patch_cell_02_04,2,hex_hex_proxy
graphene_patch,graphene_patch_n0045--graphene_patch_n0046,graphene_patch_n0045,graphene_patch_n0046,graphene_patch_n0045,graphene_patch_n0046,hex_hex_proxy,0,0,graphene_patch_cell_02_04,graphene_patch_cell_03_04,2,hex_hex_proxy
graphene_patch,graphene_patch_n0043--graphene_patch_n0046,graphene_patch_n0043,graphene_patch_n0046,graphene_patch_n0043,graphene_patch_n0046,hex_hex_proxy,0,0,graphene_patch_cell_02_04,graphene_patch_cell_03_03,2,hex_hex_proxy
graphene_patch,graphene_patch_n0033--graphene_patch_n0045,graphene_patch_n0033,graphene_patch_n0045,graphene_patch_n0033,graphene_patch_n0045,boundary_edge,1,0,graphene_patch_cell_02_04,,1,hex_hex_proxy
graphene_patch,graphene_patch_n0047--graphene_patch_n0048,graphene_patch_n0047,graphene_patch_n0048,graphene_patch_n0047,graphene_patch_n0048,boundary_edge,1,0,graphene_patch_cell_03_00,,1,hex_hex_proxy
graphene_patch,graphene_patch_n0048--graphene_patch_n0049,graphene_patch_n0048,graphene_patch_n0049,graphene_patch_n0048,graphene_patch_n0049,boundary_edge,1,0,graphene_patch_cell_03_00,,1,hex_hex_proxy
graphene_patch,graphene_patch_n0036--graphene_patch_n0049,graphene_patch_n0036,graphene_patch_n0049,graphene_patch_n0036,graphene_patch_n0049,boundary_edge,1,0,graphene_patch_cell_03_00,,1,hex_hex_proxy
graphene_patch,graphene_patch_n0040--graphene_patch_n0047,graphene_patch_n0040,graphene_patch_n0047,graphene_patch_n0040,graphene_patch_n0047,hex_hex_proxy,0,0,graphene_patch_cell_03_00,graphene_patch_cell_03_01,2,hex_hex_proxy
graphene_patch,graphene_patch_n0050--graphene_patch_n0051,graphene_patch_n0050,graphene_patch_n0051,graphene_patch_n0050,graphene_patch_n0051,boundary_edge,1,0,graphene_patch_cell_03_01,,1,hex_hex_proxy
graphene_patch,graphene_patch_n0047--graphene_patch_n0051,graphene_patch_n0047,graphene_patch_n0051,graphene_patch_n0047,graphene_patch_n0051,boundary_edge,1,0,graphene_patch_cell_03_01,,1,hex_hex_proxy
graphene_patch,graphene_patch_n0042--graphene_patch_n0050,graphene_patch_n0042,graphene_patch_n0050,graphene_patch_n0042,graphene_patch_n0050,hex_hex_proxy,0,0,graphene_patch_cell_03_01,graphene_patch_cell_03_02,2,hex_hex_proxy
graphene_patch,graphene_patch_n0052--graphene_patch_n0053,graphene_patch_n0052,graphene_patch_n0053,graphene_patch_n0052,graphene_patch_n0053,boundary_edge,1,0,graphene_patch_cell_03_02,,1,hex_hex_proxy
graphene_patch,graphene_patch_n0050--graphene_patch_n0053,graphene_patch_n0050,graphene_patch_n0053,graphene_patch_n0050,graphene_patch_n0053,boundary_edge,1,0,graphene_patch_cell_03_02,,1,hex_hex_proxy
graphene_patch,graphene_patch_n0044--graphene_patch_n0052,graphene_patch_n0044,graphene_patch_n0052,graphene_patch_n0044,graphene_patch_n0052,hex_hex_proxy,0,0,graphene_patch_cell_03_02,graphene_patch_cell_03_03,2,hex_hex_proxy
graphene_patch,graphene_patch_n0054--graphene_patch_n0055,graphene_patch_n0054,graphene_patch_n0055,graphene_patch_n0054,graphene_patch_n0055,boundary_edge,1,0,graphene_patch_cell_03_03,,1,hex_hex_proxy
graphene_patch,graphene_patch_n0052--graphene_patch_n0055,graphene_patch_n0052,graphene_patch_n0055,graphene_patch_n0052,graphene_patch_n0055,boundary_edge,1,0,graphene_patch_cell_03_03,,1,hex_hex_proxy
graphene_patch,graphene_patch_n0046--graphene_patch_n0054,graphene_patch_n0046,graphene_patch_n0054,graphene_patch_n0046,graphene_patch_n0054,hex_hex_proxy,0,0,graphene_patch_cell_03_03,graphene_patch_cell_03_04,2,hex_hex_proxy
graphene_patch,graphene_patch_n0056--graphene_patch_n0057,graphene_patch_n0056,graphene_patch_n0057,graphene_patch_n0056,graphene_patch_n0057,boundary_edge,1,0,graphene_patch_cell_03_04,,1,hex_hex_proxy
graphene_patch,graphene_patch_n0054--graphene_patch_n0057,graphene_patch_n0054,graphene_patch_n0057,graphene_patch_n0054,graphene_patch_n0057,boundary_edge,1,0,graphene_patch_cell_03_04,,1,hex_hex_proxy
graphene_patch,graphene_patch_n0045--graphene_patch_n0058,graphene_patch_n0045,graphene_patch_n0058,graphene_patch_n0045,graphene_patch_n0058,boundary_edge,1,0,graphene_patch_cell_03_04,,1,hex_hex_proxy
graphene_patch,graphene_patch_n0056--graphene_patch_n0058,graphene_patch_n0056,graphene_patch_n0058,graphene_patch_n0056,graphene_patch_n0058,boundary_edge,1,0,graphene_patch_cell_03_04,,1,hex_hex_proxy
