structure_id,edge_id,source,target,source_source_id,target_source_id,edge_class,boundary_edge,periodic_edge,cell_left,cell_right,cell_count,edge_role_hint
c60_reference,c60_001--c60_002,c60_001,c60_002,c60_001,c60_002,5_6,0,0,H_01,P_00,2,c60_edge_class_reference
c60_reference,c60_001--c60_005,c60_001,c60_005,c60_001,c60_005,5_6,0,0,H_05,P_00,2,c60_edge_class_reference
c60_reference,c60_001--c60_006,c60_001,c60_006,c60_001,c60_006,6_6,0,0,H_01,H_05,2,c60_edge_class_reference
c60_reference,c60_002--c60_003,c60_002,c60_003,c60_002,c60_003,5_6,0,0,H_02,P_00,2,c60_edge_class_reference
c60_reference,c60_002--c60_011,c60_002,c60_011,c60_002,c60_011,6_6,0,0,H_01,H_02,2,c60_edge_class_reference
c60_reference,c60_003--c60_004,c60_003,c60_004,c60_003,c60_004,5_6,0,0,H_03,P_00,2,c60_edge_class_reference
c60_reference,c60_003--c60_016,c60_003,c60_016,c60_003,c60_016,6_6,0,0,H_02,H_03,2,c60_edge_class_reference
c60_reference,c60_004--c60_005,c60_004,c60_005,c60_004,c60_005,5_6,0,0,H_04,P_00,2,c60_edge_class_reference
c60_reference,c60_004--c60_021,c60_004,c60_021,c60_004,c60_021,6_6,0,0,H_03,H_04,2,c60_edge_class_reference
c60_reference,c60_005--c60_026,c60_005,c60_026,c60_005,c60_026,6_6,0,0,H_04,H_05,2,c60_edge_class_reference
c60_reference,c60_006--c60_007,c60_006,c60_007,c60_006,c60_007,5_6,0,0,H_01,P_01,2,c60_edge_class_reference
c60_reference,c60_006--c60_008,c60_006,c60_008,c60_006,c60_008,5_6,0,0,H_05,P_01,2,c60_edge_class_reference
c60_reference,c60_007--c60_009,c60_007,c60_009,c60_007,c60_009,5_6,0,0,H_06,P_01,2,c60_edge_class_reference
c60_reference,c60_007--c60_012,c60_007,c60_012,c60_007,c60_012,6_6,0,0,H_01,H_06,2,c60_edge_class_reference
c60_reference,c60_008--c60_010,c60_008,c60_010,c60_008,c60_010,5_6,0,0,H_14,P_01,2,c60_edge_class_reference
c60_reference,c60_008--c60_027,c60_008,c60_027,c60_008,c60_027,6_6,0,0,H_05,H_14,2,c60_edge_class_reference
c60_reference,c60_009--c60_010,c60_009,c60_010,c60_009,c60_010,5_6,0,0,H_15,P_01,2,c60_edge_class_reference
c60_reference,c60_009--c60_031,c60_009,c60_031,c60_009,c60_031,6_6,0,0,H_06,H_15,2,c60_edge_class_reference
c60_reference,c60_010--c60_051,c60_010,c60_051,c60_010,c60_051,6_6,0,0,H_14,H_15,2,c60_edge_class_reference
c60_reference,c60_011--c60_012,c60_011,c60_012,c60_011,c60_012,5_6,0,0,H_01,P_02,2,c60_edge_class_reference
c60_reference,c60_011--c60_013,c60_011,c60_013,c60_011,c60_013,5_6,0,0,H_02,P_02,2,c60_edge_class_reference
c60_reference,c60_012--c60_014,c60_012,c60_014,c60_012,c60_014,5_6,0,0,H_06,P_02,2,c60_edge_class_reference
c60_reference,c60_013--c60_015,c60_013,c60_015,c60_013,c60_015,5_6,0,0,H_08,P_02,2,c60_edge_class_reference
c60_reference,c60_013--c60_017,c60_013,c60_017,c60_013,c60_017,6_6,0,0,H_02,H_08,2,c60_edge_class_reference
c60_reference,c60_014--c60_015,c60_014,c60_015,c60_014,c60_015,5_6,0,0,H_07,P_02,2,c60_edge_class_reference
c60_reference,c60_014--c60_032,c60_014,c60_032,c60_014,c60_032,6_6,0,0,H_06,H_07,2,c60_edge_class_reference
