run_id,t,p_family,theta,source_feature,best_alpha_source,alpha_pref_readout,mu_S1_source,mu_S2_source,mu_S3_source,mu_S1_readout,mu_S2_readout,mu_S3_readout,soft_overlap_score,soft_best_branch_source,soft_best_branch_readout,soft_branch_match_flag
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,neg,1.52,1.58,0.2493522087772956,0.4111122905071868,0.00016985667656141068,0.02856550078455019,0.9459594689067654,0.0066450112827414224,0.3960195634042116,S2,S2,1
M33_V0_alpha_peak_robustness,2.0,P0,3e-09,neg,1.52,1.58,0.2493522087772956,0.4111122905071868,0.00016985667656141068,0.02856550078455019,0.9459594689067654,0.0066450112827414224,0.3960195634042116,S2,S2,1
M33_V0_alpha_peak_robustness,2.0,P0,1e-08,neg,1.52,1.58,0.2493522087772956,0.4111122905071868,0.00016985667656141068,0.02856550078455019,0.9459594689067654,0.0066450112827414224,0.3960195634042116,S2,S2,1
M33_V0_alpha_peak_robustness,2.0,P1,1e-09,neg,1.58,1.58,0.02856550078455019,0.9459594689067654,0.0066450112827414224,0.02856550078455019,0.9459594689067654,0.0066450112827414224,0.8956994608243896,S2,S2,1
M33_V0_alpha_peak_robustness,2.0,P1,3e-09,neg,1.58,1.58,0.02856550078455019,0.9459594689067654,0.0066450112827414224,0.02856550078455019,0.9459594689067654,0.0066450112827414224,0.8956994608243896,S2,S2,1
M33_V0_alpha_peak_robustness,2.0,P1,1e-08,neg,1.58,1.58,0.02856550078455019,0.9459594689067654,0.0066450112827414224,0.02856550078455019,0.9459594689067654,0.0066450112827414224,0.8956994608243896,S2,S2,1
M33_V0_alpha_peak_robustness,2.0,P2,1e-09,neg,1.5,1.48,0.4111122905071868,0.2493522087772956,4.0065297392950994e-05,0.6065306597126329,0.1353352832366122,8.456665968701077e-06,0.28309836091666457,S1,S1,1
M33_V0_alpha_peak_robustness,2.0,P2,3e-09,neg,1.5,1.48,0.4111122905071868,0.2493522087772956,4.0065297392950994e-05,0.6065306597126329,0.1353352832366122,8.456665968701077e-06,0.28309836091666457,S1,S1,1
M33_V0_alpha_peak_robustness,2.0,P2,1e-08,neg,1.58,1.58,0.02856550078455019,0.9459594689067654,0.0066450112827414224,0.02856550078455019,0.9459594689067654,0.0066450112827414224,0.8956994608243896,S2,S2,1
M33_V0_alpha_peak_robustness,2.0,P3,1e-09,neg,1.52,1.52,0.2493522087772956,0.4111122905071868,0.00016985667656141068,0.2493522087772956,0.4111122905071868,0.00016985667656141068,0.23118986827947213,S2,S2,1
M33_V0_alpha_peak_robustness,2.0,P3,3e-09,neg,1.52,1.52,0.2493522087772956,0.4111122905071868,0.00016985667656141068,0.2493522087772956,0.4111122905071868,0.00016985667656141068,0.23118986827947213,S2,S2,1
M33_V0_alpha_peak_robustness,2.0,P3,1e-08,neg,1.52,1.51,0.2493522087772956,0.4111122905071868,0.00016985667656141068,0.324652467358349,0.324652467358349,8.364834722972752e-05,0.214421443503534,S2,S1,0
M33_V0_alpha_peak_robustness,5.0,P0,1e-09,neg,1.3,1.41,0.1353352832366132,3.726653172078658e-06,4.738097796288129e-14,0.9862071167439161,0.006645011282741345,1.5229979744712467e-08,0.13346864423815394,S1,S1,1
M33_V0_alpha_peak_robustness,5.0,P0,3e-09,neg,1.3,1.41,0.1353352832366132,3.726653172078658e-06,4.738097796288129e-14,0.9862071167439161,0.006645011282741345,1.5229979744712467e-08,0.13346864423815394,S1,S1,1
M33_V0_alpha_peak_robustness,5.0,P0,1e-08,neg,1.78,2.9,1.5229979744712467e-08,0.011108996538242336,0.9862071167439161,7.550359258120274e-133,1.1519512724636732e-102,9.529717093257842e-78,9.39827481792703e-78,S3,S3,1
M33_V0_alpha_peak_robustness,5.0,P1,1e-09,abs,1.52,1.42,0.2493522087772956,0.4111122905071868,0.00016985667656141068,1.0,0.011108996538242207,4.08283604114246e-08,0.25391925379630376,S2,S1,0
M33_V0_alpha_peak_robustness,5.0,P1,3e-09,abs,1.52,1.42,0.2493522087772956,0.4111122905071868,0.00016985667656141068,1.0,0.011108996538242207,4.08283604114246e-08,0.25391925379630376,S2,S1,0
