run_id,t,p_family,theta,source_feature,best_alpha_source,hard_branch_source,hard_branch_readout,nearest_branch_source,nearest_branch_readout,dist_to_S1,dist_to_S2,dist_to_S3,nearest_branch_match_flag,hard_to_nearest_upgrade_flag
M33_V0_alpha_peak_robustness,20.0,P1,3e-09,abs,1.38,S1,S1,S1,S1,0.040000000000000036,0.2200000000000002,0.3900000000000001,1,0
M33_V0_alpha_peak_robustness,20.0,P1,1e-08,abs,1.38,S1,S1,S1,S1,0.040000000000000036,0.2200000000000002,0.3900000000000001,1,0
M33_V0_alpha_peak_robustness,20.0,P2,1e-09,neg,1.78,S3,S3,S3,S3,0.3600000000000001,0.17999999999999994,0.010000000000000009,1,0
M33_V0_alpha_peak_robustness,20.0,P2,3e-09,neg,1.78,S3,S3,S3,S3,0.3600000000000001,0.17999999999999994,0.010000000000000009,1,0
M33_V0_alpha_peak_robustness,20.0,P2,1e-08,abs,1.42,S1,S1,S1,S1,0.0,0.18000000000000016,0.3500000000000001,1,0
M33_V0_alpha_peak_robustness,20.0,P3,1e-09,abs,1.64,S2,S2,S2,S2,0.21999999999999997,0.039999999999999813,0.13000000000000012,1,0
M33_V0_alpha_peak_robustness,20.0,P3,3e-09,abs,1.64,S2,S2,S2,S2,0.21999999999999997,0.039999999999999813,0.13000000000000012,1,0
M33_V0_alpha_peak_robustness,20.0,P3,1e-08,abs,1.64,S2,S2,S2,S2,0.21999999999999997,0.039999999999999813,0.13000000000000012,1,0
M33_V0_alpha_peak_robustness,40.0,P0,1e-09,abs,1.78,S3,S3,S3,S3,0.3600000000000001,0.17999999999999994,0.010000000000000009,1,0
M33_V0_alpha_peak_robustness,40.0,P0,3e-09,abs,1.78,S3,S3,S3,S3,0.3600000000000001,0.17999999999999994,0.010000000000000009,1,0
M33_V0_alpha_peak_robustness,40.0,P0,1e-08,abs,1.78,S3,S3,S3,S3,0.3600000000000001,0.17999999999999994,0.010000000000000009,1,0
M33_V0_alpha_peak_robustness,40.0,P1,1e-09,abs,1.78,S3,S3,S3,S3,0.3600000000000001,0.17999999999999994,0.010000000000000009,1,0
M33_V0_alpha_peak_robustness,40.0,P1,3e-09,abs,1.78,S3,S3,S3,S3,0.3600000000000001,0.17999999999999994,0.010000000000000009,1,0
M33_V0_alpha_peak_robustness,40.0,P1,1e-08,abs,1.78,S3,S3,S3,S3,0.3600000000000001,0.17999999999999994,0.010000000000000009,1,0
M33_V0_alpha_peak_robustness,40.0,P2,1e-09,neg,1.42,S1,S1,S1,S1,0.0,0.18000000000000016,0.3500000000000001,1,0
M33_V0_alpha_peak_robustness,40.0,P2,3e-09,neg,1.6,S2,S2,S2,S2,0.18000000000000016,0.0,0.16999999999999993,1,0
M33_V0_alpha_peak_robustness,40.0,P2,1e-08,neg,1.6,S2,S2,S2,S2,0.18000000000000016,0.0,0.16999999999999993,1,0
M33_V0_alpha_peak_robustness,40.0,P3,1e-09,neg,1.58,S2,S2,S2,S2,0.16000000000000014,0.020000000000000018,0.18999999999999995,1,0
M33_V0_alpha_peak_robustness,40.0,P3,3e-09,neg,1.58,S2,S2,S2,S2,0.16000000000000014,0.020000000000000018,0.18999999999999995,1,0
M33_V0_alpha_peak_robustness,40.0,P3,1e-08,neg,1.58,S2,S2,S2,S2,0.16000000000000014,0.020000000000000018,0.18999999999999995,1,0
