query_id,status,result_row_count,preview
datasets,executed,1,SPARC_RAR_LELLI2016C	QSB-DWH-POSTGRES-CORE-MIGRATION-01	SPARC RAR Lelli2016c baseline registered dataset	validated	methodological_preparation_only
sources,executed,4,SPARC_RAR_LELLI2016C	MassModels_Lelli2016c.mrt	9108994b12cc401b94a1768beca61c53ec354779385c9c9cc571049f3043244c	preserved_byte_exact | SPARC_RAR_LELLI2016C	RARbins.mrt	d543cab7b720a4f14152ccc8158f7823072ce65a9c5b403d7c401b3f039a79d7	preserved_byte_exact | SPARC_RAR_LELLI2016C	RAR.mrt	24aa7059dab7fa44787f7c11191052489899819370f6508621674769f3b72833	preserved_byte_exact | SPARC_RAR_LELLI2016C	SPARC_Lelli2016c.mrt	5aa0501f6b0d881fa579030e315e7b5b6ef561a5bd3a07472f9929c7e5728243	preserved_byte_exact
rar_points,executed,20,2.089296130854041e-11	5.888436553555884e-12	-10.68	-11.23 | 	2.5703957827688646e-11	7.413102413009163e-12	-10.59	-11.13 | 	2.6302679918953815e-11	6.456542290346563e-12	-10.58	-11.19 | 	2.5703957827688646e-11	5.128613839913659e-12	-10.59	-11.29 | 	2.2387211385683377e-11	3.7153522909717275e-12	-10.65	-11.43
massmodels_points,executed,20,It does not			 | CamB	0.16	1.99	8.021131290080393e-13 | CamB	0.41	4.84	1.8516390078733638e-12 | CamB	0.57	6.79	2.6212844287451225e-12 | CamB	0.73	8.87	3.4928009325710322e-12
de_fields,executed,29,claim_boundary	Claim-Grenze | conversion_rule_id	Umrechnungsregel-ID | dataset_id	Datensatz-ID | dimension_vector	Dimensionsvektor | distance_mpc	Entfernung (Mpc)
search,executed,20,field	gobs_m_s2	gobs_m_s2 beobachtete Beschleunigung acceleration [L T^-2]	registered	metadata_registration | field	gbar_m_s2	gbar_m_s2 baryonische Beschleunigung acceleration [L T^-2]	registered	metadata_registration | field	log_gobs	log_gobs Log beobachtete Beschleunigung dimensionless_log_quantity [dimensionless]	registered	metadata_registration | field	log_gbar	log_gbar Log baryonische Beschleunigung dimensionless_log_quantity [dimensionless]	registered	metadata_registration | rar_point	SPARC_RAR_LELLI2016C::RAR::1	 Beschleunigung gobs gbar 2.089296130854041e-11 5.888436553555884e-12	validated_baseline_loaded	direct_standard_rar_table_only
validation_status,executed,1,passed	12
