run_id,species,gas_model,lambda_db,energy,number_density,vdw_a,vdw_b,interaction_score,excluded_volume_score,vdw_signature_score,signature_score_wave,signature_score_combined,tau,tau_response_score,tau_alignment_score,tau_window_label
debroglie_matter_signature_vdw_run_c,hydrogen,van_der_waals,1.4699022924960177e-10,6.071058815249999e-21,2.502858308970984e+25,0.0247,2.661e-05,0.0,0.0,0.0,0.6666666666666666,0.4444444444444444,0.001,0.0,0.0,off_window
debroglie_matter_signature_vdw_run_c,hydrogen,van_der_waals,1.4699022924960177e-10,6.071058815249999e-21,2.502858308970984e+25,0.0247,2.661e-05,0.0,0.0,0.0,0.6666666666666666,0.4444444444444444,0.01,0.0,0.0,off_window
debroglie_matter_signature_vdw_run_c,hydrogen,van_der_waals,1.4699022924960177e-10,6.071058815249999e-21,2.502858308970984e+25,0.0247,2.661e-05,0.0,0.0,0.0,0.6666666666666666,0.4444444444444444,0.1,0.0,0.0,off_window
debroglie_matter_signature_vdw_run_c,hydrogen,van_der_waals,1.4699022924960177e-10,6.071058815249999e-21,2.502858308970984e+25,0.0247,2.661e-05,0.0,0.0,0.0,0.6666666666666666,0.4444444444444444,1.0,0.0,0.0,off_window
debroglie_matter_signature_vdw_run_c,sodium,van_der_waals,3.07763389486368e-11,6.07105881525e-21,2.502858308970984e+25,0.45,7.1e-05,0.97790236547726,1.0,0.9889511827386299,0.36537370859687507,0.5732328666441266,0.001,0.0,0.0,off_window
debroglie_matter_signature_vdw_run_c,sodium,van_der_waals,3.07763389486368e-11,6.07105881525e-21,2.502858308970984e+25,0.45,7.1e-05,0.97790236547726,1.0,0.9889511827386299,0.36537370859687507,0.5732328666441266,0.01,0.0,0.0,off_window
debroglie_matter_signature_vdw_run_c,sodium,van_der_waals,3.07763389486368e-11,6.07105881525e-21,2.502858308970984e+25,0.45,7.1e-05,0.97790236547726,1.0,0.9889511827386299,0.36537370859687507,0.5732328666441266,0.1,0.0,0.0,off_window
debroglie_matter_signature_vdw_run_c,sodium,van_der_waals,3.07763389486368e-11,6.07105881525e-21,2.502858308970984e+25,0.45,7.1e-05,0.97790236547726,1.0,0.9889511827386299,0.36537370859687507,0.5732328666441266,1.0,0.0,0.0,off_window
debroglie_matter_signature_vdw_run_c,carbon,van_der_waals,4.257892370080863e-11,6.0710588152500005e-21,2.502858308970984e+25,0.3,4.5e-05,0.8408009615601193,0.536384950273482,0.6885929559168007,0.4279232258109609,0.5148131358462408,0.001,0.0,0.0,off_window
debroglie_matter_signature_vdw_run_c,carbon,van_der_waals,4.257892370080863e-11,6.0710588152500005e-21,2.502858308970984e+25,0.3,4.5e-05,0.8408009615601193,0.536384950273482,0.6885929559168007,0.4279232258109609,0.5148131358462408,0.01,0.0,0.0,off_window
