pair_a,pair_b,i_a,j_a,i_b,j_b,delta_a,delta_b,abs_delta_a,abs_delta_b,same_abs_delta,edge_candidate_flag,strength,theta_edge,strength_margin,abs_delta_gap,same_orientation,shares_left_index,shares_right_index,shares_any_index,pair_index_sum_gap,source_native_features_present,source_feature_columns
3|2,4|5,3,2,4,5,-1,1,1,1,true,1,1.0,0.5,0.5,0,false,false,false,false,4,false,
3|2,5|4,3,2,5,4,-1,-1,1,1,true,1,1.0,0.5,0.5,0,true,false,false,false,4,false,
3|2,5|6,3,2,5,6,-1,1,1,1,true,1,1.0,0.5,0.5,0,false,false,false,false,6,false,
3|2,6|5,3,2,6,5,-1,-1,1,1,true,1,1.0,0.5,0.5,0,true,false,false,false,6,false,
3|4,4|3,3,4,4,3,1,-1,1,1,true,1,1.0,0.5,0.5,0,false,false,false,true,0,false,
3|4,4|5,3,4,4,5,1,1,1,1,true,1,1.0,0.5,0.5,0,true,false,false,true,2,false,
3|4,5|4,3,4,5,4,1,-1,1,1,true,1,1.0,0.5,0.5,0,false,false,true,true,2,false,
3|4,5|6,3,4,5,6,1,1,1,1,true,1,1.0,0.5,0.5,0,true,false,false,false,4,false,
3|4,6|5,3,4,6,5,1,-1,1,1,true,1,1.0,0.5,0.5,0,false,false,false,false,4,false,
4|3,4|5,4,3,4,5,-1,1,1,1,true,1,1.0,0.5,0.5,0,false,true,false,true,2,false,
4|3,5|4,4,3,5,4,-1,-1,1,1,true,1,1.0,0.5,0.5,0,true,false,false,true,2,false,
4|3,5|6,4,3,5,6,-1,1,1,1,true,1,1.0,0.5,0.5,0,false,false,false,false,4,false,
4|3,6|5,4,3,6,5,-1,-1,1,1,true,1,1.0,0.5,0.5,0,true,false,false,false,4,false,
4|5,5|4,4,5,5,4,1,-1,1,1,true,1,1.0,0.5,0.5,0,false,false,false,true,0,false,
4|5,5|6,4,5,5,6,1,1,1,1,true,1,1.0,0.5,0.5,0,true,false,false,true,2,false,
4|5,6|5,4,5,6,5,1,-1,1,1,true,1,1.0,0.5,0.5,0,false,false,true,true,2,false,
5|4,5|6,5,4,5,6,-1,1,1,1,true,1,1.0,0.5,0.5,0,false,true,false,true,2,false,
5|4,6|5,5,4,6,5,-1,-1,1,1,true,1,1.0,0.5,0.5,0,true,false,false,true,2,false,
5|6,6|5,5,6,6,5,1,-1,1,1,true,1,1.0,0.5,0.5,0,false,false,false,true,0,false,
0|1,0|2,0,1,0,2,1,2,1,2,false,0,0.24235456744935086,0.5,-0.25764543255064914,1,true,true,false,true,1,false,
0|1,1|3,0,1,1,3,1,2,1,2,false,0,0.2423545674493508,0.5,-0.2576454325506492,1,true,false,false,true,3,false,
0|1,2|0,0,1,2,0,1,-2,1,2,false,0,0.2423545674493508,0.5,-0.2576454325506492,1,false,false,false,true,1,false,
0|1,2|4,0,1,2,4,1,2,1,2,false,0,0.2423545674493508,0.5,-0.2576454325506492,1,true,false,false,false,5,false,
0|1,3|1,0,1,3,1,1,-2,1,2,false,0,0.24235456744935086,0.5,-0.25764543255064914,1,false,false,true,true,3,false,
0|1,3|5,0,1,3,5,1,2,1,2,false,0,0.2423545674493508,0.5,-0.2576454325506492,1,true,false,false,false,7,false,
0|1,4|2,0,1,4,2,1,-2,1,2,false,0,0.24235456744935086,0.5,-0.25764543255064914,1,false,false,false,false,5,false,
0|1,4|6,0,1,4,6,1,2,1,2,false,0,0.24235456744935086,0.5,-0.25764543255064914,1,true,false,false,false,9,false,
0|1,5|3,0,1,5,3,1,-2,1,2,false,0,0.24235456744935086,0.5,-0.25764543255064914,1,false,false,false,false,7,false,
0|1,6|4,0,1,6,4,1,-2,1,2,false,0,0.2423545674493508,0.5,-0.2576454325506492,1,false,false,false,false,9,false,
1|0,1|3,1,0,1,3,-1,2,1,2,false,0,0.2423545674493508,0.5,-0.2576454325506492,1,false,true,false,true,3,false,
1|0,2|0,1,0,2,0,-1,-2,1,2,false,0,0.24235456744935086,0.5,-0.25764543255064914,1,true,false,true,true,1,false,
1|0,2|4,1,0,2,4,-1,2,1,2,false,0,0.2423545674493508,0.5,-0.2576454325506492,1,false,false,false,false,5,false,
1|0,3|1,1,0,3,1,-1,-2,1,2,false,0,0.2423545674493509,0.5,-0.2576454325506491,1,true,false,false,true,3,false,
1|0,3|5,1,0,3,5,-1,2,1,2,false,0,0.2423545674493508,0.5,-0.2576454325506492,1,false,false,false,false,7,false,
1|0,4|2,1,0,4,2,-1,-2,1,2,false,0,0.2423545674493509,0.5,-0.2576454325506491,1,true,false,false,false,5,false,
1|0,4|6,1,0,4,6,-1,2,1,2,false,0,0.2423545674493509,0.5,-0.2576454325506491,1,false,false,false,false,9,false,
1|0,5|3,1,0,5,3,-1,-2,1,2,false,0,0.2423545674493509,0.5,-0.2576454325506491,1,true,false,false,false,7,false,
1|0,6|4,1,0,6,4,-1,-2,1,2,false,0,0.24235456744935086,0.5,-0.25764543255064914,1,true,false,false,false,9,false,
1|2,1|3,1,2,1,3,1,2,1,2,false,0,0.24235456744935086,0.5,-0.25764543255064914,1,true,true,false,true,1,false,
1|2,2|0,1,2,2,0,1,-2,1,2,false,0,0.2423545674493508,0.5,-0.2576454325506492,1,false,false,false,true,1,false,
1|2,2|4,1,2,2,4,1,2,1,2,false,0,0.24235456744935086,0.5,-0.25764543255064914,1,true,false,false,true,3,false,
1|2,3|1,1,2,3,1,1,-2,1,2,false,0,0.24235456744935086,0.5,-0.25764543255064914,1,false,false,false,true,1,false,
1|2,3|5,1,2,3,5,1,2,1,2,false,0,0.24235456744935086,0.5,-0.25764543255064914,1,true,false,false,false,5,false,
1|2,4|2,1,2,4,2,1,-2,1,2,false,0,0.24235456744935086,0.5,-0.25764543255064914,1,false,false,true,true,3,false,
1|2,4|6,1,2,4,6,1,2,1,2,false,0,0.24235456744935086,0.5,-0.25764543255064914,1,true,false,false,false,7,false,
1|2,5|3,1,2,5,3,1,-2,1,2,false,0,0.24235456744935086,0.5,-0.25764543255064914,1,false,false,false,false,5,false,
1|2,6|4,1,2,6,4,1,-2,1,2,false,0,0.2423545674493508,0.5,-0.2576454325506492,1,false,false,false,false,7,false,
2|1,2|4,2,1,2,4,-1,2,1,2,false,0,0.2423545674493508,0.5,-0.2576454325506492,1,false,true,false,true,3,false,
2|1,3|1,2,1,3,1,-1,-2,1,2,false,0,0.24235456744935086,0.5,-0.25764543255064914,1,true,false,true,true,1,false,
2|1,3|5,2,1,3,5,-1,2,1,2,false,0,0.2423545674493508,0.5,-0.2576454325506492,1,false,false,false,false,5,false,
2|1,4|2,2,1,4,2,-1,-2,1,2,false,0,0.24235456744935086,0.5,-0.25764543255064914,1,true,false,false,true,3,false,
2|1,4|6,2,1,4,6,-1,2,1,2,false,0,0.24235456744935086,0.5,-0.25764543255064914,1,false,false,false,false,7,false,
2|1,5|3,2,1,5,3,-1,-2,1,2,false,0,0.24235456744935086,0.5,-0.25764543255064914,1,true,false,false,false,5,false,
2|1,6|4,2,1,6,4,-1,-2,1,2,false,0,0.2423545674493508,0.5,-0.2576454325506492,1,true,false,false,false,7,false,
2|3,2|4,2,3,2,4,1,2,1,2,false,0,0.24235456744935086,0.5,-0.25764543255064914,1,true,true,false,true,1,false,
2|3,3|1,2,3,3,1,1,-2,1,2,false,0,0.24235456744935086,0.5,-0.25764543255064914,1,false,false,false,true,1,false,
2|3,3|5,2,3,3,5,1,2,1,2,false,0,0.24235456744935086,0.5,-0.25764543255064914,1,true,false,false,true,3,false,
2|3,4|2,2,3,4,2,1,-2,1,2,false,0,0.24235456744935086,0.5,-0.25764543255064914,1,false,false,false,true,1,false,
2|3,4|6,2,3,4,6,1,2,1,2,false,0,0.24235456744935086,0.5,-0.25764543255064914,1,true,false,false,false,5,false,
2|3,5|3,2,3,5,3,1,-2,1,2,false,0,0.24235456744935086,0.5,-0.25764543255064914,1,false,false,true,true,3,false,
2|3,6|4,2,3,6,4,1,-2,1,2,false,0,0.2423545674493508,0.5,-0.2576454325506492,1,false,false,false,false,5,false,
3|2,3|5,3,2,3,5,-1,2,1,2,false,0,0.2423545674493508,0.5,-0.2576454325506492,1,false,true,false,true,3,false,
3|2,4|2,3,2,4,2,-1,-2,1,2,false,0,0.24235456744935086,0.5,-0.25764543255064914,1,true,false,true,true,1,false,
3|2,4|6,3,2,4,6,-1,2,1,2,false,0,0.24235456744935086,0.5,-0.25764543255064914,1,false,false,false,false,5,false,
3|2,5|3,3,2,5,3,-1,-2,1,2,false,0,0.24235456744935086,0.5,-0.25764543255064914,1,true,false,false,true,3,false,
3|2,6|4,3,2,6,4,-1,-2,1,2,false,0,0.2423545674493508,0.5,-0.2576454325506492,1,true,false,false,false,5,false,
3|4,3|5,3,4,3,5,1,2,1,2,false,0,0.24235456744935086,0.5,-0.25764543255064914,1,true,true,false,true,1,false,
3|4,4|2,3,4,4,2,1,-2,1,2,false,0,0.24235456744935086,0.5,-0.25764543255064914,1,false,false,false,true,1,false,
3|4,4|6,3,4,4,6,1,2,1,2,false,0,0.24235456744935086,0.5,-0.25764543255064914,1,true,false,false,true,3,false,
3|4,5|3,3,4,5,3,1,-2,1,2,false,0,0.24235456744935086,0.5,-0.25764543255064914,1,false,false,false,true,1,false,
3|4,6|4,3,4,6,4,1,-2,1,2,false,0,0.2423545674493508,0.5,-0.2576454325506492,1,false,false,true,true,3,false,
4|3,4|6,4,3,4,6,-1,2,1,2,false,0,0.24235456744935086,0.5,-0.25764543255064914,1,false,true,false,true,3,false,
4|3,5|3,4,3,5,3,-1,-2,1,2,false,0,0.24235456744935086,0.5,-0.25764543255064914,1,true,false,true,true,1,false,
