pair_set_id,fsw_regime_id,ao_regime_id,feature_name,fsw_value,ao_value,raw_difference,abs_difference,normalized_difference,feature_weight,weighted_difference,relative_contribution,contribution_judgement
FSW_CORE_VS_AO_TRANSFER,FSW_D06,AO_A06,delta_p2_relative_gain_vs_type_A,0.257,0.214,-0.043,0.043,0.1043689320388349,1.0,0.1043689320388349,0.1345969227360814,moderate
FSW_CORE_VS_AO_TRANSFER,FSW_D06,AO_A06,distance_to_type_D,0.245176,0.176536,-0.06864,0.06864,0.2548413924201022,1.0,0.2548413924201022,0.32865016950408954,strong
FSW_CORE_VS_AO_TRANSFER,FSW_D06,AO_A06,spacing_cv,0.3134903621063912,0.1892280473334911,-0.1242623147729,0.1242623147729,0.2757051963949948,0.8,0.2205641571159959,0.2844453443544312,strong
FSW_CORE_VS_AO_TRANSFER,FSW_D06,AO_A06,grid_deviation_score,0.2450000000000001,0.3250000000000002,0.08,0.08,0.1081081081081082,1.0,0.1081081081081082,0.1394190626455452,moderate
FSW_CORE_VS_AO_TRANSFER,FSW_D06,AO_A06,simple_rigidity_surrogate,0.045176,0.076536,0.03136,0.03136,0.072946518292456,1.2,0.0875358219509472,0.1128885007598526,moderate
FSW_CORE_VS_AO_PREJUMP,FSW_D05,AO_A07,delta_p2_relative_gain_vs_type_A,0.223,0.1389999999999999,-0.0840000000000001,0.0840000000000001,0.2038834951456312,1.0,0.2038834951456312,0.1827627258694182,moderate
FSW_CORE_VS_AO_PREJUMP,FSW_D05,AO_A07,distance_to_type_D,0.24016,0.3,0.0598399999999999,0.0598399999999999,0.2221694190329095,1.0,0.2221694190329095,0.1991543680290376,moderate
FSW_CORE_VS_AO_PREJUMP,FSW_D05,AO_A07,spacing_cv,0.2862851439971509,0.2405258952793052,-0.0457592487178456,0.0457592487178456,0.1015276649054701,0.8,0.0812221319243761,0.0728081408493676,minor
FSW_CORE_VS_AO_PREJUMP,FSW_D05,AO_A07,grid_deviation_score,0.23,0.4533333333333335,0.2233333333333334,0.2233333333333334,0.301801801801802,1.0,0.301801801801802,0.27053744556517695,strong
FSW_CORE_VS_AO_PREJUMP,FSW_D05,AO_A07,simple_rigidity_surrogate,0.04016,0.1499600000000001,0.1098,0.1098,0.2554058580520305,1.2,0.3064870296624365,0.2747373196869997,strong
