pair_set_id,fsw_regime_id,ao_regime_id,feature_name,relative_contribution,weighted_difference
FSW_CORE_VS_AO_TRANSFER,FSW_D06,AO_A05,delta_p2_relative_gain_vs_type_A,0.032195612053108884,0.0218446601941747
FSW_CORE_VS_AO_TRANSFER,FSW_D06,AO_A05,distance_to_type_D,0.5466283921935597,0.370886301532613
FSW_CORE_VS_AO_TRANSFER,FSW_D06,AO_A05,grid_deviation_score,0.009958402526936937,0.0067567567567563
FSW_CORE_VS_AO_TRANSFER,FSW_D06,AO_A05,simple_rigidity_surrogate,0.0004278529114251327,0.0002902973687145
FSW_CORE_VS_AO_TRANSFER,FSW_D06,AO_A05,spacing_cv,0.4107897403149691,0.2787200402847213
FSW_CORE_VS_AO_TRANSFER,FSW_D06,AO_A06,delta_p2_relative_gain_vs_type_A,0.1345969227360814,0.1043689320388349
FSW_CORE_VS_AO_TRANSFER,FSW_D06,AO_A06,distance_to_type_D,0.32865016950408954,0.2548413924201022
FSW_CORE_VS_AO_TRANSFER,FSW_D06,AO_A06,grid_deviation_score,0.1394190626455452,0.1081081081081082
FSW_CORE_VS_AO_TRANSFER,FSW_D06,AO_A06,simple_rigidity_surrogate,0.1128885007598526,0.0875358219509472
FSW_CORE_VS_AO_TRANSFER,FSW_D06,AO_A06,spacing_cv,0.2844453443544312,0.2205641571159959
