run_id,t,p_family,theta,alpha_star_chi_global,alpha_star_lambda2_global,alpha_star_wclust_global,alpha_coherent_global,coherence_score_global,alpha_star_chi_band,alpha_star_lambda2_band,alpha_star_wclust_band,alpha_coherent_band,coherence_score_band,chi_peak_value_global,lambda2_min_value_global,wclust_peak_value_global,chi_prominence_global,lambda2_prominence_global,wclust_prominence_global,delta_chi_lambda2_global,delta_chi_wclust_global,chi_peak_value_band,lambda2_min_value_band,wclust_peak_value_band,chi_prominence_band,lambda2_prominence_band,wclust_prominence_band,delta_chi_lambda2_band,delta_chi_wclust_band,preferred_scope,preferred_alpha_coherent,preferred_coherence_score,readout_in_band_flag,readout_label
M33_V0_alpha_peak_robustness,2.0,P2,3e-09,2.6,2.6,2.7,2.6,0.061644187894246166,1.48,1.48,1.42,1.48,-0.00023636573965496975,0.6931867009914814,1.3300726684357476e-07,0.20451150219213393,0.08315779427421566,4.719473689987506e-09,0.013945555602227405,0.0,0.10000000000000009,0.556884631066437,1.1684334182866294e-07,0.262663494879155,0.011672457075103781,4.252663230750919e-08,0.012364538634435818,0.0,0.06000000000000005,band,1.48,-0.00023636573965496975,1,R1
M33_V0_alpha_peak_robustness,2.0,P2,1e-08,2.6,2.6,2.7,2.6,0.060938682558008134,1.58,1.58,1.58,1.58,0.0337370391193341,0.6948663914330754,1.2495378738309412e-07,0.20451150219213393,0.08483748471580965,1.122919896237364e-08,0.004404746451998148,0.0,0.10000000000000009,0.6610105999552294,1.6027510028128557e-08,0.33240052768979567,0.004284733760651749,1.5342576473103458e-08,0.11780916006442352,0.0,0.0,band,1.58,0.0337370391193341,1,R3
M33_V0_alpha_peak_robustness,2.0,P3,1e-09,2.6,2.6,2.5,2.6,0.1640619512618831,1.54,1.5,1.52,1.52,-0.015751742522066448,0.36965322070175793,1.1789565920499875e-07,0.4444917595776953,0.13962451098434878,5.284946439475715e-08,0.19774954971227987,0.0,0.10000000000000009,0.2830347085484283,1.3565741024134066e-07,0.22246164851626124,0.003642769641782395,1.371122751093791e-08,0.0024218964996946535,0.040000000000000036,0.0,band,1.52,-0.015751742522066448,1,R1
M33_V0_alpha_peak_robustness,2.0,P3,3e-09,2.6,2.6,2.5,2.6,0.15940908056156125,1.54,1.5,1.48,1.52,-0.023887789682072905,0.37464667669760277,1.1400589575090594e-07,0.4444917595776953,0.1446179669801936,5.673922784884996e-08,0.15916422736855929,0.0,0.10000000000000009,0.2830347085484283,1.3219639863560724e-07,0.30892889397087764,0.003642769641782395,1.6824620585839794e-08,0.009877695406096565,0.040000000000000036,0.040000000000000036,band,1.52,-0.023887789682072905,1,R1
M33_V0_alpha_peak_robustness,2.0,P3,1e-08,2.6,2.6,2.5,2.6,0.16313902643076433,1.52,1.5,1.48,1.51,-0.01210552085739568,0.37231793961240117,1.0417917143986541e-07,0.43909772313741413,0.1496964204834073,5.821528752867117e-08,0.1537701909282781,0.0,0.10000000000000009,0.2869740681122843,1.2471178570773417e-07,0.31654090611411245,0.003939359563855993,1.213061056711072e-08,0.005820429792551096,0.020000000000000018,0.030000000000000027,band,1.51,-0.01210552085739568,1,R1
M33_V0_alpha_peak_robustness,5.0,P0,1e-09,2.9,2.9,2.8,2.9,0.16337669703841237,1.34,1.48,1.44,1.4100000000000001,-0.07267403943808422,0.2179690078663529,1.4867799370641966e-07,0.3456055443696986,0.1602907543260805,1.3714557719260897e-07,0.11234322226701879,0.0,0.10000000000000009,0.8516316700180248,2.1911540632642151e-07,0.23744945947394627,0.0036345205382682932,2.685870930952354e-08,0.0047656526597523174,0.1399999999999999,0.029999999999999805,band,1.4100000000000001,-0.07267403943808422,1,R1
M33_V0_alpha_peak_robustness,5.0,P0,3e-09,2.9,2.9,2.8,2.9,0.16337669096735222,1.34,1.48,1.44,1.4100000000000001,-0.07243447154969808,0.2179690078663529,1.4867799370641966e-07,0.3456055443696986,0.1602907543260805,1.310745170439527e-07,0.11234322226701879,0.0,0.10000000000000009,0.8518712409735559,2.1911540632642151e-07,0.23744945947394627,0.0038740914937994697,2.379156427564084e-08,0.0047656526597523174,0.1399999999999999,0.029999999999999805,band,1.4100000000000001,-0.07243447154969808,1,R1
M33_V0_alpha_peak_robustness,5.0,P0,1e-08,2.9,2.9,2.8,2.9,0.16099317849474387,,,,,,0.21832178754980072,1.3208973372249827e-07,0.3456055443696986,0.16064353400952833,1.4766277702787408e-07,0.10139798728975408,0.0,0.10000000000000009,,,,,,,,,global,2.9,0.16099317849474387,0,R1
M33_V0_alpha_peak_robustness,5.0,P1,1e-09,2.1,2.1,2.2,2.1,0.21072492375659044,1.38,1.46,1.4,1.42,-0.013386714118293834,0.29304107123536277,2.910072164775596e-07,0.39529537580259266,0.19946381936034602,2.5176264937699848e-08,0.14504431687991803,0.0,0.10000000000000009,0.7232713076764554,1.6922612134205385e-07,0.204936260263334,0.029655711466681778,5.869612407861825e-08,0.007830062875601396,0.08000000000000007,0.020000000000000018,band,1.42,-0.013386714118293834,1,R1
M33_V0_alpha_peak_robustness,5.0,P1,3e-09,2.1,2.1,2.2,2.1,0.21072492375659044,1.38,1.46,1.4,1.42,-0.01239748700525048,0.29304107123536277,2.910072164775596e-07,0.39529537580259266,0.19946381936034602,2.5176264937699848e-08,0.14504431687991803,0.0,0.10000000000000009,0.7242605325719403,1.6700856290202474e-07,0.204936260263334,0.030644936362166697,6.091368251864735e-08,0.007830062875601396,0.08000000000000007,0.020000000000000018,band,1.42,-0.01239748700525048,1,R1
M33_V0_alpha_peak_robustness,5.0,P1,1e-08,2.1,2.1,2.2,2.1,0.21091121615560623,1.38,1.46,1.44,1.42,-0.008202440385205081,0.29304107123536277,2.910072164775596e-07,0.39529537580259266,0.19965011641321379,2.0522412968932624e-08,0.14504431687991803,0.0,0.10000000000000009,0.7273585813854256,1.5855697013966597e-07,0.21006370258686832,0.033558127730661136,5.558434989590783e-08,0.012957505199135716,0.08000000000000007,0.020000000000000018,band,1.42,-0.008202440385205081,1,R1
