run_id,t,p_family,theta,alpha_coherent_global,alpha_coherent_band,coherence_score_global,coherence_score_band,preferred_scope,preferred_alpha_coherent,stability_label
M33_V0_alpha_peak_robustness,20.0,P1,3e-09,2.8499999999999996,1.41,0.5736923304766136,0.2515765883689199,band,1.41,R3
M33_V0_alpha_peak_robustness,20.0,P1,1e-08,2.8499999999999996,1.41,0.5825099597852463,0.27464694893463465,band,1.41,R3
M33_V0_alpha_peak_robustness,20.0,P2,1e-09,2.25,1.73,0.7129742453212293,0.046254637879273724,band,1.73,R3
M33_V0_alpha_peak_robustness,20.0,P2,3e-09,2.25,1.73,0.7097994446336373,0.046254637879273724,band,1.73,R3
M33_V0_alpha_peak_robustness,20.0,P2,1e-08,2.25,1.42,0.7097994479775452,0.05068343504817848,band,1.42,R3
M33_V0_alpha_peak_robustness,20.0,P3,1e-09,1.66,1.66,0.7255356470217422,0.7255356470217422,band,1.66,R3
M33_V0_alpha_peak_robustness,20.0,P3,3e-09,1.66,1.66,0.7281680775607784,0.7281680775607784,band,1.66,R3
M33_V0_alpha_peak_robustness,20.0,P3,1e-08,1.66,1.66,0.738477107762167,0.738477107762167,band,1.66,R3
M33_V0_alpha_peak_robustness,40.0,P0,1e-09,0.8,1.8,0.5289602542401229,0.380451650828069,band,1.8,R3
M33_V0_alpha_peak_robustness,40.0,P0,3e-09,0.8,1.8,0.5289602542401229,0.380451650828069,band,1.8,R3
M33_V0_alpha_peak_robustness,40.0,P0,1e-08,0.8,1.8,0.5307485972527834,0.380451650828069,band,1.8,R3
M33_V0_alpha_peak_robustness,40.0,P1,1e-09,1.05,1.8,0.5897654283740263,0.26605598027275484,band,1.8,R3
M33_V0_alpha_peak_robustness,40.0,P1,3e-09,1.05,1.8,0.586197493919157,0.27054603474955763,band,1.8,R3
M33_V0_alpha_peak_robustness,40.0,P1,1e-08,1.05,1.8,0.5861974988222853,0.2731336774882869,band,1.8,R3
M33_V0_alpha_peak_robustness,40.0,P2,1e-09,0.5,1.42,0.48699955668804995,0.15013087639097908,band,1.42,R3
M33_V0_alpha_peak_robustness,40.0,P2,3e-09,0.5,1.63,0.48699955466030176,0.1429416597342505,band,1.63,R3
M33_V0_alpha_peak_robustness,40.0,P2,1e-08,0.5,1.63,0.4874997380469265,0.14581358699566138,band,1.63,R3
M33_V0_alpha_peak_robustness,40.0,P3,1e-09,1.57,1.57,0.5405088019253488,0.5405088019253488,band,1.57,R3
M33_V0_alpha_peak_robustness,40.0,P3,3e-09,1.57,1.57,0.5385988408098141,0.5385988408098141,band,1.57,R3
M33_V0_alpha_peak_robustness,40.0,P3,1e-08,1.57,1.57,0.5481818955706022,0.5481818955706022,band,1.57,R3
