species,mass_u,lambda_db,energy_j,number_density,ionization_energy_ev,length_scale_score,energy_score,occupancy_score,signature_score_wave,ionization_score,signature_score_combined,matter_sensitive_delta_wave,matter_sensitive_delta_qc
hydrogen,1.00784,1.4699022924960177e-10,6.071058815249999e-21,2.502858308970984e+25,13.6,1.0,0.5,0.5,0.6666666666666666,0.936347114791525,0.8015068907290959,-5.0,-5.0
sodium,22.98976928,3.07763389486368e-11,6.07105881525e-21,2.502858308970984e+25,5.14,0.09612112579062518,0.5,0.5,0.36537370859687507,0.0,0.18268685429843753,1.0,3.0
carbon,12.011,4.257892370080863e-11,6.0710588152500005e-21,2.502858308970984e+25,11.26,0.28376967743288284,0.5,0.5,0.4279232258109609,0.7546496530926221,0.5912864394517915,-3.0,-2.0
nitrogen,14.007,3.9428631018409355e-11,6.071058815249999e-21,2.502858308970984e+25,14.53,0.2393352244259701,0.5,0.5,0.41311174147532337,1.0,0.7065558707376617,-1.0,-2.0
sulfur,32.06,2.6061685746616612e-11,6.07105881525e-21,2.502858308970984e+25,10.36,0.0,0.5,0.5,0.3333333333333333,0.6744847183034987,0.503909025818416,5.0,4.0
phosphorus,30.973761998,2.6514734593298206e-11,6.0710588152500005e-21,2.502858308970984e+25,10.49,0.009962625305522298,0.5,0.5,0.3366542084351741,0.6864849461788411,0.5115695773070076,3.0,2.0
