run_id,pair_id_a,pair_id_b,row_index,column_index,K_candidate,relation_type
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,2|5,3|6,16,23,0.99999999999999989,parallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,3|0,4|1,18,25,1,parallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,3|0,5|2,18,32,1,parallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,3|0,6|3,18,39,1,parallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,3|1,4|2,19,26,1,parallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,3|1,5|3,19,33,1,parallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,3|1,6|4,19,40,1,parallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,3|2,4|3,20,27,0.99999999999999989,parallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,3|2,5|4,20,34,0.99999999999999989,parallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,3|2,6|5,20,41,0.99999999999999989,parallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,3|4,4|5,21,28,0.99999999999999978,parallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,3|4,5|6,21,35,0.99999999999999989,parallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,3|5,4|6,22,29,0.99999999999999967,parallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,4|0,5|1,24,31,1,parallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,4|0,6|2,24,38,1,parallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,4|1,5|2,25,32,1,parallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,4|1,6|3,25,39,1,parallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,4|2,5|3,26,33,1,parallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,4|2,6|4,26,40,1,parallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,4|3,5|4,27,34,0.99999999999999989,parallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,4|3,6|5,27,41,0.99999999999999989,parallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,4|5,5|6,28,35,0.99999999999999989,parallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,5|0,6|1,30,37,1,parallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,5|1,6|2,31,38,1,parallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,5|2,6|3,32,39,1,parallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,5|3,6|4,33,40,1,parallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,5|4,6|5,34,41,0.99999999999999989,parallel
