run_id,t,p_family,theta,source_feature,class_mode,class_label,n_pairs_in_class,sum_pair_weight,sum_contrib_primary,mean_contrib_primary,max_contrib_primary,class_rank,cumulative_class_contrib,case_label,normalized_class_contrib,is_top1_class,is_top3_class,is_top5_class,branch_basis,branch_label
M33_V0_alpha_peak_robustness,2.0,P1,1e-09,neg,delta_p,dp=-2,5,0.9999999997766336,1.621522752422704e-07,3.243045504845407e-08,1.621522752422704e-07,1,1.0,t=2.0__pf=P1__th=1e-09,1.0,1,1,1,nearest_branch_readout,S2
M33_V0_alpha_peak_robustness,2.0,P1,1e-09,neg,delta_p,dp=-1,5,3.338237794619358e-15,7.103696713881867e-48,1.4207393427763737e-48,7.103696713881867e-48,2,1.0,t=2.0__pf=P1__th=1e-09,4.380880072924226e-41,0,1,1,nearest_branch_readout,S2
M33_V0_alpha_peak_robustness,2.0,P1,1e-09,neg,delta_p,dp=-5,2,3.7200759751898963e-44,3.407508134455119e-52,1.7037540672275595e-52,3.407508134455119e-52,3,1.0,t=2.0__pf=P1__th=1e-09,2.101424805396032e-45,0,1,1,nearest_branch_readout,S2
M33_V0_alpha_peak_robustness,2.0,P1,1e-09,neg,delta_p,dp=-7,1,3.09111478588108e-97,3.876865576521248e-106,3.876865576521248e-106,3.876865576521248e-106,4,1.0,t=2.0__pf=P1__th=1e-09,2.390879542534235e-99,0,0,1,nearest_branch_readout,S2
M33_V0_alpha_peak_robustness,2.0,P1,1e-09,neg,delta_p,dp=-3,4,2.233631435704248e-10,1.4763223150055353e-134,3.6908057875138384e-135,1.4763223150055353e-134,5,1.0,t=2.0__pf=P1__th=1e-09,9.104542707154581e-128,0,0,1,nearest_branch_readout,S2
M33_V0_alpha_peak_robustness,2.0,P1,1e-09,neg,delta_p,dp=-4,3,7.456392879583304e-25,0.0,0.0,0.0,6,1.0,t=2.0__pf=P1__th=1e-09,0.0,0,0,0,nearest_branch_readout,S2
M33_V0_alpha_peak_robustness,2.0,P1,1e-09,neg,delta_p,dp=-6,1,2.773834801911028e-68,0.0,0.0,0.0,7,1.0,t=2.0__pf=P1__th=1e-09,0.0,0,0,0,nearest_branch_readout,S2
M33_V0_alpha_peak_robustness,2.0,P1,1e-09,neg,delta_p2,dp2=-12,2,0.9999999997766336,1.621522752422704e-07,8.10761376211352e-08,1.621522752422704e-07,1,1.0,t=2.0__pf=P1__th=1e-09,1.0,1,1,1,nearest_branch_readout,S2
M33_V0_alpha_peak_robustness,2.0,P1,1e-09,neg,delta_p2,dp2=-4,1,1.114383157591424e-29,1.8168428216393583e-36,1.8168428216393583e-36,1.8168428216393583e-36,2,1.0,t=2.0__pf=P1__th=1e-09,1.1204547200616384e-29,0,1,1,nearest_branch_readout,S2
M33_V0_alpha_peak_robustness,2.0,P1,1e-09,neg,delta_p2,dp2=-1,1,2.4891212527715507e-39,7.103696713881867e-48,7.103696713881867e-48,7.103696713881867e-48,3,1.0,t=2.0__pf=P1__th=1e-09,4.380880072924226e-41,0,1,1,nearest_branch_readout,S2
M33_V0_alpha_peak_robustness,2.0,P1,1e-09,neg,delta_p2,dp2=-15,2,2.233631435704248e-10,3.407508134455119e-52,1.7037540672275595e-52,3.407508134455119e-52,4,1.0,t=2.0__pf=P1__th=1e-09,2.101424805396032e-45,0,0,1,nearest_branch_readout,S2
M33_V0_alpha_peak_robustness,2.0,P1,1e-09,neg,delta_p2,dp2=0,2,1.2418498222008293e-58,2.026031848327237e-65,1.0130159241636185e-65,2.026031848327237e-65,5,1.0,t=2.0__pf=P1__th=1e-09,1.2494624853707166e-58,0,0,1,nearest_branch_readout,S2
