export_class,baseline_launchable,alternative_launchable,delta_launchable,baseline_shell_count,alternative_shell_count,delta_shell_count,baseline_mean_neighbor_count,alternative_mean_neighbor_count,delta_mean_neighbor_count,baseline_a1_status,alternative_a1_status,delta_a1_status,baseline_b1_status,alternative_b1_status,delta_b1_status,baseline_combined_status,alternative_combined_status,delta_combined_status,baseline_dominant_channel,alternative_dominant_channel,dominance_shift,interpretation_flag,comment
negative,True,True,same_true,4,4,0,2.0,3.0,1.0,weak,partial,strengthened,active,active,unchanged,structured_intermediate,structured_intermediate,unchanged,b1,mixed,shifted,soft_shift,
abs,True,True,same_true,4,4,0,2.0,3.0,1.0,weak,partial,strengthened,active,active,unchanged,structured_intermediate,structured_intermediate,unchanged,b1,mixed,shifted,soft_shift,
positive,False,False,same_false,0,0,0,0.0,0.0,0.0,not_applicable,not_applicable,unchanged,not_applicable,not_applicable,unchanged,boundary_non_launchable,boundary_non_launchable,unchanged,none,none,unchanged,stable,
