node_id,system_id,atom_label,sp2_role,degree_target,x_ref,y_ref,z_ref,curvature_label,local_environment_label,claim_role
C60_37,c60,C,fullerene_sp2_carbon,3,0.0,0.201774106168,-0.979432085486,curved_fullerene_reference,one_pentagon_two_hexagon_vertex,reference_control_only
C60_38,c60,C,fullerene_sp2_carbon,3,0.326477361829,0.403548212335,-0.854728829825,curved_fullerene_reference,one_pentagon_two_hexagon_vertex,reference_control_only
C60_39,c60,C,fullerene_sp2_carbon,3,-0.326477361829,0.403548212335,-0.854728829825,curved_fullerene_reference,one_pentagon_two_hexagon_vertex,reference_control_only
C60_40,c60,C,fullerene_sp2_carbon,3,0.854728829825,0.326477361829,-0.403548212335,curved_fullerene_reference,one_pentagon_two_hexagon_vertex,reference_control_only
C60_41,c60,C,fullerene_sp2_carbon,3,0.854728829825,-0.326477361829,-0.403548212335,curved_fullerene_reference,one_pentagon_two_hexagon_vertex,reference_control_only
C60_42,c60,C,fullerene_sp2_carbon,3,0.652954723658,-0.201774106168,-0.730025574164,curved_fullerene_reference,one_pentagon_two_hexagon_vertex,reference_control_only
C60_43,c60,C,fullerene_sp2_carbon,3,0.652954723658,0.201774106168,-0.730025574164,curved_fullerene_reference,one_pentagon_two_hexagon_vertex,reference_control_only
C60_44,c60,C,fullerene_sp2_carbon,3,0.979432085486,0.0,-0.201774106168,curved_fullerene_reference,one_pentagon_two_hexagon_vertex,reference_control_only
C60_45,c60,C,fullerene_sp2_carbon,3,0.854728829825,0.326477361829,0.403548212335,curved_fullerene_reference,one_pentagon_two_hexagon_vertex,reference_control_only
C60_46,c60,C,fullerene_sp2_carbon,3,0.854728829825,-0.326477361829,0.403548212335,curved_fullerene_reference,one_pentagon_two_hexagon_vertex,reference_control_only
C60_47,c60,C,fullerene_sp2_carbon,3,0.652954723658,-0.201774106168,0.730025574164,curved_fullerene_reference,one_pentagon_two_hexagon_vertex,reference_control_only
C60_48,c60,C,fullerene_sp2_carbon,3,0.652954723658,0.201774106168,0.730025574164,curved_fullerene_reference,one_pentagon_two_hexagon_vertex,reference_control_only
C60_49,c60,C,fullerene_sp2_carbon,3,0.979432085486,0.0,0.201774106168,curved_fullerene_reference,one_pentagon_two_hexagon_vertex,reference_control_only
C60_50,c60,C,fullerene_sp2_carbon,3,-0.854728829825,0.326477361829,-0.403548212335,curved_fullerene_reference,one_pentagon_two_hexagon_vertex,reference_control_only
C60_51,c60,C,fullerene_sp2_carbon,3,-0.854728829825,-0.326477361829,-0.403548212335,curved_fullerene_reference,one_pentagon_two_hexagon_vertex,reference_control_only
C60_52,c60,C,fullerene_sp2_carbon,3,-0.652954723658,-0.201774106168,-0.730025574164,curved_fullerene_reference,one_pentagon_two_hexagon_vertex,reference_control_only
C60_53,c60,C,fullerene_sp2_carbon,3,-0.652954723658,0.201774106168,-0.730025574164,curved_fullerene_reference,one_pentagon_two_hexagon_vertex,reference_control_only
C60_54,c60,C,fullerene_sp2_carbon,3,-0.979432085486,0.0,-0.201774106168,curved_fullerene_reference,one_pentagon_two_hexagon_vertex,reference_control_only
C60_55,c60,C,fullerene_sp2_carbon,3,-0.854728829825,0.326477361829,0.403548212335,curved_fullerene_reference,one_pentagon_two_hexagon_vertex,reference_control_only
C60_56,c60,C,fullerene_sp2_carbon,3,-0.854728829825,-0.326477361829,0.403548212335,curved_fullerene_reference,one_pentagon_two_hexagon_vertex,reference_control_only
C60_57,c60,C,fullerene_sp2_carbon,3,-0.652954723658,-0.201774106168,0.730025574164,curved_fullerene_reference,one_pentagon_two_hexagon_vertex,reference_control_only
C60_58,c60,C,fullerene_sp2_carbon,3,-0.652954723658,0.201774106168,0.730025574164,curved_fullerene_reference,one_pentagon_two_hexagon_vertex,reference_control_only
C60_59,c60,C,fullerene_sp2_carbon,3,-0.979432085486,0.0,0.201774106168,curved_fullerene_reference,one_pentagon_two_hexagon_vertex,reference_control_only
