component_id,dominant_abs_delta,component_size,expected_pair_ids,observed_pair_ids,missing_pair_ids,extra_pair_ids,distance_rule_complete
1,1,12,0|1;1|0;1|2;2|1;2|3;3|2;3|4;4|3;4|5;5|4;5|6;6|5,0|1;1|0;1|2;2|1;2|3;3|2;3|4;4|3;4|5;5|4;5|6;6|5,,,true
2,2,10,0|2;1|3;2|0;2|4;3|1;3|5;4|2;4|6;5|3;6|4,0|2;1|3;2|0;2|4;3|1;3|5;4|2;4|6;5|3;6|4,,,true
3,3,8,0|3;1|4;2|5;3|0;3|6;4|1;5|2;6|3,0|3;1|4;2|5;3|0;3|6;4|1;5|2;6|3,,,true
4,4,6,0|4;1|5;2|6;4|0;5|1;6|2,0|4;1|5;2|6;4|0;5|1;6|2,,,true
5,5,4,0|5;1|6;5|0;6|1,0|5;1|6;5|0;6|1,,,true
6,6,2,0|6;6|0,0|6;6|0,,,true
