path_id,path_role,variant_id,segment_id,regime_parameter,distance_to_type_D,simple_rigidity_surrogate,spacing_cv,grid_deviation_score,delta_p2_relative_gain_vs_type_A
FSW_PATH,quantitative_corridor,FSW_D01,FSW_TYPE_D_NEAR,14.0,0.030656,0.0006559999999999,0.0267353830372978,0.0300000000000001,0.0339999999999999
FSW_PATH,quantitative_corridor,FSW_D02,FSW_TYPE_D_NEAR,12.0,0.0465760000000001,0.0015759999999999,0.0423228853758618,0.0450000000000001,0.0349999999999999
FSW_PATH,quantitative_corridor,FSW_D03,FSW_TYPE_D_NEAR,10.0,0.0572959999999999,0.0022959999999999,0.053359236306062,0.0549999999999999,0.036
FSW_PATH,quantitative_corridor,FSW_D04,FSW_ENTRY,8.0,0.113176,0.0131759999999999,0.1431256344367255,0.1333333333333334,0.087
FSW_PATH,quantitative_corridor,FSW_D05,FSW_CORE,6.5,0.24016,0.04016,0.2862851439971509,0.23,0.223
FSW_PATH,quantitative_corridor,FSW_D06,FSW_CORE,6.0,0.245176,0.045176,0.3134903621063912,0.2450000000000001,0.257
FSW_PATH,quantitative_corridor,FSW_D07,FSW_OUTER,5.0,0.25668,0.0566799999999999,0.3967926970654128,0.2766666666666667,0.051
FSW_PATH,quantitative_corridor,FSW_D08,FSW_OUTER,4.0,0.252944,0.052944,0.447656872164036,0.2699999999999999,0.123
FSW_PATH,quantitative_corridor,FSW_D09,FSW_OUTER,3.0,0.247816,0.047816,0.4774425746234624,0.2566666666666666,0.153
AO_PATH,quantitative_structural_transition,AO_A01,AO_EARLY,0.03,0.0698666666666668,0.0031999999999999,0.0514259477226579,0.0666666666666668,0.446
AO_PATH,quantitative_structural_transition,AO_A02,AO_EARLY,0.05,0.0698666666666663,0.0031999999999999,0.0505076272276103,0.0666666666666663,0.44
AO_PATH,quantitative_structural_transition,AO_A03,AO_EARLY,0.08,0.1079839999999999,0.0079839999999999,0.0753399929298099,0.1049999999999998,0.42
AO_PATH,quantitative_structural_transition,AO_A04,AO_TRANSFER,0.1,0.127704,0.0277039999999999,0.129630207299459,0.195,0.318
AO_PATH,quantitative_structural_transition,AO_A05,AO_TRANSFER,0.12,0.1452799999999999,0.0452799999999999,0.1564639538620044,0.2499999999999998,0.248
AO_PATH,quantitative_structural_transition,AO_A06,AO_TRANSFER,0.14,0.176536,0.076536,0.1892280473334911,0.3250000000000002,0.214
AO_PATH,quantitative_structural_transition,AO_A07,AO_TRANSITION,0.17,0.3,0.1499600000000001,0.2405258952793052,0.4533333333333335,0.1389999999999999
AO_PATH,quantitative_structural_transition,AO_A08,AO_TRANSITION,0.19,0.3,0.2170639999999997,0.2702443602646979,0.5449999999999995,0.135
AO_PATH,quantitative_structural_transition,AO_A09,AO_JUMP,0.22,0.3,0.2866239999999999,0.2915973678275185,0.6266666666666664,0.1169999999999999
