control_family,scan_type,grid_scale,rigidity_scale,grid_noise_pct,rigidity_noise_pct,n_rows,separation_margin_point,separation_margin_mean,separation_margin_ci_low,separation_margin_ci_high,separation_ratio_mean,assignment_score_mean,stability_score_mean,type_B_like_pattern_detected,notes
K1a,grid_boundary,1.1,,0.1,,5,-0.027442334691962833,0.0018727686832102138,-0.02330823284540599,0.09000258342868293,1.047682414970996,0.63,0.0,False,Grid-disrupted control boundary scan.
K1a,grid_boundary,1.2,,0.1,,5,-0.020536241599665106,0.013203681738063234,-0.0174655330860139,0.08191877894700803,1.1651938051586377,0.6890000000000001,0.0,False,Grid-disrupted control boundary scan.
K1a,grid_boundary,1.3,,0.1,,5,-0.013699130273909982,0.01942954776266645,-0.014124228203289181,0.09010171021210302,1.2154494021351798,0.7160000000000001,0.0,False,Grid-disrupted control boundary scan.
K1a,grid_boundary,1.4,,0.1,,5,-0.012236232292940408,0.022022362835856516,-0.011263120104845621,0.09513410761324972,1.2004803881691453,0.7310000000000001,0.0,False,Grid-disrupted control boundary scan.
K2a,rigidity_boundary,,0.9,,0.1,5,-0.014017843890204107,0.02081349822840596,-0.011105609110117227,0.10113896296317605,1.224272196304659,0.6960000000000001,0.0,False,Rigidity-disrupted control boundary scan.
K2a,rigidity_boundary,,0.8,,0.1,5,-0.00028506618540682926,0.027291203094080906,0.0025036444903184744,0.0891182424569554,1.2730505498573716,0.7889999999999999,0.0,False,Rigidity-disrupted control boundary scan.
K2a,rigidity_boundary,,0.7,,0.1,5,0.013534460532132031,0.04382565508881281,0.013372262458874275,0.1265767410955133,1.4515599744099845,0.8410000000000001,0.0,False,Rigidity-disrupted control boundary scan.
K2a,rigidity_boundary,,0.6,,0.1,5,0.04294395483341795,0.07549913465622254,0.04040266232622888,0.16786490635021623,1.7822423126299085,0.94,0.0,False,Rigidity-disrupted control boundary scan.
K3a,coupled_boundary,1.1,0.9,0.1,0.1,5,-0.018268566515525664,0.01498054834068931,-0.014748703968535944,0.09539491463870609,1.168194183508202,0.723,0.0,False,Coupled structural disruption boundary scan.
K3a,coupled_boundary,1.1,0.8,0.1,0.1,5,-0.005580056325787536,0.02331110783220003,-0.0008660705341083899,0.06648414391276034,1.2418392134669545,0.7840000000000003,0.0,False,Coupled structural disruption boundary scan.
K3a,coupled_boundary,1.1,0.7,0.1,0.1,5,0.027949428347516153,0.056969832842443315,0.03050960168208514,0.11662737819649158,1.5338179073608185,0.919,0.0,False,Coupled structural disruption boundary scan.
K3a,coupled_boundary,1.2,0.9,0.1,0.1,5,-0.010854624678445307,0.019927058410461714,-0.0063837675461319,0.0676070678918559,1.2129325712244254,0.736,0.0,False,Coupled structural disruption boundary scan.
K3a,coupled_boundary,1.2,0.8,0.1,0.1,5,0.0004610437578879689,0.03054857321860211,0.0031263883584967166,0.09632501474691177,1.2901399791566652,0.806,0.0,False,Coupled structural disruption boundary scan.
K3a,coupled_boundary,1.2,0.7,0.1,0.1,5,0.016635314658757394,0.04854368173855834,0.019679931493374415,0.11975062342277161,1.4621833743836148,0.8789999999999999,0.0,False,Coupled structural disruption boundary scan.
K3a,coupled_boundary,1.3,0.9,0.1,0.1,5,-0.004036228617048138,0.030266910935472655,-0.002994452229287974,0.10385395765110807,1.278549093651278,0.778,0.0,False,Coupled structural disruption boundary scan.
K3a,coupled_boundary,1.3,0.8,0.1,0.1,5,0.013109262972167829,0.047133893817491126,0.011473827601250347,0.11677032666079616,1.4383724831757527,0.8440000000000001,0.0,False,Coupled structural disruption boundary scan.
K3a,coupled_boundary,1.3,0.7,0.1,0.1,5,0.030589257940793202,0.061014563435406316,0.02984836140179332,0.11629805591615189,1.5880956780891058,0.9050000000000002,0.0,False,Coupled structural disruption boundary scan.
