control_family,scan_type,grid_scale,rigidity_scale,grid_noise_pct,rigidity_noise_pct,n_rows,separation_margin_point,separation_margin_mean,separation_margin_ci_low,separation_margin_ci_high,separation_ratio_mean,assignment_score_mean,stability_score_mean,type_B_like_pattern_detected,notes
K2a,rigidity_boundary,,0.55,,0.1,5,0.060485214806821425,0.08288892786028118,0.054632844376971454,0.14019834725491817,1.7928077542735281,0.9590000000000001,0.0,False,Rigidity-disrupted control boundary scan.
K2a,rigidity_boundary,,0.6,,0.1,5,0.04754365902724397,0.07995196139668949,0.04394985077596756,0.14962946454574122,1.7683483714725798,0.9230000000000003,0.0,False,Rigidity-disrupted control boundary scan.
K2a,rigidity_boundary,,0.65,,0.1,5,0.0303055745013536,0.06168087976272254,0.029309838545374008,0.12501395820140118,1.619506590623821,0.9140000000000001,0.0,False,Rigidity-disrupted control boundary scan.
K3a,coupled_boundary,1.35,0.7,0.1,0.1,5,0.028996541031382272,0.06069532644922033,0.029099725468419695,0.11989126919179867,1.5876419047722288,0.92,0.0,False,Coupled structural disruption boundary scan.
K3a,coupled_boundary,1.3,0.7,0.1,0.1,5,0.031547882257938004,0.05923100393938231,0.031025211055071576,0.12620174764050432,1.5177003717873672,0.9180000000000001,0.0,False,Coupled structural disruption boundary scan.
K3a,coupled_boundary,1.25,0.7,0.1,0.1,5,0.025357000521599393,0.05677181055637859,0.02735177232012255,0.1293307031670833,1.5242918133549521,0.912,0.0,False,Coupled structural disruption boundary scan.
K3a,coupled_boundary,1.35,0.75,0.1,0.1,5,0.01993391170183223,0.054047169513780975,0.020892813577014314,0.1366756286154577,1.5218416473041145,0.897,0.0,False,Coupled structural disruption boundary scan.
K2a,rigidity_boundary,,0.7,,0.1,5,0.017958726180398177,0.0508518060726141,0.019859244867305757,0.12680405743036302,1.5445873131993597,0.85,0.0,False,Rigidity-disrupted control boundary scan.
K3a,coupled_boundary,1.3,0.8,0.1,0.1,5,0.013940121341752959,0.048549452139370085,0.015532254784841826,0.11483950962413535,1.46950072768848,0.8860000000000001,0.0,False,Coupled structural disruption boundary scan.
K3a,coupled_boundary,1.3,0.75,0.1,0.1,5,0.012293311941783708,0.043681371043745136,0.01383716117538636,0.1130411787337675,1.4315412525314217,0.873,0.0,False,Coupled structural disruption boundary scan.
K3a,coupled_boundary,1.25,0.8,0.1,0.1,5,0.005033021817603595,0.04015118419267032,0.007021765207027657,0.11182743003159398,1.3880165040085848,0.812,0.0,False,Coupled structural disruption boundary scan.
K2a,rigidity_boundary,,0.75,,0.1,5,0.01016545565855076,0.03750654726971535,0.010733869484130345,0.11182733355661921,1.3575036252306405,0.831,0.0,False,Rigidity-disrupted control boundary scan.
K3a,coupled_boundary,1.25,0.75,0.1,0.1,5,0.008456502170708341,0.03603170552357748,0.00971075356919289,0.0855125562117186,1.3352699733968418,0.856,0.0,False,Coupled structural disruption boundary scan.
K3a,coupled_boundary,1.35,0.8,0.1,0.1,5,0.00022434949794838954,0.03181445270761933,0.0028378241677095846,0.11973348227234336,1.3064724107035992,0.816,0.0,False,Coupled structural disruption boundary scan.
