run_id,t,p_family,theta,packet_model,source_feature,p0,sigma_p,alpha_pref_source_model,branch_pref_source_model,source_score_model,alpha_pref_readout,branch_pref_readout,readout_score,delta_alpha,branch_match_flag,alpha_match_flag,loss_total
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,-2.5,0.8,1.88,,1.0786584533570567e-09,1.58,S2,0.0022301602906277,0.2999999999999998,0,0,1.2988849193153567
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,-2.5,1.0,1.88,,8.457634696688839e-10,1.58,S2,0.0022301602906277,0.2999999999999998,0,0,1.2988849194318042
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,-2.5,1.3,1.86,,6.302901700011465e-10,1.58,S2,0.0022301602906277,0.28,0,0,1.278884919539541
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,-2.5,1.7,1.74,S3,4.972495771716626e-10,1.58,S2,0.0022301602906277,0.15999999999999992,0,0,1.158884919606061
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,-2.5,2.2,1.74,S3,3.93661245617543e-10,1.58,S2,0.0022301602906277,0.15999999999999992,0,0,1.1588849196578555
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,-2.5,3.0,1.72,S3,3.356216936431408e-10,1.58,S2,0.0022301602906277,0.1399999999999999,0,0,1.138884919686875
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,-2.0,0.3,1.88,,7.728395992020138e-10,1.58,S2,0.0022301602906277,0.2999999999999998,0,0,1.2988849194682661
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,-2.0,0.5,1.88,,7.244361239060115e-10,1.58,S2,0.0022301602906277,0.2999999999999998,0,0,1.2988849194924679
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,-2.0,0.8,1.88,,5.969028067631783e-10,1.58,S2,0.0022301602906277,0.2999999999999998,0,0,1.2988849195562344
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,-2.0,1.0,1.86,,5.238689264803855e-10,1.58,S2,0.0022301602906277,0.28,0,0,1.2788849195927516
