run_id,t,p_family,theta,packet_model,source_feature,p0,sigma_p,alpha_candidate,candidate_value,candidate_prominence,source_branch_id,source_branch_center,delta_to_branch_center
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,-2.0,3.0,1.72,6.17649285238913e-08,3.096641411176275e-10,S3,1.77,0.050000000000000044
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,-1.5,0.3,1.7,6.754160195995906e-12,3.677149872888645e-14,,,
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,-1.5,0.5,1.7,7.726004569514474e-09,4.2216399725304046e-11,,,
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,-1.5,0.8,1.72,5.1692918559378936e-08,2.6747275623833743e-10,S3,1.77,0.050000000000000044
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,-1.5,1.0,1.72,6.619731406171591e-08,3.426071567738563e-10,S3,1.77,0.050000000000000044
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,-1.5,1.3,1.72,7.220242115505068e-08,3.638006590631195e-10,S3,1.77,0.050000000000000044
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,-1.5,1.7,1.72,6.987299562764547e-08,3.3874478165806927e-10,S3,1.77,0.050000000000000044
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,-1.5,2.2,1.72,6.454425411353329e-08,3.077455200700438e-10,S3,1.77,0.050000000000000044
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,-1.5,3.0,1.72,5.949162216660506e-08,2.883484033879209e-10,S3,1.77,0.050000000000000044
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,-1.0,0.3,1.3,1.1248134375123803e-07,0.0,,,
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,-1.0,0.5,1.3,1.1013248850573604e-07,0.0,,,
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,-1.0,0.8,1.3,9.798174574096437e-08,0.0,,,
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,-1.0,1.0,1.72,6.015015953615108e-08,1.9101003942671164e-10,S3,1.77,0.050000000000000044
