run_id,t,p_family,theta,packet_model,source_feature,best_p0,best_sigma_p,best_alpha_source,best_branch_source,alpha_pref_readout,branch_pref_readout,delta_alpha,branch_match_flag,alpha_match_flag,best_loss_total,fit_label
M33_V0_alpha_peak_robustness,20.0,P0,3e-09,gaussian,abs,-3.5,0.8,1.38,S1,1.42,S1,0.040000000000000036,1,1,-1.1537976557562022,K2
M33_V0_alpha_peak_robustness,20.0,P0,1e-08,gaussian,abs,-3.5,0.8,1.38,S1,1.42,S1,0.040000000000000036,1,1,-1.1652744854341621,K2
M33_V0_alpha_peak_robustness,20.0,P1,1e-09,gaussian,abs,-3.5,0.8,1.38,S1,1.41,S1,0.030000000000000027,1,1,-1.0957883631809482,K2
M33_V0_alpha_peak_robustness,20.0,P1,3e-09,gaussian,abs,-3.5,0.8,1.38,S1,1.41,S1,0.030000000000000027,1,1,-1.0957883631809482,K2
M33_V0_alpha_peak_robustness,20.0,P1,1e-08,gaussian,abs,-3.5,0.8,1.38,S1,1.41,S1,0.030000000000000027,1,1,-1.1073235434638056,K2
M33_V0_alpha_peak_robustness,20.0,P2,1e-09,gaussian,neg,-4.0,0.3,1.78,S3,1.73,S3,0.050000000000000044,1,1,-0.9731274004801148,K2
M33_V0_alpha_peak_robustness,20.0,P2,3e-09,gaussian,neg,-4.0,0.3,1.78,S3,1.73,S3,0.050000000000000044,1,1,-0.9731274004801148,K2
M33_V0_alpha_peak_robustness,20.0,P2,1e-08,gaussian,abs,4.0,1.0,1.42,S1,1.42,S1,0.0,1,1,-1.0253417285185136,K2
M33_V0_alpha_peak_robustness,20.0,P3,1e-09,gaussian,abs,3.5,0.3,1.64,S2,1.66,S2,0.020000000000000018,1,1,-1.342767849236961,K2
M33_V0_alpha_peak_robustness,20.0,P3,3e-09,gaussian,abs,3.5,0.3,1.64,S2,1.66,S2,0.020000000000000018,1,1,-1.344084064506479,K2
M33_V0_alpha_peak_robustness,20.0,P3,1e-08,gaussian,abs,3.5,0.3,1.64,S2,1.66,S2,0.020000000000000018,1,1,-1.3492385796071735,K2
M33_V0_alpha_peak_robustness,40.0,P0,1e-09,gaussian,abs,-1.5,0.3,1.78,S3,1.8,S3,0.020000000000000018,1,1,-1.1702259242593955,K2
M33_V0_alpha_peak_robustness,40.0,P0,3e-09,gaussian,abs,-1.5,0.3,1.78,S3,1.8,S3,0.020000000000000018,1,1,-1.1702259242593955,K2
M33_V0_alpha_peak_robustness,40.0,P0,1e-08,gaussian,abs,-1.5,0.3,1.78,S3,1.8,S3,0.020000000000000018,1,1,-1.1702259242593955,K2
M33_V0_alpha_peak_robustness,40.0,P1,1e-09,gaussian,abs,2.0,0.3,1.78,S3,1.8,S3,0.020000000000000018,1,1,-1.1130280889886979,K2
M33_V0_alpha_peak_robustness,40.0,P1,3e-09,gaussian,abs,2.0,0.3,1.78,S3,1.8,S3,0.020000000000000018,1,1,-1.1152731162270992,K2
M33_V0_alpha_peak_robustness,40.0,P1,1e-08,gaussian,abs,2.0,0.3,1.78,S3,1.8,S3,0.020000000000000018,1,1,-1.116566937596464,K2
M33_V0_alpha_peak_robustness,40.0,P2,1e-09,gaussian,neg,-1.5,0.8,1.42,S1,1.42,S1,0.0,1,1,-1.0750655100479554,K2
M33_V0_alpha_peak_robustness,40.0,P2,3e-09,gaussian,neg,4.0,0.3,1.6,S2,1.63,S2,0.029999999999999805,1,1,-1.0414708557170196,K2
M33_V0_alpha_peak_robustness,40.0,P2,1e-08,gaussian,neg,4.0,0.3,1.6,S2,1.63,S2,0.029999999999999805,1,1,-1.042906819347725,K2
M33_V0_alpha_peak_robustness,40.0,P3,1e-09,gaussian,neg,-2.0,0.5,1.58,S2,1.57,S2,0.010000000000000009,1,1,-1.2602544475500155,K2
M33_V0_alpha_peak_robustness,40.0,P3,3e-09,gaussian,neg,-2.0,0.5,1.58,S2,1.57,S2,0.010000000000000009,1,1,-1.2592994669922484,K2
M33_V0_alpha_peak_robustness,40.0,P3,1e-08,gaussian,neg,-2.0,0.5,1.58,S2,1.57,S2,0.010000000000000009,1,1,-1.2640909943726424,K2
