family_id,family_role,family_type,source_model,description,n_pairs_total,mean_branch_match_frac,mean_identity_strength,pair_strength,delta_p_strength,delta_p2_strength,delta_p2_dominance_margin,dominant_level,family_pass_flag,min_delta_p2,max_delta_p2,median_delta_p2
ER1_RING,external_control,ring,free_particle_on_ring,Freies Teilchen auf einem Ring als externer Sanity-/Kontrollfall,6,0.85,1.0,1.0,1.0,0.925,-0.07499999999999996,delta_p,0,-197392088021787.22,197392088021787.22,0.0
ER2_CAVITY,external_main_test,rectangular_cavity,rectangular_em_cavity_resonator,Rechteckiger EM-Hohlraumresonator als externer Haupttest,25,0.5540023668639052,0.40800473372781065,0.012442962769924636,0.014931555323909563,0.48100355029585795,0.4660719949719484,delta_p2,1,-3.0,-0.04976331360946862,-0.9502366863905314
ER3_MEMBRANE,external_hard_bias_test,circular_membrane,circular_membrane_bessel_modes,Kreisförmige Membran über Bessel-Nullstellen als harter externer Bias-Test,6,0.85,1.0,0.1101655523950596,0.1321986628740715,0.925,0.7928013371259286,delta_p2,1,-11.096082739972756,-4.26894043161283,-7.685307675411284
