kernel_mode,measure,n,mean,median,pstdev,min,max,k0_reference,k0_empirical_percentile,n1a_alpha_0p5_reference,n1a_alpha_0p5_empirical_percentile,n1a_alpha_2p0_reference,n1a_alpha_2p0_empirical_percentile
abs,natural_connectivity,10,0.003051899863897985,0.0030145852118480237,0.0011790340600762014,0.0011164495203902888,0.0050679625837969245,0.0017783914642937565,0.2,0.0030354261908791605,0.5,0.001466165371799909,0.2
abs,weighted_clustering,10,0.3139412111827313,0.31061965827061244,0.11085373819134019,0.06620699142084344,0.4961769050462342,0.5774939548539433,1.0,0.797960790223184,1.0,0.4852370571362735,0.9
abs,global_efficiency,10,0.03991629372154072,0.039760490174693325,0.010104418832131633,0.017471373797719267,0.05259021114915093,0.03257505218325736,0.2,0.04382327830032783,0.6,0.02843449320401629,0.2
positive,natural_connectivity,10,0.0015574205840196524,0.001422438489277846,0.0013008129230727317,9.546148610528818e-05,0.004003328873548584,0.0003041088777768339,0.4,0.000802156910606951,0.4,0.00025624630413296817,0.2
positive,weighted_clustering,10,0.10458081797681358,0.0,0.14242750416308625,0.0,0.405370662080227,0.0,0.6,0.0,0.6,0.0,0.6
positive,global_efficiency,10,0.023808889361784963,0.021896366030781156,0.015219125877381076,0.006898814411366485,0.05012021227130884,0.008221107068325071,0.2,0.013353080533320003,0.5,0.00754642214371578,0.1
negative,natural_connectivity,10,0.0014718844567808448,0.001031969806216258,0.0015043448181614337,4.84210985539036e-07,0.004831746256119277,0.0014426745880994339,0.7,0.002149951208727135,0.7,0.001191167457239534,0.7
negative,weighted_clustering,10,0.06716003557441635,0.0,0.11902952955796395,0.0,0.37489582184646153,0.0,0.7,0.0,0.7,0.0,0.7
negative,global_efficiency,10,0.020185465655245198,0.016221163159374725,0.014922317341301297,0.00023195091064726753,0.04846021381998905,0.030714944500889546,0.7,0.038946051237796785,0.9,0.025581293775599156,0.7
