run_id,candidate_id,pair_mapping_status,pair_mapping_coverage_status,directed_pair_support,mapping_uses_lag_as_value_source,mapping_uses_pair_id_as_value_source,mapping_decision
QSB-PLANCK-BRIDGE-RESONATOR-INDEPENDENT-LAG-VARIABLE-ADMISSIBILITY-EXECUTION-01,CAND-0031,false,not_measured_inventory_only,false,false,unknown,not_pair_mappable
QSB-PLANCK-BRIDGE-RESONATOR-INDEPENDENT-LAG-VARIABLE-ADMISSIBILITY-EXECUTION-01,CAND-0032,false,not_measured_inventory_only,false,false,unknown,not_pair_mappable
QSB-PLANCK-BRIDGE-RESONATOR-INDEPENDENT-LAG-VARIABLE-ADMISSIBILITY-EXECUTION-01,CAND-0033,false,not_measured_inventory_only,false,false,unknown,not_pair_mappable
QSB-PLANCK-BRIDGE-RESONATOR-INDEPENDENT-LAG-VARIABLE-ADMISSIBILITY-EXECUTION-01,CAND-0034,false,not_measured_inventory_only,false,false,unknown,not_pair_mappable
QSB-PLANCK-BRIDGE-RESONATOR-INDEPENDENT-LAG-VARIABLE-ADMISSIBILITY-EXECUTION-01,CAND-0035,false,not_measured_inventory_only,false,true,unknown,not_pair_mappable
QSB-PLANCK-BRIDGE-RESONATOR-INDEPENDENT-LAG-VARIABLE-ADMISSIBILITY-EXECUTION-01,CAND-0036,false,not_measured_inventory_only,false,true,unknown,not_pair_mappable
QSB-PLANCK-BRIDGE-RESONATOR-INDEPENDENT-LAG-VARIABLE-ADMISSIBILITY-EXECUTION-01,CAND-0037,false,not_measured_inventory_only,false,true,unknown,not_pair_mappable
QSB-PLANCK-BRIDGE-RESONATOR-INDEPENDENT-LAG-VARIABLE-ADMISSIBILITY-EXECUTION-01,CAND-0038,false,not_measured_inventory_only,false,false,unknown,not_pair_mappable
QSB-PLANCK-BRIDGE-RESONATOR-INDEPENDENT-LAG-VARIABLE-ADMISSIBILITY-EXECUTION-01,CAND-0039,false,not_measured_inventory_only,false,true,unknown,not_pair_mappable
QSB-PLANCK-BRIDGE-RESONATOR-INDEPENDENT-LAG-VARIABLE-ADMISSIBILITY-EXECUTION-01,CAND-0040,false,not_measured_inventory_only,false,true,unknown,not_pair_mappable
QSB-PLANCK-BRIDGE-RESONATOR-INDEPENDENT-LAG-VARIABLE-ADMISSIBILITY-EXECUTION-01,CAND-0041,false,not_measured_inventory_only,false,false,unknown,not_pair_mappable
QSB-PLANCK-BRIDGE-RESONATOR-INDEPENDENT-LAG-VARIABLE-ADMISSIBILITY-EXECUTION-01,CAND-0042,false,not_measured_inventory_only,false,false,unknown,not_pair_mappable
QSB-PLANCK-BRIDGE-RESONATOR-INDEPENDENT-LAG-VARIABLE-ADMISSIBILITY-EXECUTION-01,CAND-0043,false,not_measured_inventory_only,false,true,unknown,not_pair_mappable
QSB-PLANCK-BRIDGE-RESONATOR-INDEPENDENT-LAG-VARIABLE-ADMISSIBILITY-EXECUTION-01,CAND-0044,false,not_measured_inventory_only,false,true,unknown,not_pair_mappable
QSB-PLANCK-BRIDGE-RESONATOR-INDEPENDENT-LAG-VARIABLE-ADMISSIBILITY-EXECUTION-01,CAND-0045,false,not_measured_inventory_only,false,false,unknown,not_pair_mappable
QSB-PLANCK-BRIDGE-RESONATOR-INDEPENDENT-LAG-VARIABLE-ADMISSIBILITY-EXECUTION-01,CAND-0046,false,not_measured_inventory_only,false,false,unknown,not_pair_mappable
QSB-PLANCK-BRIDGE-RESONATOR-INDEPENDENT-LAG-VARIABLE-ADMISSIBILITY-EXECUTION-01,CAND-0047,false,not_measured_inventory_only,false,false,unknown,not_pair_mappable
QSB-PLANCK-BRIDGE-RESONATOR-INDEPENDENT-LAG-VARIABLE-ADMISSIBILITY-EXECUTION-01,CAND-0048,false,not_measured_inventory_only,false,false,unknown,not_pair_mappable
QSB-PLANCK-BRIDGE-RESONATOR-INDEPENDENT-LAG-VARIABLE-ADMISSIBILITY-EXECUTION-01,CAND-0049,false,not_measured_inventory_only,false,false,unknown,not_pair_mappable
QSB-PLANCK-BRIDGE-RESONATOR-INDEPENDENT-LAG-VARIABLE-ADMISSIBILITY-EXECUTION-01,CAND-0050,false,not_measured_inventory_only,false,false,unknown,not_pair_mappable
QSB-PLANCK-BRIDGE-RESONATOR-INDEPENDENT-LAG-VARIABLE-ADMISSIBILITY-EXECUTION-01,CAND-0051,false,not_measured_inventory_only,false,false,unknown,not_pair_mappable
QSB-PLANCK-BRIDGE-RESONATOR-INDEPENDENT-LAG-VARIABLE-ADMISSIBILITY-EXECUTION-01,CAND-0052,false,not_measured_inventory_only,false,true,unknown,not_pair_mappable
QSB-PLANCK-BRIDGE-RESONATOR-INDEPENDENT-LAG-VARIABLE-ADMISSIBILITY-EXECUTION-01,CAND-0053,false,not_measured_inventory_only,false,false,unknown,not_pair_mappable
QSB-PLANCK-BRIDGE-RESONATOR-INDEPENDENT-LAG-VARIABLE-ADMISSIBILITY-EXECUTION-01,CAND-0054,false,not_measured_inventory_only,false,false,unknown,not_pair_mappable
QSB-PLANCK-BRIDGE-RESONATOR-INDEPENDENT-LAG-VARIABLE-ADMISSIBILITY-EXECUTION-01,CAND-0055,false,not_measured_inventory_only,false,true,unknown,not_pair_mappable
QSB-PLANCK-BRIDGE-RESONATOR-INDEPENDENT-LAG-VARIABLE-ADMISSIBILITY-EXECUTION-01,CAND-0056,false,not_measured_inventory_only,false,false,unknown,not_pair_mappable
QSB-PLANCK-BRIDGE-RESONATOR-INDEPENDENT-LAG-VARIABLE-ADMISSIBILITY-EXECUTION-01,CAND-0057,false,not_measured_inventory_only,false,false,unknown,not_pair_mappable
QSB-PLANCK-BRIDGE-RESONATOR-INDEPENDENT-LAG-VARIABLE-ADMISSIBILITY-EXECUTION-01,CAND-0058,false,not_measured_inventory_only,false,false,unknown,not_pair_mappable
QSB-PLANCK-BRIDGE-RESONATOR-INDEPENDENT-LAG-VARIABLE-ADMISSIBILITY-EXECUTION-01,CAND-0059,false,not_measured_inventory_only,false,false,unknown,not_pair_mappable
QSB-PLANCK-BRIDGE-RESONATOR-INDEPENDENT-LAG-VARIABLE-ADMISSIBILITY-EXECUTION-01,CAND-0060,false,not_measured_inventory_only,false,false,unknown,not_pair_mappable
QSB-PLANCK-BRIDGE-RESONATOR-INDEPENDENT-LAG-VARIABLE-ADMISSIBILITY-EXECUTION-01,CAND-0061,false,not_measured_inventory_only,false,false,unknown,not_pair_mappable
QSB-PLANCK-BRIDGE-RESONATOR-INDEPENDENT-LAG-VARIABLE-ADMISSIBILITY-EXECUTION-01,CAND-0062,false,not_measured_inventory_only,false,false,unknown,not_pair_mappable
QSB-PLANCK-BRIDGE-RESONATOR-INDEPENDENT-LAG-VARIABLE-ADMISSIBILITY-EXECUTION-01,CAND-0063,false,not_measured_inventory_only,false,false,unknown,not_pair_mappable
QSB-PLANCK-BRIDGE-RESONATOR-INDEPENDENT-LAG-VARIABLE-ADMISSIBILITY-EXECUTION-01,CAND-0064,false,not_measured_inventory_only,false,false,unknown,not_pair_mappable
QSB-PLANCK-BRIDGE-RESONATOR-INDEPENDENT-LAG-VARIABLE-ADMISSIBILITY-EXECUTION-01,CAND-0065,false,not_measured_inventory_only,false,false,unknown,not_pair_mappable
QSB-PLANCK-BRIDGE-RESONATOR-INDEPENDENT-LAG-VARIABLE-ADMISSIBILITY-EXECUTION-01,CAND-0066,false,not_measured_inventory_only,false,false,unknown,not_pair_mappable
QSB-PLANCK-BRIDGE-RESONATOR-INDEPENDENT-LAG-VARIABLE-ADMISSIBILITY-EXECUTION-01,CAND-0067,false,not_measured_inventory_only,false,false,unknown,not_pair_mappable
QSB-PLANCK-BRIDGE-RESONATOR-INDEPENDENT-LAG-VARIABLE-ADMISSIBILITY-EXECUTION-01,CAND-0068,false,not_measured_inventory_only,false,false,unknown,not_pair_mappable
QSB-PLANCK-BRIDGE-RESONATOR-INDEPENDENT-LAG-VARIABLE-ADMISSIBILITY-EXECUTION-01,CAND-0069,false,not_measured_inventory_only,false,false,unknown,not_pair_mappable
QSB-PLANCK-BRIDGE-RESONATOR-INDEPENDENT-LAG-VARIABLE-ADMISSIBILITY-EXECUTION-01,CAND-0070,false,not_measured_inventory_only,false,true,unknown,not_pair_mappable
QSB-PLANCK-BRIDGE-RESONATOR-INDEPENDENT-LAG-VARIABLE-ADMISSIBILITY-EXECUTION-01,CAND-0071,false,not_measured_inventory_only,false,false,unknown,not_pair_mappable
QSB-PLANCK-BRIDGE-RESONATOR-INDEPENDENT-LAG-VARIABLE-ADMISSIBILITY-EXECUTION-01,CAND-0072,false,not_measured_inventory_only,false,true,unknown,not_pair_mappable
QSB-PLANCK-BRIDGE-RESONATOR-INDEPENDENT-LAG-VARIABLE-ADMISSIBILITY-EXECUTION-01,CAND-0073,false,not_measured_inventory_only,false,false,unknown,not_pair_mappable
QSB-PLANCK-BRIDGE-RESONATOR-INDEPENDENT-LAG-VARIABLE-ADMISSIBILITY-EXECUTION-01,CAND-0074,false,not_measured_inventory_only,false,false,unknown,not_pair_mappable
QSB-PLANCK-BRIDGE-RESONATOR-INDEPENDENT-LAG-VARIABLE-ADMISSIBILITY-EXECUTION-01,CAND-0075,false,not_measured_inventory_only,false,true,unknown,not_pair_mappable
QSB-PLANCK-BRIDGE-RESONATOR-INDEPENDENT-LAG-VARIABLE-ADMISSIBILITY-EXECUTION-01,CAND-0076,false,not_measured_inventory_only,false,false,unknown,not_pair_mappable
QSB-PLANCK-BRIDGE-RESONATOR-INDEPENDENT-LAG-VARIABLE-ADMISSIBILITY-EXECUTION-01,CAND-0077,false,not_measured_inventory_only,false,false,unknown,not_pair_mappable
QSB-PLANCK-BRIDGE-RESONATOR-INDEPENDENT-LAG-VARIABLE-ADMISSIBILITY-EXECUTION-01,CAND-0078,false,not_measured_inventory_only,false,true,unknown,not_pair_mappable
QSB-PLANCK-BRIDGE-RESONATOR-INDEPENDENT-LAG-VARIABLE-ADMISSIBILITY-EXECUTION-01,CAND-0079,false,not_measured_inventory_only,false,false,unknown,not_pair_mappable
QSB-PLANCK-BRIDGE-RESONATOR-INDEPENDENT-LAG-VARIABLE-ADMISSIBILITY-EXECUTION-01,CAND-0080,false,not_measured_inventory_only,false,false,unknown,not_pair_mappable
QSB-PLANCK-BRIDGE-RESONATOR-INDEPENDENT-LAG-VARIABLE-ADMISSIBILITY-EXECUTION-01,CAND-0081,false,not_measured_inventory_only,false,false,unknown,not_pair_mappable
QSB-PLANCK-BRIDGE-RESONATOR-INDEPENDENT-LAG-VARIABLE-ADMISSIBILITY-EXECUTION-01,CAND-0082,false,not_measured_inventory_only,false,true,unknown,not_pair_mappable
QSB-PLANCK-BRIDGE-RESONATOR-INDEPENDENT-LAG-VARIABLE-ADMISSIBILITY-EXECUTION-01,CAND-0083,false,not_measured_inventory_only,false,false,unknown,not_pair_mappable
QSB-PLANCK-BRIDGE-RESONATOR-INDEPENDENT-LAG-VARIABLE-ADMISSIBILITY-EXECUTION-01,CAND-0084,false,not_measured_inventory_only,false,false,unknown,not_pair_mappable
QSB-PLANCK-BRIDGE-RESONATOR-INDEPENDENT-LAG-VARIABLE-ADMISSIBILITY-EXECUTION-01,CAND-0085,false,not_measured_inventory_only,false,false,unknown,not_pair_mappable
