component_id,abs_delta,component_size,internal_edge_rows,candidate_edge_count,non_candidate_edge_count,strength_min,strength_q1,strength_median,strength_mean,strength_q3,strength_max,strength_std,theta_edge_min,theta_edge_max,margin_min,margin_median,margin_mean,margin_max,all_internal_edges_are_candidates
1,1,12,66,66,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,true
2,2,10,45,45,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,true
3,3,8,28,28,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,true
4,4,6,15,15,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,true
5,5,4,6,6,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,true
6,6,2,1,1,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,true
