pair_a,pair_b,component_a,component_b,abs_delta_a,abs_delta_b,same_component,relation_zone,strength,theta_edge,margin_to_theta,edge_candidate_flag
0|1,0|2,1,2,1,2,false,between_confirmed_blocks,0.24235456744935086,0.5,-0.25764543255064914,0
0|1,1|3,1,2,1,2,false,between_confirmed_blocks,0.2423545674493508,0.5,-0.2576454325506492,0
0|1,2|0,1,2,1,2,false,between_confirmed_blocks,0.2423545674493508,0.5,-0.2576454325506492,0
0|1,2|4,1,2,1,2,false,between_confirmed_blocks,0.2423545674493508,0.5,-0.2576454325506492,0
0|1,3|1,1,2,1,2,false,between_confirmed_blocks,0.24235456744935086,0.5,-0.25764543255064914,0
0|1,3|5,1,2,1,2,false,between_confirmed_blocks,0.2423545674493508,0.5,-0.2576454325506492,0
0|1,4|2,1,2,1,2,false,between_confirmed_blocks,0.24235456744935086,0.5,-0.25764543255064914,0
0|1,4|6,1,2,1,2,false,between_confirmed_blocks,0.24235456744935086,0.5,-0.25764543255064914,0
0|1,5|3,1,2,1,2,false,between_confirmed_blocks,0.24235456744935086,0.5,-0.25764543255064914,0
0|1,6|4,1,2,1,2,false,between_confirmed_blocks,0.2423545674493508,0.5,-0.2576454325506492,0
1|0,1|3,1,2,1,2,false,between_confirmed_blocks,0.2423545674493508,0.5,-0.2576454325506492,0
1|0,2|0,1,2,1,2,false,between_confirmed_blocks,0.24235456744935086,0.5,-0.25764543255064914,0
1|0,2|4,1,2,1,2,false,between_confirmed_blocks,0.2423545674493508,0.5,-0.2576454325506492,0
1|0,3|1,1,2,1,2,false,between_confirmed_blocks,0.2423545674493509,0.5,-0.2576454325506491,0
1|0,3|5,1,2,1,2,false,between_confirmed_blocks,0.2423545674493508,0.5,-0.2576454325506492,0
1|0,4|2,1,2,1,2,false,between_confirmed_blocks,0.2423545674493509,0.5,-0.2576454325506491,0
1|0,4|6,1,2,1,2,false,between_confirmed_blocks,0.2423545674493509,0.5,-0.2576454325506491,0
1|0,5|3,1,2,1,2,false,between_confirmed_blocks,0.2423545674493509,0.5,-0.2576454325506491,0
1|0,6|4,1,2,1,2,false,between_confirmed_blocks,0.24235456744935086,0.5,-0.25764543255064914,0
