abs_delta_a,abs_delta_b,edge_rows,candidate_edge_count,non_candidate_edge_count,strength_min,strength_q1,strength_median,strength_mean,strength_q3,strength_max,strength_std,margin_min,margin_median,margin_mean,margin_max
1,1,66,66,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.5,0.5,0.5
1,2,120,0,120,0.2423545674493508,0.2423545674493508,0.24235456744935086,0.24235456744935083,0.24235456744935086,0.2423545674493509,3.3753437724372186e-17,-0.2576454325506492,-0.25764543255064914,-0.25764543255064914,-0.2576454325506491
1,3,96,0,96,0.31132172327636753,0.3113217232763676,0.31132172327636765,0.3113217232763676,0.31132172327636765,0.31132172327636765,4.214422134951739e-17,-0.18867827672363247,-0.18867827672363235,-0.18867827672363238,-0.18867827672363235
1,4,72,0,72,0.10651164470321299,0.10651164470321299,0.10651164470321299,0.106511644703213,0.10651164470321303,0.10651164470321303,2.0525524970989362e-17,-0.393488355296787,-0.393488355296787,-0.39348835529678694,-0.39348835529678694
1,5,48,0,48,0.18664400870287964,0.18664400870287967,0.1866440087028797,0.1866440087028797,0.18664400870287975,0.1866440087028798,5.4881148318940936e-17,-0.31335599129712033,-0.31335599129712033,-0.3133559912971203,-0.3133559912971202
1,6,24,0,24,0.08054800671397025,0.08054800671397025,0.08054800671397028,0.08054800671397026,0.08054800671397029,0.08054800671397029,2.0816681711721685e-17,-0.4194519932860298,-0.4194519932860298,-0.4194519932860297,-0.4194519932860297
2,2,45,45,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.5,0.5,0.5
2,3,80,0,80,0.0780082760320604,0.0780082760320604,0.0780082760320604,0.07800827603206041,0.07800827603206043,0.07800827603206043,1.3238565818820348e-17,-0.4219917239679396,-0.4219917239679396,-0.4219917239679396,-0.4219917239679396
2,4,60,0,60,0.2620039382719885,0.26200393827198853,0.26200393827198853,0.2620039382719886,0.2620039382719886,0.26200393827198865,5.346101418296007e-17,-0.23799606172801152,-0.23799606172801144,-0.23799606172801144,-0.23799606172801135
2,5,40,0,40,0.04845091076863317,0.04845091076863317,0.04845091076863321,0.0484509107686332,0.04845091076863321,0.04845091076863323,2.1100969859653942e-17,-0.45154908923136683,-0.4515490892313668,-0.45154908923136683,-0.4515490892313668
2,6,20,0,20,0.34091958020143304,0.34091958020143304,0.3409195802014331,0.3409195802014331,0.34091958020143315,0.34091958020143315,4.799387683327045e-17,-0.15908041979856696,-0.1590804197985669,-0.1590804197985669,-0.15908041979856685
3,3,28,28,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.5,0.5,0.5
3,4,48,0,48,0.02815337486850762,0.02815337486850762,0.02815337486850762,0.02815337486850762,0.02815337486850762,0.02815337486850762,0.0,-0.4718466251314924,-0.4718466251314924,-0.4718466251314924,-0.4718466251314924
3,5,32,0,32,0.050057322793776914,0.050057322793776914,0.050057322793776914,0.05005732279377692,0.05005732279377692,0.05005732279377694,1.2018516789897274e-17,-0.4499426772062231,-0.4499426772062231,-0.4499426772062231,-0.44994267720622305
3,6,16,0,16,0.2496419050598439,0.2496419050598439,0.2496419050598439,0.2496419050598439,0.2496419050598439,0.24964190505984396,2.4037033579794548e-17,-0.2503580949401561,-0.2503580949401561,-0.2503580949401561,-0.25035809494015604
4,4,15,15,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.5,0.5,0.5
4,5,24,0,24,0.019253805674400607,0.01925380567440063,0.019253805674400645,0.019253805674400642,0.019253805674400656,0.01925380567440067,2.2800232930995428e-17,-0.4807461943255994,-0.48074619432559934,-0.48074619432559934,-0.48074619432559934
4,6,12,0,12,0.08320353274661693,0.08320353274661693,0.08320353274661693,0.08320353274661695,0.08320353274661695,0.08320353274661697,1.8027775184845912e-17,-0.41679646725338304,-0.41679646725338304,-0.41679646725338304,-0.41679646725338304
5,5,6,6,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.5,0.5,0.5
5,6,8,0,8,0.006936140120339703,0.006936140120339726,0.00693614012033974,0.0069361401203397325,0.006936140120339746,0.006936140120339746,1.7716009473624437e-17,-0.4930638598796603,-0.4930638598796603,-0.4930638598796603,-0.4930638598796602
6,6,1,1,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.5,0.5,0.5
