run_id,t,p_family,theta,n_candidates,preferred_branch,preferred_alpha,preferred_score,branch_B1_flag,branch_B2_flag,branch_B3_flag,source_link_flag,branch_label
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,1,B2,1.58,0.0022301602906277,0,1,0,0,B1
M33_V0_alpha_peak_robustness,2.0,P0,3e-09,1,B2,1.58,0.0023107285538403,0,1,0,0,B1
M33_V0_alpha_peak_robustness,2.0,P0,1e-08,1,B2,1.58,0.0332858764505565,0,1,0,0,B1
M33_V0_alpha_peak_robustness,2.0,P1,1e-09,1,B2,1.58,-0.0141651171513212,0,1,0,0,B1
M33_V0_alpha_peak_robustness,2.0,P1,3e-09,1,B2,1.58,-0.0144330562584699,0,1,0,0,B1
M33_V0_alpha_peak_robustness,2.0,P1,1e-08,1,B2,1.58,0.055642942724195,0,1,0,0,B1
M33_V0_alpha_peak_robustness,2.0,P2,1e-09,1,,1.48,0.0093211608087131,0,0,0,0,B0
M33_V0_alpha_peak_robustness,2.0,P2,3e-09,1,,1.48,-0.0002363657396549,0,0,0,0,B0
M33_V0_alpha_peak_robustness,2.0,P2,1e-08,1,B2,1.58,0.0337370391193341,0,1,0,0,B1
M33_V0_alpha_peak_robustness,2.0,P3,1e-09,1,,1.52,-0.0157517425220664,0,0,0,0,B0
M33_V0_alpha_peak_robustness,2.0,P3,3e-09,1,,1.52,-0.0238877896820729,0,0,0,0,B0
M33_V0_alpha_peak_robustness,2.0,P3,1e-08,1,,1.51,-0.0121055208573956,0,0,0,0,B0
M33_V0_alpha_peak_robustness,5.0,P0,1e-09,1,B1,1.41,-0.0726740394380842,1,0,0,0,B1
M33_V0_alpha_peak_robustness,5.0,P0,3e-09,1,B1,1.41,-0.072434471549698,1,0,0,0,B1
M33_V0_alpha_peak_robustness,5.0,P0,1e-08,1,,2.9,0.1609931784947438,0,0,0,0,B0
M33_V0_alpha_peak_robustness,5.0,P1,1e-09,1,B1,1.42,-0.0133867141182938,1,0,0,0,B1
