run_id,t,p_family,theta,preferred_scope,preferred_alpha_coherent,preferred_coherence_score,readout_label,branch_id,branch_center,branch_left,branch_right,distance_to_branch_center,in_branch_flag,source_alpha_reference,delta_source_branch,source_link_flag
M33_V0_alpha_peak_robustness,20.0,P0,3e-09,band,1.42,0.3875951735194283,R3,B1,1.42,1.38,1.46,0.0,1,2.2,0.7800000000000002,0
M33_V0_alpha_peak_robustness,20.0,P0,1e-08,band,1.42,0.4105488328753481,R3,B1,1.42,1.38,1.46,0.0,1,2.2,0.7800000000000002,0
M33_V0_alpha_peak_robustness,20.0,P1,1e-09,band,1.41,0.2515765883689199,R3,B1,1.42,1.38,1.46,0.010000000000000009,1,2.2,0.7900000000000003,0
M33_V0_alpha_peak_robustness,20.0,P1,3e-09,band,1.41,0.2515765883689199,R3,B1,1.42,1.38,1.46,0.010000000000000009,1,2.2,0.7900000000000003,0
M33_V0_alpha_peak_robustness,20.0,P1,1e-08,band,1.41,0.2746469489346346,R3,B1,1.42,1.38,1.46,0.010000000000000009,1,2.2,0.7900000000000003,0
M33_V0_alpha_peak_robustness,20.0,P2,1e-09,band,1.73,0.0462546378792737,R3,B3,1.77,1.72,1.82,0.040000000000000036,1,0.9,0.83,0
M33_V0_alpha_peak_robustness,20.0,P2,3e-09,band,1.73,0.0462546378792737,R3,B3,1.77,1.72,1.82,0.040000000000000036,1,0.9,0.83,0
M33_V0_alpha_peak_robustness,20.0,P2,1e-08,band,1.42,0.0506834350481784,R3,B1,1.42,1.38,1.46,0.0,1,0.9,0.5199999999999999,0
M33_V0_alpha_peak_robustness,20.0,P3,1e-09,band,1.66,0.7255356470217422,R3,B2,1.6,1.55,1.66,0.05999999999999983,1,1.66,0.0,1
M33_V0_alpha_peak_robustness,20.0,P3,3e-09,band,1.66,0.7281680775607784,R3,B2,1.6,1.55,1.66,0.05999999999999983,1,1.66,0.0,1
M33_V0_alpha_peak_robustness,20.0,P3,1e-08,band,1.66,0.738477107762167,R3,B2,1.6,1.55,1.66,0.05999999999999983,1,1.66,0.0,1
M33_V0_alpha_peak_robustness,40.0,P0,1e-09,band,1.8,0.380451650828069,R3,B3,1.77,1.72,1.82,0.030000000000000027,1,1.1,0.7,0
M33_V0_alpha_peak_robustness,40.0,P0,3e-09,band,1.8,0.380451650828069,R3,B3,1.77,1.72,1.82,0.030000000000000027,1,1.1,0.7,0
M33_V0_alpha_peak_robustness,40.0,P0,1e-08,band,1.8,0.380451650828069,R3,B3,1.77,1.72,1.82,0.030000000000000027,1,1.1,0.7,0
M33_V0_alpha_peak_robustness,40.0,P1,1e-09,band,1.8,0.2660559802727548,R3,B3,1.77,1.72,1.82,0.030000000000000027,1,0.8,1.0,0
M33_V0_alpha_peak_robustness,40.0,P1,3e-09,band,1.8,0.2705460347495576,R3,B3,1.77,1.72,1.82,0.030000000000000027,1,0.8,1.0,0
M33_V0_alpha_peak_robustness,40.0,P1,1e-08,band,1.8,0.2731336774882869,R3,B3,1.77,1.72,1.82,0.030000000000000027,1,0.8,1.0,0
M33_V0_alpha_peak_robustness,40.0,P2,1e-09,band,1.42,0.150130876390979,R3,B1,1.42,1.38,1.46,0.0,1,1.74,0.32000000000000006,0
M33_V0_alpha_peak_robustness,40.0,P2,3e-09,band,1.63,0.1429416597342505,R3,B2,1.6,1.55,1.66,0.029999999999999805,1,1.74,0.1100000000000001,1
M33_V0_alpha_peak_robustness,40.0,P2,1e-08,band,1.63,0.1458135869956613,R3,B2,1.6,1.55,1.66,0.029999999999999805,1,1.74,0.1100000000000001,1
M33_V0_alpha_peak_robustness,40.0,P3,1e-09,band,1.57,0.5405088019253488,R3,B2,1.6,1.55,1.66,0.030000000000000027,1,1.58,0.010000000000000009,1
M33_V0_alpha_peak_robustness,40.0,P3,3e-09,band,1.57,0.5385988408098141,R3,B2,1.6,1.55,1.66,0.030000000000000027,1,1.58,0.010000000000000009,1
M33_V0_alpha_peak_robustness,40.0,P3,1e-08,band,1.57,0.5481818955706022,R3,B2,1.6,1.55,1.66,0.030000000000000027,1,1.58,0.010000000000000009,1
