run_id,scan_axis,group_id,step_from,step_to,branch_from,branch_to,transition_type,delta_alpha,score_from,score_to
M33_V0_alpha_peak_robustness,t,P3__1e-09,2.0,5.0,,B1,nan_to_B1,-0.07000000000000006,-0.0157517425220664,0.0981339810500427
M33_V0_alpha_peak_robustness,t,P3__1e-09,5.0,10.0,B1,B2,B1_to_B2,0.1200000000000001,0.0981339810500427,0.174198420573097
M33_V0_alpha_peak_robustness,t,P3__1e-09,10.0,20.0,B2,B2,stay,0.08999999999999986,0.174198420573097,0.7255356470217422
M33_V0_alpha_peak_robustness,t,P3__1e-09,20.0,40.0,B2,B2,stay,-0.08999999999999986,0.7255356470217422,0.5405088019253488
M33_V0_alpha_peak_robustness,t,P3__3e-09,2.0,5.0,,B1,nan_to_B1,-0.07000000000000006,-0.0238877896820729,0.098063761489337
M33_V0_alpha_peak_robustness,t,P3__3e-09,5.0,10.0,B1,B2,B1_to_B2,0.1200000000000001,0.098063761489337,0.1731960056779902
M33_V0_alpha_peak_robustness,t,P3__3e-09,10.0,20.0,B2,B2,stay,0.08999999999999986,0.1731960056779902,0.7281680775607784
M33_V0_alpha_peak_robustness,t,P3__3e-09,20.0,40.0,B2,B2,stay,-0.08999999999999986,0.7281680775607784,0.5385988408098141
M33_V0_alpha_peak_robustness,t,P3__1e-08,2.0,5.0,,B1,nan_to_B1,-0.06000000000000005,-0.0121055208573956,0.1105253708907454
M33_V0_alpha_peak_robustness,t,P3__1e-08,5.0,10.0,B1,B2,B1_to_B2,0.18999999999999995,0.1105253708907454,0.1738954966081106
M33_V0_alpha_peak_robustness,t,P3__1e-08,10.0,20.0,B2,B2,stay,0.020000000000000018,0.1738954966081106,0.738477107762167
M33_V0_alpha_peak_robustness,t,P3__1e-08,20.0,40.0,B2,B2,stay,-0.08999999999999986,0.738477107762167,0.5481818955706022
