export_class,baseline_mode,alternative_mode,baseline_launchable,alternative_launchable,delta_launchable,baseline_shell_count,alternative_shell_count,delta_shell_count,baseline_mean_neighbor_count,alternative_mean_neighbor_count,delta_mean_neighbor_count,baseline_a1_status,alternative_a1_status,delta_a1_status,baseline_b1_status,alternative_b1_status,delta_b1_status,baseline_combined_status,alternative_combined_status,delta_combined_status,interpretation_flag,comment
negative,shared_endpoint,graph_distance_1,False,False,same_false,0,0,0,0.0,0.0,0.0,not_applicable,not_applicable,unchanged,not_applicable,not_applicable,unchanged,boundary_non_launchable,boundary_non_launchable,unchanged,stable,
abs,shared_endpoint,graph_distance_1,False,False,same_false,0,0,0,0.0,0.0,0.0,not_applicable,not_applicable,unchanged,not_applicable,not_applicable,unchanged,boundary_non_launchable,boundary_non_launchable,unchanged,stable,
positive,shared_endpoint,graph_distance_1,False,False,same_false,0,0,0,0.0,0.0,0.0,not_applicable,not_applicable,unchanged,not_applicable,not_applicable,unchanged,boundary_non_launchable,boundary_non_launchable,unchanged,stable,
