k,graph_construction_method,graph_construction_parameters,graph_node_count,graph_edge_count,connected_component_count,largest_component_size,mean_degree,graph_density
2,mutual_knn,{'k': 2},22,17,5,8,1.5454545454545454,0.0735930735930736
3,mutual_knn,{'k': 3},22,23,4,10,2.090909090909091,0.09956709956709957
4,mutual_knn,{'k': 4},22,32,2,12,2.909090909090909,0.13852813852813853
