artifact_id,path,exists,sha256,file_size_bytes,used_for,claim_boundary
IN-01,runs/QSB-OBSERVATIONAL-CANDIDATE-SCOUT-01/input/deep_research_report.md,true,6c9ac9f06a974ab62855c9e076730234d0da9a16e4a9312345535ac8d54dc2e3,30713,precontract source context,input_inventory_only_no_external_verification
IN-02,runs/QSB-OBSERVATIONAL-CANDIDATE-SCOUT-01-DEEP-RESEARCH-INGEST/04_deep_research_ingest_summary.json,true,ad1fd2c460e8fb2ee10e7cda863e58d72a69d66398a5ee9e0be1e218bab084d0,1341,precontract source context,input_inventory_only_no_external_verification
IN-03,runs/QSB-OBSERVATIONAL-CANDIDATE-SCOUT-01-DEEP-RESEARCH-INGEST/07_scoring_matrix_extracted.csv,true,f22a29f21180de5e4078e96a59f0889bb17f09961128d43bd03d20888339af70,1527,precontract source context,input_inventory_only_no_external_verification
IN-04,runs/QSB-OBSERVATIONAL-CANDIDATE-SCOUT-01-DEEP-RESEARCH-INGEST/08_narrative_priority_ranking.csv,true,589aeaab507889475ca931b14cf7a006e8fe3f751e7a0715f722974ec4b6a6f1,1125,precontract source context,input_inventory_only_no_external_verification
IN-05,runs/QSB-OBSERVATIONAL-CANDIDATE-SCOUT-01-DEEP-RESEARCH-INGEST/11_observable_contract_requirements.csv,true,ac5d43ebe6c6630af5400dc4564d5e0ad4f543d61ec132e04588d5c1c98c7837,952,precontract source context,input_inventory_only_no_external_verification
IN-06,runs/QSB-OBSERVATIONAL-CANDIDATE-SCOUT-01-DEEP-RESEARCH-INGEST/14_best_first_practical_run_extract.md,true,5fea58d55c38c08d8018613da9363b2a31f756f0b0bbeae57b9a64fd3be45d00,727,precontract source context,input_inventory_only_no_external_verification
IN-07,runs/QSB-OBSERVATIONAL-CANDIDATE-SCOUT-01-DEEP-RESEARCH-INGEST/15_next_run_recommendation.md,true,1f8b0dcf391a7dcf2365018a7491c4bf4128c5b29f241f03cb7399a1151146cf,523,precontract source context,input_inventory_only_no_external_verification
IN-08,runs/QSB-OBSERVATIONAL-CANDIDATE-SCOUT-01-DEEP-RESEARCH-INGEST/16_deep_research_ingest_review_note.md,true,05db7b3921445ed1803ac137486b5d018cbc35fef37984122a67e01aa115f631,1130,precontract source context,input_inventory_only_no_external_verification
