variant_id,i,j,base_distance,abs_K,phi_ij,cos_phi,sin_phi,distance_like_D,magnitude_edge_at_tau
phase_linear_gradient,0,7,5,0.082084998624,3.13318530718,-0.999964658471,0.008407247367,5.0,False
phase_linear_gradient,0,8,4,0.135335283237,2.68318530718,-0.896758416334,0.442520443295,4.0,False
phase_linear_gradient,0,9,3,0.223130160148,2.23318530718,-0.615002376526,0.788525254426,3.0,False
phase_linear_gradient,0,10,2,0.367879441171,1.78318530718,-0.210795799431,0.977530117665,2.0,True
phase_linear_gradient,0,11,1,0.606530659713,1.33318530718,0.235381442954,0.971903069402,1.0,True
phase_linear_gradient,1,2,1,0.606530659713,-0.45,0.900447102353,-0.434965534111,1.0,True
phase_linear_gradient,1,3,2,0.367879441171,-0.9,0.621609968271,-0.783326909627,2.0,True
phase_linear_gradient,1,4,3,0.223130160148,-1.35,0.219006687093,-0.975723357827,3.0,False
phase_linear_gradient,1,5,4,0.135335283237,-1.8,-0.227202094693,-0.973847630878,4.0,False
phase_linear_gradient,1,6,5,0.082084998624,-2.25,-0.628173622723,-0.778073196888,5.0,False
phase_linear_gradient,1,7,6,0.049787068368,-2.7,-0.904072142017,-0.427379880234,6.0,False
phase_linear_gradient,1,8,5,0.082084998624,3.13318530718,-0.999964658471,0.008407247367,5.0,False
phase_linear_gradient,1,9,4,0.135335283237,2.68318530718,-0.896758416334,0.442520443295,4.0,False
phase_linear_gradient,1,10,3,0.223130160148,2.23318530718,-0.615002376526,0.788525254426,3.0,False
phase_linear_gradient,1,11,2,0.367879441171,1.78318530718,-0.210795799431,0.977530117665,2.0,True
phase_linear_gradient,2,3,1,0.606530659713,-0.45,0.900447102353,-0.434965534111,1.0,True
phase_linear_gradient,2,4,2,0.367879441171,-0.9,0.621609968271,-0.783326909627,2.0,True
phase_linear_gradient,2,5,3,0.223130160148,-1.35,0.219006687093,-0.975723357827,3.0,False
phase_linear_gradient,2,6,4,0.135335283237,-1.8,-0.227202094693,-0.973847630878,4.0,False
phase_linear_gradient,2,7,5,0.082084998624,-2.25,-0.628173622723,-0.778073196888,5.0,False
phase_linear_gradient,2,8,6,0.049787068368,-2.7,-0.904072142017,-0.427379880234,6.0,False
phase_linear_gradient,2,9,5,0.082084998624,3.13318530718,-0.999964658471,0.008407247367,5.0,False
phase_linear_gradient,2,10,4,0.135335283237,2.68318530718,-0.896758416334,0.442520443295,4.0,False
phase_linear_gradient,2,11,3,0.223130160148,2.23318530718,-0.615002376526,0.788525254426,3.0,False
phase_linear_gradient,3,4,1,0.606530659713,-0.45,0.900447102353,-0.434965534111,1.0,True
phase_linear_gradient,3,5,2,0.367879441171,-0.9,0.621609968271,-0.783326909627,2.0,True
phase_linear_gradient,3,6,3,0.223130160148,-1.35,0.219006687093,-0.975723357827,3.0,False
phase_linear_gradient,3,7,4,0.135335283237,-1.8,-0.227202094693,-0.973847630878,4.0,False
phase_linear_gradient,3,8,5,0.082084998624,-2.25,-0.628173622723,-0.778073196888,5.0,False
phase_linear_gradient,3,9,6,0.049787068368,-2.7,-0.904072142017,-0.427379880234,6.0,False
phase_linear_gradient,3,10,5,0.082084998624,3.13318530718,-0.999964658471,0.008407247367,5.0,False
phase_linear_gradient,3,11,4,0.135335283237,2.68318530718,-0.896758416334,0.442520443295,4.0,False
phase_linear_gradient,4,5,1,0.606530659713,-0.45,0.900447102353,-0.434965534111,1.0,True
phase_linear_gradient,4,6,2,0.367879441171,-0.9,0.621609968271,-0.783326909627,2.0,True
phase_linear_gradient,4,7,3,0.223130160148,-1.35,0.219006687093,-0.975723357827,3.0,False
phase_linear_gradient,4,8,4,0.135335283237,-1.8,-0.227202094693,-0.973847630878,4.0,False
phase_linear_gradient,4,9,5,0.082084998624,-2.25,-0.628173622723,-0.778073196888,5.0,False
phase_linear_gradient,4,10,6,0.049787068368,-2.7,-0.904072142017,-0.427379880234,6.0,False
phase_linear_gradient,4,11,5,0.082084998624,3.13318530718,-0.999964658471,0.008407247367,5.0,False
phase_linear_gradient,5,6,1,0.606530659713,-0.45,0.900447102353,-0.434965534111,1.0,True
phase_linear_gradient,5,7,2,0.367879441171,-0.9,0.621609968271,-0.783326909627,2.0,True
phase_linear_gradient,5,8,3,0.223130160148,-1.35,0.219006687093,-0.975723357827,3.0,False
phase_linear_gradient,5,9,4,0.135335283237,-1.8,-0.227202094693,-0.973847630878,4.0,False
phase_linear_gradient,5,10,5,0.082084998624,-2.25,-0.628173622723,-0.778073196888,5.0,False
phase_linear_gradient,5,11,6,0.049787068368,-2.7,-0.904072142017,-0.427379880234,6.0,False
phase_linear_gradient,6,7,1,0.606530659713,-0.45,0.900447102353,-0.434965534111,1.0,True
phase_linear_gradient,6,8,2,0.367879441171,-0.9,0.621609968271,-0.783326909627,2.0,True
phase_linear_gradient,6,9,3,0.223130160148,-1.35,0.219006687093,-0.975723357827,3.0,False
phase_linear_gradient,6,10,4,0.135335283237,-1.8,-0.227202094693,-0.973847630878,4.0,False
phase_linear_gradient,6,11,5,0.082084998624,-2.25,-0.628173622723,-0.778073196888,5.0,False
phase_linear_gradient,7,8,1,0.606530659713,-0.45,0.900447102353,-0.434965534111,1.0,True
phase_linear_gradient,7,9,2,0.367879441171,-0.9,0.621609968271,-0.783326909627,2.0,True
phase_linear_gradient,7,10,3,0.223130160148,-1.35,0.219006687093,-0.975723357827,3.0,False
phase_linear_gradient,7,11,4,0.135335283237,-1.8,-0.227202094693,-0.973847630878,4.0,False
phase_linear_gradient,8,9,1,0.606530659713,-0.45,0.900447102353,-0.434965534111,1.0,True
phase_linear_gradient,8,10,2,0.367879441171,-0.9,0.621609968271,-0.783326909627,2.0,True
phase_linear_gradient,8,11,3,0.223130160148,-1.35,0.219006687093,-0.975723357827,3.0,False
phase_linear_gradient,9,10,1,0.606530659713,-0.45,0.900447102353,-0.434965534111,1.0,True
phase_linear_gradient,9,11,2,0.367879441171,-0.9,0.621609968271,-0.783326909627,2.0,True
phase_linear_gradient,10,11,1,0.606530659713,-0.45,0.900447102353,-0.434965534111,1.0,True
phase_random_low,0,1,1,0.606530659713,0.141585500368,0.989993506038,0.141112926421,1.0,True
phase_random_low,0,2,2,0.367879441171,0.279841737833,0.961099162919,0.276203546388,2.0,True
phase_random_low,0,3,3,0.223130160148,-0.013049282947,0.999914859315,-0.013048912603,3.0,False
phase_random_low,0,4,4,0.135335283237,0.164421662149,0.986513183715,0.163681820481,4.0,False
phase_random_low,0,5,5,0.082084998624,0.190335953519,0.981940731891,0.189188792091,5.0,False
phase_random_low,0,6,6,0.049787068368,-0.257775078336,0.966959569804,-0.254929775359,6.0,False
phase_random_low,0,7,5,0.082084998624,0.163851105008,0.986606412969,0.163118931728,5.0,False
phase_random_low,0,8,4,0.135335283237,0.126272031258,0.992038274395,0.125936738625,4.0,False
phase_random_low,0,9,3,0.223130160148,0.191240674253,0.981769167023,0.190077096682,3.0,False
phase_random_low,0,10,2,0.367879441171,-0.324748255373,0.947731080656,-0.319070209763,2.0,True
phase_random_low,0,11,1,0.606530659713,0.049930629642,0.998753725065,0.049909885488,1.0,True
phase_random_low,1,2,1,0.606530659713,-0.069718407581,0.997570656079,-0.069661941769,1.0,True
phase_random_low,1,3,2,0.367879441171,-0.142096404769,0.98992128162,-0.141618700021,2.0,True
phase_random_low,1,4,3,0.223130160148,-0.308891864938,0.952671031272,-0.30400313514,3.0,False
phase_random_low,1,5,4,0.135335283237,0.349743333208,0.939460692385,0.342656690383,4.0,False
phase_random_low,1,6,5,0.082084998624,-0.1174722937,0.993108061158,-0.117202298879,5.0,False
phase_random_low,1,7,6,0.049787068368,-0.133639626861,0.991083507304,-0.133242191331,6.0,False
phase_random_low,1,8,5,0.082084998624,-0.268729632493,0.964108965542,-0.265506878557,5.0,False
phase_random_low,1,9,4,0.135335283237,-0.133145754174,0.991149191112,-0.132752706027,4.0,False
phase_random_low,1,10,3,0.223130160148,0.053195591091,0.998585448163,0.053170506084,3.0,False
phase_random_low,1,11,2,0.367879441171,0.295544886679,0.956643580019,0.291261155679,2.0,True
phase_random_low,2,3,1,0.606530659713,0.264216730285,0.965297350411,0.261153260156,1.0,True
phase_random_low,2,4,2,0.367879441171,-0.031783965485,0.99949493229,-0.031778614287,2.0,True
phase_random_low,2,5,3,0.223130160148,0.132661963301,0.991213299666,0.132273181578,3.0,False
phase_random_low,2,6,4,0.135335283237,-0.012558712882,0.999921140402,-0.012558382755,4.0,False
phase_random_low,2,7,5,0.082084998624,-0.337075332666,0.943725970935,-0.330728426027,5.0,False
phase_random_low,2,8,6,0.049787068368,0.223869503847,0.975045704995,0.222004218811,6.0,False
phase_random_low,2,9,5,0.082084998624,0.079670860056,0.996827955427,0.079586602388,5.0,False
phase_random_low,2,10,4,0.135335283237,0.228055127025,0.974107940589,0.226083436105,4.0,False
phase_random_low,2,11,3,0.223130160148,0.315794010489,0.950550081696,0.310571315784,3.0,False
phase_random_low,3,4,1,0.606530659713,0.085260869974,0.996367493342,0.085157608059,1.0,True
phase_random_low,3,5,2,0.367879441171,-0.1346884292,0.990943217518,-0.134281568559,2.0,True
phase_random_low,3,6,3,0.223130160148,0.074906874939,0.997195791622,0.074836843678,3.0,False
phase_random_low,3,7,4,0.135335283237,0.250034428995,0.968903903267,0.247437317788,4.0,False
phase_random_low,3,8,5,0.082084998624,0.306864490511,0.953285401176,0.302071090813,5.0,False
phase_random_low,3,9,6,0.049787068368,0.210631615946,0.977899053049,0.209077598145,6.0,False
phase_random_low,3,10,5,0.082084998624,-0.172489283757,0.985160570868,-0.171635222513,5.0,False
phase_random_low,3,11,4,0.135335283237,-0.319952614308,0.949250322971,-0.314521580086,4.0,False
phase_random_low,4,5,1,0.606530659713,0.051576443504,0.998670230057,0.051553579875,1.0,True
phase_random_low,4,6,2,0.367879441171,0.265307596242,0.96501189292,0.262206114581,2.0,True
phase_random_low,4,7,3,0.223130160148,-0.142758502932,0.989827299168,-0.142274093994,3.0,False
phase_random_low,4,8,4,0.135335283237,-0.275656226208,0.962246794198,-0.27217844708,4.0,False
phase_random_low,4,9,5,0.082084998624,0.343621343052,0.941540815309,0.336898936043,5.0,False
phase_random_low,4,10,6,0.049787068368,0.032354321552,0.999476644595,0.032348677085,6.0,False
phase_random_low,4,11,5,0.082084998624,0.207713882949,0.978504922285,0.206223463903,5.0,False
phase_random_low,5,6,1,0.606530659713,0.158205589906,0.987511576031,0.157546460467,1.0,True
phase_random_low,5,7,2,0.367879441171,0.339239378832,0.943008050133,0.332769916587,2.0,True
phase_random_low,5,8,3,0.223130160148,-0.327148388043,0.946962540791,-0.321343968885,3.0,False
phase_random_low,5,9,4,0.135335283237,0.323922232519,0.947994316587,0.318287253467,4.0,False
phase_random_low,5,10,5,0.082084998624,-0.09402030988,0.995583345639,-0.093881850677,5.0,False
phase_random_low,5,11,6,0.049787068368,0.032321019975,0.999477721303,0.032315392919,6.0,False
phase_random_low,6,7,1,0.606530659713,-0.097555299313,0.995245254507,-0.097400633373,1.0,True
phase_random_low,6,8,2,0.367879441171,0.133739049373,0.991070255132,0.133340726685,2.0,True
phase_random_low,6,9,3,0.223130160148,-0.214509215171,0.977080984222,-0.212867917433,3.0,False
phase_random_low,6,10,4,0.135335283237,0.051145853028,0.998692335956,0.05112355722,4.0,False
phase_random_low,6,11,5,0.082084998624,-0.172888748146,0.985091930109,-0.172028745374,5.0,False
phase_random_low,7,8,1,0.606530659713,0.013289050534,0.999911701867,0.013288659399,1.0,True
phase_random_low,7,9,2,0.367879441171,-0.27824517651,0.961538913706,-0.274668741266,2.0,True
phase_random_low,7,10,3,0.223130160148,0.074471236249,0.997228298821,0.074402419523,3.0,False
phase_random_low,7,11,4,0.135335283237,-0.347191398756,0.940332069793,-0.340258135125,4.0,False
phase_random_low,8,9,1,0.606530659713,0.263332960702,0.965527772716,0.260300057844,1.0,True
phase_random_low,8,10,2,0.367879441171,0.131009928572,0.991430466838,0.130635483027,2.0,True
phase_random_low,8,11,3,0.223130160148,0.049600105611,0.998770166926,0.04957977066,3.0,False
phase_random_low,9,10,1,0.606530659713,0.260896018121,0.9661592414,0.25794635151,1.0,True
phase_random_low,9,11,2,0.367879441171,0.273623622985,0.962798036857,0.270222020243,2.0,True
phase_random_low,10,11,1,0.606530659713,0.221369068823,0.975597763464,0.219565488916,1.0,True
phase_random_high,0,1,1,0.606530659713,0.116112760882,0.993266483685,0.115852027981,1.0,True
phase_random_high,0,2,2,0.367879441171,-1.729185222663,-0.157727474579,-0.987482680234,2.0,True
phase_random_high,0,3,3,0.223130160148,-0.634651674439,0.80527826652,-0.592897051326,3.0,False
phase_random_high,0,4,4,0.135335283237,2.027046244422,-0.440584722521,0.897711034955,4.0,False
phase_random_high,0,5,5,0.082084998624,-0.627360959833,0.809579469422,-0.587010291809,5.0,False
phase_random_high,0,6,6,0.049787068368,-0.494584460738,0.880166028159,-0.474665948721,6.0,False
phase_random_high,0,7,5,0.082084998624,-0.893771984558,0.626476453302,-0.779440346311,5.0,False
phase_random_high,0,8,4,0.135335283237,-0.745760586502,0.734572033602,-0.678530712238,4.0,False
phase_random_high,0,9,3,0.223130160148,-1.145926993321,0.412201735958,-0.911092601701,3.0,False
phase_random_high,0,10,2,0.367879441171,1.416071043532,0.154108670166,0.988053904289,2.0,True
phase_random_high,0,11,1,0.606530659713,-0.91422077886,0.610407971765,-0.792087184599,1.0,True
phase_random_high,1,2,1,0.606530659713,0.553314934181,0.85078716737,0.525510414586,1.0,True
phase_random_high,1,3,2,0.367879441171,-1.288635540083,0.278431637617,-0.96045604958,2.0,True
phase_random_high,1,4,3,0.223130160148,2.374476825068,-0.719915454279,0.694061768641,3.0,False
phase_random_high,1,5,4,0.135335283237,1.110921178353,0.443836229955,0.896107918154,4.0,False
phase_random_high,1,6,5,0.082084998624,1.164873627199,0.394866647932,0.918738445016,5.0,False
