export_label,ceiling,neighbor_min,b1_conflict_penalty,focal_unit_id,a1_status,a1_score,a1_neighbor_count,b1_status,b1_relative_fragility,outcome,promotion
negative,0.85,3,1.0,p0_1,materially_active,1.0,2,materially_active,0.125904,Outcome C,A1_and_B1
negative,0.85,3,1.0,p0_3,materially_active,1.0,2,materially_active,0.179535,Outcome C,A1_and_B1
negative,0.85,3,1.0,p1_2,materially_active,1.0,2,materially_active,0.240315,Outcome C,A1_and_B1
negative,0.85,3,1.0,p2_3,materially_active,1.0,2,materially_active,0.125904,Outcome C,A1_and_B1
negative,0.85,3,1.25,p0_1,materially_active,1.0,2,materially_active,0.125904,Outcome C,A1_and_B1
negative,0.85,3,1.25,p0_3,materially_active,1.0,2,materially_active,0.179535,Outcome C,A1_and_B1
negative,0.85,3,1.25,p1_2,materially_active,1.0,2,materially_active,0.240315,Outcome C,A1_and_B1
negative,0.85,3,1.25,p2_3,materially_active,1.0,2,materially_active,0.125904,Outcome C,A1_and_B1
negative,0.85,4,1.0,p0_1,materially_active,1.0,2,materially_active,0.125904,Outcome C,A1_and_B1
negative,0.85,4,1.0,p0_3,materially_active,1.0,2,materially_active,0.179535,Outcome C,A1_and_B1
negative,0.85,4,1.0,p1_2,materially_active,1.0,2,materially_active,0.240315,Outcome C,A1_and_B1
negative,0.85,4,1.0,p2_3,materially_active,1.0,2,materially_active,0.125904,Outcome C,A1_and_B1
negative,0.85,4,1.25,p0_1,materially_active,1.0,2,materially_active,0.125904,Outcome C,A1_and_B1
negative,0.85,4,1.25,p0_3,materially_active,1.0,2,materially_active,0.179535,Outcome C,A1_and_B1
negative,0.85,4,1.25,p1_2,materially_active,1.0,2,materially_active,0.240315,Outcome C,A1_and_B1
negative,0.85,4,1.25,p2_3,materially_active,1.0,2,materially_active,0.125904,Outcome C,A1_and_B1
negative,0.95,3,1.0,p0_1,materially_active,1.0,2,materially_active,0.125904,Outcome C,A1_and_B1
negative,0.95,3,1.0,p0_3,materially_active,1.0,2,materially_active,0.179535,Outcome C,A1_and_B1
negative,0.95,3,1.0,p1_2,materially_active,1.0,2,materially_active,0.240315,Outcome C,A1_and_B1
negative,0.95,3,1.0,p2_3,materially_active,1.0,2,materially_active,0.125904,Outcome C,A1_and_B1
negative,0.95,3,1.25,p0_1,materially_active,1.0,2,materially_active,0.125904,Outcome C,A1_and_B1
negative,0.95,3,1.25,p0_3,materially_active,1.0,2,materially_active,0.179535,Outcome C,A1_and_B1
negative,0.95,3,1.25,p1_2,materially_active,1.0,2,materially_active,0.240315,Outcome C,A1_and_B1
negative,0.95,3,1.25,p2_3,materially_active,1.0,2,materially_active,0.125904,Outcome C,A1_and_B1
negative,0.95,4,1.0,p0_1,materially_active,1.0,2,materially_active,0.125904,Outcome C,A1_and_B1
negative,0.95,4,1.0,p0_3,materially_active,1.0,2,materially_active,0.179535,Outcome C,A1_and_B1
negative,0.95,4,1.0,p1_2,materially_active,1.0,2,materially_active,0.240315,Outcome C,A1_and_B1
negative,0.95,4,1.0,p2_3,materially_active,1.0,2,materially_active,0.125904,Outcome C,A1_and_B1
negative,0.95,4,1.25,p0_1,materially_active,1.0,2,materially_active,0.125904,Outcome C,A1_and_B1
negative,0.95,4,1.25,p0_3,materially_active,1.0,2,materially_active,0.179535,Outcome C,A1_and_B1
negative,0.95,4,1.25,p1_2,materially_active,1.0,2,materially_active,0.240315,Outcome C,A1_and_B1
negative,0.95,4,1.25,p2_3,materially_active,1.0,2,materially_active,0.125904,Outcome C,A1_and_B1
