mapping_mode,mapping_label,state,n,median_gain_value,median_gain_vs_A,median_gain_vs_D,positive_direction_fraction,median_sign_stability,median_replicate_consistency,median_null_noise_margin,median_support_sep_baseline,median_support_sep_combined
M0,mixed_as_neutral,A,15,0.0,0.0,0.005667,0.0,0.0,0.0,0.02,0.031164,0.031164
M0,mixed_as_neutral,B,15,0.346623,0.346623,0.35229,1.0,1.0,1.0,0.02,0.031164,0.377787
M0,mixed_as_neutral,C,15,0.696622,0.696622,0.702289,1.0,1.0,1.0,0.02,0.031164,0.727786
M0,mixed_as_neutral,D1,15,-0.005667,-0.005667,0.0,0.4,0.0,0.4,0.02,0.024663,0.018996
M0,mixed_as_neutral,D2,15,-0.005667,-0.005667,0.0,0.2,0.0,0.2,0.02,0.024663,0.020817
M1,mixed_as_boundary,A,15,0.0,0.0,0.00425,0.0,0.0,0.0,0.02,0.031164,0.031164
M1,mixed_as_boundary,B,15,0.346623,0.346623,0.350874,1.0,1.0,1.0,0.02,0.031164,0.377787
M1,mixed_as_boundary,C,15,0.696622,0.696622,0.700873,1.0,1.0,1.0,0.02,0.031164,0.727786
M1,mixed_as_boundary,D1,15,-0.005667,-0.005667,-0.001417,0.4,0.0,0.4,0.02,0.024663,0.018996
M1,mixed_as_boundary,D2,15,-0.002834,-0.002834,0.001416,0.4,0.0,0.4,0.02,0.017063,0.020817
M2,mixed_as_support,A,15,0.0,0.0,0.005939,0.0,0.0,0.0,0.02,0.027029,0.027029
M2,mixed_as_support,B,15,0.343789,0.343789,0.349728,1.0,1.0,1.0,0.02,0.027029,0.370818
M2,mixed_as_support,C,15,0.693789,0.693789,0.699728,1.0,1.0,1.0,0.02,0.027029,0.720817
M2,mixed_as_support,D1,15,-0.005667,-0.005667,0.000272,0.0,0.0,0.0,0.02,0.024663,0.018996
M2,mixed_as_support,D2,15,-0.006211,-0.006211,-0.000272,0.0,0.0,0.0,0.02,0.027029,0.020817
