run_id,case_label,t,p_family,theta,source_feature,branch_label,class_mode,class_label,class_rank,sum_contrib_primary,normalized_class_contrib,is_top1_class,is_top3_class,is_top5_class
M33_V0_alpha_peak_robustness,t=40.0__pf=P3__th=1e-09,40.0,P3,1e-09,neg,,delta_p,dp=-1.5,13,6.32829618827925e-36,5.680409993135278e-29,0,0,0
M33_V0_alpha_peak_robustness,t=40.0__pf=P3__th=1e-09,40.0,P3,1e-09,neg,,delta_p,dp=-3.2,14,0.0,0.0,0,0,0
M33_V0_alpha_peak_robustness,t=40.0__pf=P3__th=1e-09,40.0,P3,1e-09,neg,,delta_p,dp=-1.9,15,0.0,0.0,0,0,0
M33_V0_alpha_peak_robustness,t=40.0__pf=P3__th=1e-09,40.0,P3,1e-09,neg,,delta_p,dp=-1.7,16,0.0,0.0,0,0,0
M33_V0_alpha_peak_robustness,t=40.0__pf=P3__th=1e-09,40.0,P3,1e-09,neg,,delta_p,dp=-4.4,17,0.0,0.0,0,0,0
M33_V0_alpha_peak_robustness,t=40.0__pf=P3__th=1e-09,40.0,P3,1e-09,neg,,delta_p,dp=-5.2,18,0.0,0.0,0,0,0
M33_V0_alpha_peak_robustness,t=40.0__pf=P3__th=1e-09,40.0,P3,1e-09,neg,,delta_p,dp=-6.3,19,0.0,0.0,0,0,0
M33_V0_alpha_peak_robustness,t=40.0__pf=P3__th=1e-09,40.0,P3,1e-09,neg,,delta_p,dp=-7.4,20,0.0,0.0,0,0,0
M33_V0_alpha_peak_robustness,t=40.0__pf=P3__th=1e-09,40.0,P3,1e-09,neg,,delta_p2,dp2=5.39,1,7.381004839481205e-08,0.6625343125883215,1,1,1
M33_V0_alpha_peak_robustness,t=40.0__pf=P3__th=1e-09,40.0,P3,1e-09,neg,,delta_p2,dp2=2.97,2,3.6270370429756974e-08,0.32557037236263164,0,1,1
M33_V0_alpha_peak_robustness,t=40.0__pf=P3__th=1e-09,40.0,P3,1e-09,neg,,delta_p2,dp2=8.36,3,1.323607714932935e-09,0.01188097754466896,0,1,1
M33_V0_alpha_peak_robustness,t=40.0__pf=P3__th=1e-09,40.0,P3,1e-09,neg,,delta_p2,dp2=9,4,1.030718068798585e-12,9.251939296002838e-06,0,0,1
