run_id,case_label,t,p_family,theta,source_feature,branch_label,pair_i,pair_j,p_i,p_j,delta_p,delta_p2,pair_rank_primary,contrib_primary,normalized_contrib_primary,is_top1_pair,is_top3_pair,is_top5_pair
M33_V0_alpha_peak_robustness,t=2.0__pf=P1__th=1e-09,2.0,P1,1e-09,neg,S2,5,6,2.0,4.0,-2.0,-12.0,1,1.621522752422704e-07,1.0,1,1,1
M33_V0_alpha_peak_robustness,t=2.0__pf=P1__th=1e-09,2.0,P1,1e-09,neg,S2,3,5,0.0,2.0,-2.0,-4.0,2,1.8168428216393583e-36,1.1204547200616384e-29,0,1,1
M33_V0_alpha_peak_robustness,t=2.0__pf=P1__th=1e-09,2.0,P1,1e-09,neg,S2,3,4,0.0,1.0,-1.0,-1.0,3,7.103696713881867e-48,4.380880072924226e-41,0,1,1
M33_V0_alpha_peak_robustness,t=2.0__pf=P1__th=1e-09,2.0,P1,1e-09,neg,S2,2,6,-1.0,4.0,-5.0,-15.0,4,3.407508134455119e-52,2.101424805396032e-45,0,0,1
M33_V0_alpha_peak_robustness,t=2.0__pf=P1__th=1e-09,2.0,P1,1e-09,neg,S2,2,4,-1.0,1.0,-2.0,0.0,5,2.026031848327237e-65,1.2494624853707166e-58,0,0,1
M33_V0_alpha_peak_robustness,t=2.0__pf=P1__th=1e-09,2.0,P1,1e-09,neg,S2,2,3,-1.0,0.0,-1.0,1.0,6,1.1831088744067663e-81,7.296282908390233e-75,0,0,0
M33_V0_alpha_peak_robustness,t=2.0__pf=P1__th=1e-09,2.0,P1,1e-09,neg,S2,1,3,-2.0,0.0,-2.0,4.0,7,5.039621849307381e-104,3.1079562971149946e-97,0,0,0
M33_V0_alpha_peak_robustness,t=2.0__pf=P1__th=1e-09,2.0,P1,1e-09,neg,S2,0,6,-3.0,4.0,-7.0,-7.0,8,3.876865576521248e-106,2.390879542534235e-99,0,0,0
M33_V0_alpha_peak_robustness,t=2.0__pf=P1__th=1e-09,2.0,P1,1e-09,neg,S2,0,3,-3.0,0.0,-3.0,9.0,9,1.4763223150055353e-134,9.104542707154581e-128,0,0,0
M33_V0_alpha_peak_robustness,t=2.0__pf=P1__th=1e-09,2.0,P1,1e-09,neg,S2,0,2,-3.0,-1.0,-2.0,8.0,10,2.796221719347356e-152,1.7244418650120967e-145,0,0,0
M33_V0_alpha_peak_robustness,t=2.0__pf=P1__th=1e-09,2.0,P1,1e-09,neg,S2,0,1,-3.0,-2.0,-1.0,5.0,11,1.8279431492725795e-177,1.1273003394750178e-170,0,0,0
M33_V0_alpha_peak_robustness,t=2.0__pf=P1__th=1e-09,2.0,P1,1e-09,neg,S2,0,5,-3.0,2.0,-5.0,5.0,12,0.0,0.0,0,0,0
M33_V0_alpha_peak_robustness,t=2.0__pf=P1__th=1e-09,2.0,P1,1e-09,neg,S2,0,4,-3.0,1.0,-4.0,8.0,13,0.0,0.0,0,0,0
M33_V0_alpha_peak_robustness,t=2.0__pf=P1__th=1e-09,2.0,P1,1e-09,neg,S2,1,5,-2.0,2.0,-4.0,0.0,14,0.0,0.0,0,0,0
M33_V0_alpha_peak_robustness,t=2.0__pf=P1__th=1e-09,2.0,P1,1e-09,neg,S2,1,6,-2.0,4.0,-6.0,-12.0,15,0.0,0.0,0,0,0
M33_V0_alpha_peak_robustness,t=2.0__pf=P1__th=1e-09,2.0,P1,1e-09,neg,S2,1,2,-2.0,-1.0,-1.0,3.0,16,0.0,0.0,0,0,0
M33_V0_alpha_peak_robustness,t=2.0__pf=P1__th=1e-09,2.0,P1,1e-09,neg,S2,1,4,-2.0,1.0,-3.0,3.0,17,0.0,0.0,0,0,0
M33_V0_alpha_peak_robustness,t=2.0__pf=P1__th=1e-09,2.0,P1,1e-09,neg,S2,2,5,-1.0,2.0,-3.0,-3.0,18,0.0,0.0,0,0,0
M33_V0_alpha_peak_robustness,t=2.0__pf=P1__th=1e-09,2.0,P1,1e-09,neg,S2,3,6,0.0,4.0,-4.0,-16.0,19,0.0,0.0,0,0,0
M33_V0_alpha_peak_robustness,t=2.0__pf=P1__th=1e-09,2.0,P1,1e-09,neg,S2,4,5,1.0,2.0,-1.0,-3.0,20,0.0,0.0,0,0,0
M33_V0_alpha_peak_robustness,t=2.0__pf=P1__th=1e-09,2.0,P1,1e-09,neg,S2,4,6,1.0,4.0,-3.0,-15.0,21,0.0,0.0,0,0,0
M33_V0_alpha_peak_robustness,t=40.0__pf=P3__th=1e-09,40.0,P3,1e-09,neg,S2,0,1,-3.0,-1.9,-1.1,5.390000000000001,1,7.381004839481205e-08,0.6625343125883215,1,1,1
M33_V0_alpha_peak_robustness,t=40.0__pf=P3__th=1e-09,40.0,P3,1e-09,neg,S2,1,2,-1.9,-0.8,-1.1,2.97,2,3.6270370429756974e-08,0.32557037236263164,0,1,1
M33_V0_alpha_peak_robustness,t=40.0__pf=P3__th=1e-09,40.0,P3,1e-09,neg,S2,0,2,-3.0,-0.8,-2.2,8.36,3,1.323607714932935e-09,0.01188097754466896,0,1,1
M33_V0_alpha_peak_robustness,t=40.0__pf=P3__th=1e-09,40.0,P3,1e-09,neg,S2,0,3,-3.0,0.0,-3.0,9.0,4,1.030718068798585e-12,9.251939296002838e-06,0,0,1
M33_V0_alpha_peak_robustness,t=40.0__pf=P3__th=1e-09,40.0,P3,1e-09,neg,S2,2,3,-0.8,0.0,-0.8,0.6400000000000001,5,5.65808451678379e-13,5.078814087537517e-06,0,0,1
M33_V0_alpha_peak_robustness,t=40.0__pf=P3__th=1e-09,40.0,P3,1e-09,neg,S2,1,4,-1.9,1.2,-3.1,2.17,6,6.181629798284411e-16,5.548759197629403e-09,0,0,0
M33_V0_alpha_peak_robustness,t=40.0__pf=P3__th=1e-09,40.0,P3,1e-09,neg,S2,0,4,-3.0,1.2,-4.2,7.56,7,7.487553154356814e-17,6.720983104570071e-10,0,0,0
M33_V0_alpha_peak_robustness,t=40.0__pf=P3__th=1e-09,40.0,P3,1e-09,neg,S2,2,4,-0.8,1.2,-2.0,-0.7999999999999998,8,5.904873921082345e-17,5.300337378589197e-10,0,0,0
M33_V0_alpha_peak_robustness,t=40.0__pf=P3__th=1e-09,40.0,P3,1e-09,neg,S2,3,4,0.0,1.2,-1.2,-1.44,9,1.148099008544956e-20,1.0305574971864274e-13,0,0,0
M33_V0_alpha_peak_robustness,t=40.0__pf=P3__th=1e-09,40.0,P3,1e-09,neg,S2,1,5,-1.9,2.7,-4.6,-3.680000000000001,10,2.569022708992277e-26,2.306008099902046e-19,0,0,0
M33_V0_alpha_peak_robustness,t=40.0__pf=P3__th=1e-09,40.0,P3,1e-09,neg,S2,0,5,-3.0,2.7,-5.7,1.709999999999999,11,2.305076167051176e-27,2.069084206031109e-20,0,0,0
M33_V0_alpha_peak_robustness,t=40.0__pf=P3__th=1e-09,40.0,P3,1e-09,neg,S2,2,5,-0.8,2.7,-3.5,-6.65,12,1.8213301790844225e-27,1.6348637677913763e-20,0,0,0
M33_V0_alpha_peak_robustness,t=40.0__pf=P3__th=1e-09,40.0,P3,1e-09,neg,S2,3,5,0.0,2.7,-2.7,-7.290000000000001,13,6.404893797816717e-30,5.749165597127513e-23,0,0,0
M33_V0_alpha_peak_robustness,t=40.0__pf=P3__th=1e-09,40.0,P3,1e-09,neg,S2,4,5,1.2,2.7,-1.5000000000000002,-5.850000000000001,14,6.32829618827925e-36,5.680409993135277e-29,0,0,0
M33_V0_alpha_peak_robustness,t=40.0__pf=P3__th=1e-09,40.0,P3,1e-09,neg,S2,1,6,-1.9,4.4,-6.300000000000001,-15.750000000000004,15,0.0,0.0,0,0,0
M33_V0_alpha_peak_robustness,t=40.0__pf=P3__th=1e-09,40.0,P3,1e-09,neg,S2,0,6,-3.0,4.4,-7.4,-10.360000000000005,16,0.0,0.0,0,0,0
M33_V0_alpha_peak_robustness,t=40.0__pf=P3__th=1e-09,40.0,P3,1e-09,neg,S2,1,3,-1.9,0.0,-1.9,3.61,17,0.0,0.0,0,0,0
M33_V0_alpha_peak_robustness,t=40.0__pf=P3__th=1e-09,40.0,P3,1e-09,neg,S2,2,6,-0.8,4.4,-5.2,-18.72,18,0.0,0.0,0,0,0
M33_V0_alpha_peak_robustness,t=40.0__pf=P3__th=1e-09,40.0,P3,1e-09,neg,S2,3,6,0.0,4.4,-4.4,-19.360000000000003,19,0.0,0.0,0,0,0
M33_V0_alpha_peak_robustness,t=40.0__pf=P3__th=1e-09,40.0,P3,1e-09,neg,S2,4,6,1.2,4.4,-3.2,-17.92,20,0.0,0.0,0,0,0
