metric,observed_value,trial_count,min,q1,median,mean,q3,max,std,ge_observed_count,le_observed_count,eq_observed_count,empirical_p_ge_observed,empirical_p_le_observed,empirical_p_eq_observed,upper_bound_p_if_zero_hits
triangle_count,420,10000,48.0,68.75,74.0,74.0149,79.0,109.0,8.142056127907741,0,10000,0,9.999000099990002e-05,1.0,9.999000099990002e-05,9.999000099990002e-05
global_closure_ratio,1.0,10000,0.12297181895815543,0.17302798982188294,0.18482804414043152,0.18508255557752204,0.1971153846153846,0.258498023715415,0.017980984320605558,0,10000,0,9.999000099990002e-05,1.0,9.999000099990002e-05,9.999000099990002e-05
open_wedge_count,0,10000,900.0,961.0,976.0,976.4121,991.0,1072.0,22.524961122940923,10000,0,0,1.0,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05
semantic_cross_block_edge_count,0,10000,115.0,128.0,131.0,130.888,134.0,147.0,4.436288538857679,10000,0,0,1.0,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05
semantic_within_block_edge_count,161,10000,14.0,27.0,30.0,30.112,33.0,46.0,4.436288538857679,0,10000,0,9.999000099990002e-05,1.0,9.999000099990002e-05,9.999000099990002e-05
largest_component_size,12,10000,41.0,42.0,42.0,41.9927,42.0,42.0,0.08512761009214342,10000,0,0,1.0,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05
component_count,6,10000,1.0,1.0,1.0,1.0073,1.0,2.0,0.08512761009214342,0,10000,0,9.999000099990002e-05,1.0,9.999000099990002e-05,9.999000099990002e-05
