view_name,column_count,columns
v_de_sparc_feldnamen,4,canonical_name|display_label_de|language|alias_status
v_de_sparc_metadaten,8,canonical_name|display_label_de|quantity_kind|dimension_vector|unit_symbol|conversion_rule_id|validation_status|claim_boundary
v_qsb_obs_search_sparc_rar,5,record_type|record_id|search_text|validation_status|claim_boundary
v_sparc_baseline_quantities,17,baseline_quantity_id|dataset_id|source_artifact_id|run_id|galaxy_id|quantity_kind|original_value|original_unit|calculation_value|calculation_unit|display_unit|dimension_vector|conversion_rule_id|lineage_hash|source_sha256|validation_status|claim_boundary
v_sparc_dataset_lineage,8,dataset_id|source_id|source_path|source_sha256|lineage_hash|lineage_role|validation_status|claim_boundary
v_sparc_field_metadata,6,canonical_name|quantity_kind|dimension_vector|display_label_de|validation_status|claim_boundary
v_sparc_massmodels_gobs_points,14,massmodel_point_id|dataset_id|galaxy_id|radius_kpc|vobs_km_s|vgas_km_s|vdisk_km_s|vbul_km_s|gobs_m_s2|log_gobs|gbar_status|mass_to_light_assumption_required|validation_status|claim_boundary
v_sparc_rar_direct_points,9,rar_point_id|dataset_id|galaxy_id|gobs_m_s2|gbar_m_s2|log_gobs|log_gbar|validation_status|claim_boundary
v_sparc_unit_metadata,5,unit_symbol|quantity_kind|dimension_vector|conversion_rule_id|validation_status
v_sparc_validation_status,6,validation_scope|validation_rule|validation_status|observed_value|expected_value|notes
