source_file_id,dataset_id,file_name,file_path,size_bytes,sha256,line_count,lineage_role,raw_data_status,dwh_status,validation_status,claim_boundary
source_MassModels_Lelli2016c_mrt,SPARC_RAR_LELLI2016C_BASELINE_REGISTERED,MassModels_Lelli2016c.mrt,runs/QSB-SPARC-RAR-RESIDUAL-SCOUT-01-DATA-CONTRACT/input/MassModels_Lelli2016c.mrt,269518,9108994b12cc401b94a1768beca61c53ec354779385c9c9cc571049f3043244c,3416,local_input_integrity,preserved_byte_exact,registered_source_file,validated,raw_data_preservation
source_RAR_mrt,SPARC_RAR_LELLI2016C_BASELINE_REGISTERED,RAR.mrt,runs/QSB-SPARC-RAR-RESIDUAL-SCOUT-01-DATA-CONTRACT/input/RAR.mrt,68136,24aa7059dab7fa44787f7c11191052489899819370f6508621674769f3b72833,2706,local_input_integrity,preserved_byte_exact,registered_source_file,validated,raw_data_preservation
source_RARbins_mrt,SPARC_RAR_LELLI2016C_BASELINE_REGISTERED,RARbins.mrt,runs/QSB-SPARC-RAR-RESIDUAL-SCOUT-01-DATA-CONTRACT/input/RARbins.mrt,1202,d543cab7b720a4f14152ccc8158f7823072ce65a9c5b403d7c401b3f039a79d7,27,local_input_integrity,preserved_byte_exact,registered_source_file,validated,raw_data_preservation
source_SPARC_Lelli2016c_mrt,SPARC_RAR_LELLI2016C_BASELINE_REGISTERED,SPARC_Lelli2016c.mrt,runs/QSB-SPARC-RAR-RESIDUAL-SCOUT-01-DATA-CONTRACT/input/SPARC_Lelli2016c.mrt,28259,5aa0501f6b0d881fa579030e315e7b5b6ef561a5bd3a07472f9929c7e5728243,273,local_input_integrity,preserved_byte_exact,registered_source_file,validated,raw_data_preservation
