source_id,source_path,source_sha256,lineage_role,validation_status
source_MassModels_Lelli2016c_mrt,runs/QSB-SPARC-RAR-RESIDUAL-SCOUT-01-DATA-CONTRACT/input/MassModels_Lelli2016c.mrt,9108994b12cc401b94a1768beca61c53ec354779385c9c9cc571049f3043244c,local_input_integrity,validated
source_RAR_mrt,runs/QSB-SPARC-RAR-RESIDUAL-SCOUT-01-DATA-CONTRACT/input/RAR.mrt,24aa7059dab7fa44787f7c11191052489899819370f6508621674769f3b72833,local_input_integrity,validated
source_RARbins_mrt,runs/QSB-SPARC-RAR-RESIDUAL-SCOUT-01-DATA-CONTRACT/input/RARbins.mrt,d543cab7b720a4f14152ccc8158f7823072ce65a9c5b403d7c401b3f039a79d7,local_input_integrity,validated
source_SPARC_Lelli2016c_mrt,runs/QSB-SPARC-RAR-RESIDUAL-SCOUT-01-DATA-CONTRACT/input/SPARC_Lelli2016c.mrt,5aa0501f6b0d881fa579030e315e7b5b6ef561a5bd3a07472f9929c7e5728243,local_input_integrity,validated
artifact_04_sparc_rar_data_contract_summary_json,runs/QSB-SPARC-RAR-RESIDUAL-SCOUT-01-DATA-CONTRACT/04_sparc_rar_data_contract_summary.json,a463d7707b96b097c240091db2a60550aa80f3245340802b971c48d594baa249,predecessor_validated_artifact,registered
artifact_05_input_file_inventory_csv,runs/QSB-SPARC-RAR-RESIDUAL-SCOUT-01-DATA-CONTRACT/05_input_file_inventory.csv,f351ea7835798fce409f0049d6ab220e9991a6dc020c1418ee26ead4768fd7c2,predecessor_validated_artifact,registered
artifact_06_input_file_checksums_csv,runs/QSB-SPARC-RAR-RESIDUAL-SCOUT-01-DATA-CONTRACT/06_input_file_checksums.csv,2ff51052780a35482c39650f800732c46167e17a5be1ac6d4891bfd57455eed8,predecessor_validated_artifact,registered
artifact_08_detected_column_inventory_csv,runs/QSB-SPARC-RAR-RESIDUAL-SCOUT-01-DATA-CONTRACT/08_detected_column_inventory.csv,83b509c43158e750ef7501519fb2e61745123986e151e3633c88aec6c792b9b9,predecessor_validated_artifact,registered
artifact_09_sparc_expected_column_mapping_csv,runs/QSB-SPARC-RAR-RESIDUAL-SCOUT-01-DATA-CONTRACT/09_sparc_expected_column_mapping.csv,27006de806ef128526b358d77384589c400e9af05a7c4d9da9ba83ae19f8794a,predecessor_validated_artifact,registered
artifact_13_data_lineage_contract_md,runs/QSB-SPARC-RAR-RESIDUAL-SCOUT-01-DATA-CONTRACT/13_data_lineage_contract.md,5579c6b9b12ef25f3dd944024c5f3bdb186444429b5827be6140becf3b15a4a2,predecessor_validated_artifact,registered
artifact_04_data_contract_review_summary_json,runs/QSB-SPARC-RAR-RESIDUAL-SCOUT-01-DATA-CONTRACT-REVIEW/04_data_contract_review_summary.json,9566bd8a99f0fe6e6b4bb55dd5a96d7404fbb8013d8277d88344a398e28f9253,predecessor_validated_artifact,registered
artifact_06_checksum_revalidation_csv,runs/QSB-SPARC-RAR-RESIDUAL-SCOUT-01-DATA-CONTRACT-REVIEW/06_checksum_revalidation.csv,0a6e804823297cd1c04c00a7ea5b9ebb107f18fb31ef98ce92f5075e5ef2043d,predecessor_validated_artifact,registered
artifact_09_mrt_structure_review_csv,runs/QSB-SPARC-RAR-RESIDUAL-SCOUT-01-DATA-CONTRACT-REVIEW/09_mrt_structure_review.csv,0f3d96aa2e869d6e3cea34d818f182e4c49687087204420da52ca0d17586e594,predecessor_validated_artifact,registered
artifact_13_data_contract_freeze_decision_csv,runs/QSB-SPARC-RAR-RESIDUAL-SCOUT-01-DATA-CONTRACT-REVIEW/13_data_contract_freeze_decision.csv,1fea782e831be00a026a7575e0e0c7f10cb4d2a2e963472064735042ecb22044,predecessor_validated_artifact,registered
artifact_04_baseline_rar_reproduction_summary_json,runs/QSB-SPARC-RAR-RESIDUAL-SCOUT-01-BASELINE-RAR-REPRODUCTION/04_baseline_rar_reproduction_summary.json,47b1adeb75cee4cdcbe03e19d66663e503a2aa32897c9b6fa25ea43311895af9,predecessor_validated_artifact,registered
artifact_12_column_mapping_used_csv,runs/QSB-SPARC-RAR-RESIDUAL-SCOUT-01-BASELINE-RAR-REPRODUCTION/12_column_mapping_used.csv,2b92a0808a9317a45550b93499d387b21e1cc56ab68f72f0f50dc77dacb285a3,predecessor_validated_artifact,registered
artifact_13_unit_conversion_contract_csv,runs/QSB-SPARC-RAR-RESIDUAL-SCOUT-01-BASELINE-RAR-REPRODUCTION/13_unit_conversion_contract.csv,29502fa92b49d4c20fdcc4de857656a8c42b7361ef56b710c466b9b35159d555,predecessor_validated_artifact,registered
artifact_14_direct_rar_dataset_csv,runs/QSB-SPARC-RAR-RESIDUAL-SCOUT-01-BASELINE-RAR-REPRODUCTION/14_direct_rar_dataset.csv,e773a8f547a70d1024a84fd4b2b319f24bc9fb4f5e8e2992f471ff6ae1c0dbe4,predecessor_validated_artifact,registered
artifact_15_massmodels_derived_baseline_quantities_csv,runs/QSB-SPARC-RAR-RESIDUAL-SCOUT-01-BASELINE-RAR-REPRODUCTION/15_massmodels_derived_baseline_quantities.csv,58084b05476b3daf9ebcf838be05bacdcf2e47b6f215f014bdfb80bd33acf661,predecessor_validated_artifact,registered
artifact_18_baseline_reproduction_readout_csv,runs/QSB-SPARC-RAR-RESIDUAL-SCOUT-01-BASELINE-RAR-REPRODUCTION/18_baseline_reproduction_readout.csv,a08decc68b95be8b9279d9ba9f44a2fe2953ccd7430d3eddea1b67e24265e265,predecessor_validated_artifact,registered
artifact_25_massmodels_vs_direct_rar_comparison_csv,runs/QSB-SPARC-RAR-RESIDUAL-SCOUT-01-BASELINE-RAR-REPRODUCTION/25_massmodels_vs_direct_rar_comparison.csv,6b7f71cd5b1df266aca40c2ea660b970b887a2fb3515c030baee2f0b7b8bf25a,predecessor_validated_artifact,registered
