section,field_1,field_2,field_3,field_4,notes
artifact_count_by_domain,unknown,4268,,,domain_guess=unknown; artifact_count=4268
artifact_count_by_domain,causality,2090,,,domain_guess=causality; artifact_count=2090
artifact_count_by_domain,extract03,1242,,,domain_guess=extract03; artifact_count=1242
artifact_count_by_domain,interface01,740,,,domain_guess=interface01; artifact_count=740
artifact_count_by_domain,metadata,361,,,domain_guess=metadata; artifact_count=361
artifact_count_by_domain,relalg,301,,,domain_guess=relalg; artifact_count=301
artifact_count_by_domain,matrix_topology,186,,,domain_guess=matrix_topology; artifact_count=186
artifact_count_by_domain,sparc_rar,136,,,domain_guess=sparc_rar; artifact_count=136
artifact_count_by_domain,,17,,,domain_guess=; artifact_count=17
artifact_kind_by_domain,causality,table_csv,836,,domain_guess=causality; artifact_kind=table_csv; artifact_count=836
artifact_kind_by_domain,causality,summary_json,397,,domain_guess=causality; artifact_kind=summary_json; artifact_count=397
artifact_kind_by_domain,causality,json_document,380,,domain_guess=causality; artifact_kind=json_document; artifact_count=380
artifact_kind_by_domain,causality,markdown_note,300,,domain_guess=causality; artifact_kind=markdown_note; artifact_count=300
artifact_kind_by_domain,causality,other,111,,domain_guess=causality; artifact_kind=other; artifact_count=111
artifact_kind_by_domain,causality,python_script,62,,domain_guess=causality; artifact_kind=python_script; artifact_count=62
artifact_kind_by_domain,causality,run_audit,3,,domain_guess=causality; artifact_kind=run_audit; artifact_count=3
artifact_kind_by_domain,causality,sqlite_db,1,,domain_guess=causality; artifact_kind=sqlite_db; artifact_count=1
artifact_kind_by_domain,extract03,table_csv,852,,domain_guess=extract03; artifact_kind=table_csv; artifact_count=852
artifact_kind_by_domain,extract03,markdown_note,176,,domain_guess=extract03; artifact_kind=markdown_note; artifact_count=176
artifact_kind_by_domain,extract03,json_document,95,,domain_guess=extract03; artifact_kind=json_document; artifact_count=95
artifact_kind_by_domain,extract03,run_audit,46,,domain_guess=extract03; artifact_kind=run_audit; artifact_count=46
artifact_kind_by_domain,extract03,python_script,37,,domain_guess=extract03; artifact_kind=python_script; artifact_count=37
artifact_kind_by_domain,extract03,summary_json,22,,domain_guess=extract03; artifact_kind=summary_json; artifact_count=22
artifact_kind_by_domain,extract03,sql_script,8,,domain_guess=extract03; artifact_kind=sql_script; artifact_count=8
artifact_kind_by_domain,extract03,sqlite_db,4,,domain_guess=extract03; artifact_kind=sqlite_db; artifact_count=4
artifact_kind_by_domain,extract03,raw_input,2,,domain_guess=extract03; artifact_kind=raw_input; artifact_count=2
artifact_kind_by_domain,interface01,table_csv,434,,domain_guess=interface01; artifact_kind=table_csv; artifact_count=434
artifact_kind_by_domain,interface01,markdown_note,83,,domain_guess=interface01; artifact_kind=markdown_note; artifact_count=83
artifact_kind_by_domain,interface01,python_script,68,,domain_guess=interface01; artifact_kind=python_script; artifact_count=68
artifact_kind_by_domain,interface01,other,65,,domain_guess=interface01; artifact_kind=other; artifact_count=65
artifact_kind_by_domain,interface01,summary_json,37,,domain_guess=interface01; artifact_kind=summary_json; artifact_count=37
artifact_kind_by_domain,interface01,json_document,33,,domain_guess=interface01; artifact_kind=json_document; artifact_count=33
artifact_kind_by_domain,interface01,run_audit,6,,domain_guess=interface01; artifact_kind=run_audit; artifact_count=6
artifact_kind_by_domain,interface01,sql_script,5,,domain_guess=interface01; artifact_kind=sql_script; artifact_count=5
artifact_kind_by_domain,interface01,sqlite_db,5,,domain_guess=interface01; artifact_kind=sqlite_db; artifact_count=5
artifact_kind_by_domain,interface01,text_note,4,,domain_guess=interface01; artifact_kind=text_note; artifact_count=4
artifact_kind_by_domain,matrix_topology,table_csv,78,,domain_guess=matrix_topology; artifact_kind=table_csv; artifact_count=78
artifact_kind_by_domain,matrix_topology,markdown_note,46,,domain_guess=matrix_topology; artifact_kind=markdown_note; artifact_count=46
artifact_kind_by_domain,matrix_topology,text_note,32,,domain_guess=matrix_topology; artifact_kind=text_note; artifact_count=32
