view_name,expected_or_discovered,presence_status,row_count,notes
mart.v_causality_overview,discovered,present,2090,
mart.v_de_sparc_feldnamen,discovered,present,62,
mart.v_de_sparc_metadaten,discovered,present,31,
mart.v_interface01_overview,discovered,present,740,
mart.v_matrix_topology_overview,discovered,present,1428,
mart.v_qsb_artifact_inventory,discovered,present,9324,
mart.v_qsb_claim_boundaries,discovered,present,31,
mart.v_qsb_dataset_overview,discovered,present,12,
mart.v_qsb_dwh_status,discovered,present,2,
mart.v_qsb_global_search,discovered,present,107360,
mart.v_qsb_metadata_aliases_de,discovered,present,62,
mart.v_qsb_metadata_fields,discovered,present,29,
mart.v_qsb_metadata_units,discovered,present,7,
mart.v_qsb_obs_search_sparc_rar,discovered,present,6114,
mart.v_qsb_run_timeline,discovered,present,278,
mart.v_qsb_validation_status,discovered,present,12,
mart.v_relalg_overview,discovered,present,301,
mart.v_sparc_baseline_quantities,discovered,present,6085,
mart.v_sparc_dataset_lineage,discovered,present,21,
mart.v_sparc_field_metadata,discovered,present,29,
mart.v_sparc_massmodels_gobs_points,discovered,present,3392,
mart.v_sparc_rar_direct_points,discovered,present,2693,
mart.v_sparc_unit_metadata,discovered,present,7,
mart.v_sparc_validation_status,discovered,present,12,
mart.v_qsb_dwh_status,expected,present,2,
mart.v_qsb_dataset_overview,expected,present,12,
mart.v_qsb_artifact_inventory,expected,present,9324,
mart.v_qsb_global_search,expected,present,107360,
mart.v_qsb_validation_status,expected,present,12,
mart.v_qsb_claim_boundaries,expected,present,31,
mart.v_matrix_topology_overview,expected,present,1428,
mart.v_interface01_overview,expected,present,740,
mart.v_relalg_overview,expected,present,301,
mart.v_causality_overview,expected,present,2090,
mart.v_sparc_rar_direct_points,expected,present,2693,
mart.v_sparc_massmodels_gobs_points,expected,present,3392,
mart.v_sparc_field_metadata,expected,present,29,
mart.v_sparc_validation_status,expected,present,12,
