term,domain_guess,record_type,record_id,sample,notes
RAR,unknown,markdown_document,0905374ee49197851256ea59eac34a50f075bcc69d0ed8efa5babcbc43d13b48,QSB PostgreSQL DWH Orchestrator # QSB PostgreSQL DWH OrchestratorRun-local PostgreSQL migration scaffold for `QSB-DWH-POSTGRES-CORE-MIGRATION-01`.This package prepares SQL for the target database `qsb_research_dwh` with schemas:- `admin`- `raw`- `staging`- `canonical`- `metadata`- `valida,record_id used; global search view has no relative_path column
RAR,metadata,markdown_document,72ae329203712ea028227f2dad5e9cde274f301f7e3eede2bfb264cd95f2ee6c,QSB Metadata Server # QSB Metadata ServerRead-only local metadata server for the PostgreSQL DWH `qsb_research_dwh`.The server uses only the Python standard library and the `psql` CLI. It exposesSELECT-only endpoints over `mart.*` and `metadata.*` views/tables.Endpoints:- `GET /health`- `GE,record_id used; global search view has no relative_path column
RAR,sparc_rar,artifact,947d2b1b26125524aa8aa9dde57056d158eeaf8d2b71378efce845173101555f,scripts/qsb_dwh_pg/sql/002_sparc_rar.sql sql_script sparc_rar,record_id used; global search view has no relative_path column
RAR,unknown,artifact,1b43d7623a493df6e6ea7c196571d436720f282cb29c016b76b476853e2ce14d,numerics/debroglie-phase-bridge/typ_b_analysis/configs/h3/h3_package_hierarchy_check_01.yaml other unknown,record_id used; global search view has no relative_path column
RAR,unknown,artifact,88743a206b202ca7a828db4ae5d5b1d31ef9d1e548afebb0bd52f1265b0f4798,numerics/debroglie-phase-bridge/typ_b_analysis/src/run_h3_package_hierarchy_check_01.py python_script unknown,record_id used; global search view has no relative_path column
RAR,sparc_rar,artifact,5d162dd63b50a4c15ab0ee74dc04afb518463ef3375452db6a89404b0c4a3699,runs/QSB-DWH-POSTGRES-CORE-MIGRATION-01/12_postgres_sparc_rar_schema.sql sql_script sparc_rar,record_id used; global search view has no relative_path column
RAR,sparc_rar,artifact,e536e077a6f9726bda6c08d4048cebc8b2ba79fcd664e561413284b43ddb7bd3,runs/QSB-SPARC-RAR-DWH-ETL-METADATA-REGISTRATION-01/00_git_status_short_before.txt text_note sparc_rar,record_id used; global search view has no relative_path column
RAR,sparc_rar,artifact,676ede316aa9cac513e7010a40d864852da1c9d8965c7352d69f9df714963996,runs/QSB-SPARC-RAR-DWH-ETL-METADATA-REGISTRATION-01/01_git_log_oneline_before.txt text_note sparc_rar,record_id used; global search view has no relative_path column
RAR,sparc_rar,artifact,979c2d5c7bc326395527ec09ddb2306d0bba6ca72e9d76f3ce2796606175007b,runs/QSB-SPARC-RAR-DWH-ETL-METADATA-REGISTRATION-01/02_dwh_etl_metadata_registration_scope.md markdown_note sparc_rar,record_id used; global search view has no relative_path column
RAR,sparc_rar,artifact,b98c668c61dbfb466e5ecf64a13e99fcb95c62420ddd1404e70871c0853321b4,runs/QSB-SPARC-RAR-DWH-ETL-METADATA-REGISTRATION-01/03_sparc_rar_dwh_etl_metadata_registration.py python_script sparc_rar,record_id used; global search view has no relative_path column
