state,parameter_profile,n,median_profile_factor,median_gain_value,median_gain_vs_A,median_gain_vs_D,positive_direction_fraction,median_sign_stability,median_replicate_consistency,median_null_noise_margin,median_support_sep_baseline,median_support_sep_combined
A,base,5,1.0,0.0,0.0,0.01,0.0,0.0,0.0,0.02,0.18,0.18
A,mild_minus,5,0.95,0.0,0.0,0.01,0.0,0.0,0.0,0.02,0.18,0.18
A,mild_plus,5,1.05,0.0,0.0,0.01,0.0,0.0,0.0,0.02,0.18,0.18
B,base,5,1.0,0.37,0.37,0.38,1.0,1.0,1.0,0.02,0.18,0.55
B,mild_minus,5,0.95,0.3525,0.3525,0.3625,1.0,1.0,1.0,0.02,0.18,0.5325
B,mild_plus,5,1.05,0.3875,0.3875,0.3975,1.0,1.0,1.0,0.02,0.18,0.5675
C,base,5,1.0,0.72,0.72,0.73,1.0,1.0,1.0,0.02,0.18,0.9
C,mild_minus,5,0.95,0.685,0.685,0.695,1.0,1.0,1.0,0.02,0.18,0.865
C,mild_plus,5,1.05,0.755,0.755,0.765,1.0,1.0,1.0,0.02,0.18,0.935
D1,base,5,1.0,-0.01,-0.01,0.0,0.4,0.0,0.4,0.02,0.04,0.03
D1,mild_minus,5,0.95,-0.01,-0.01,0.0,0.4,0.0,0.4,0.02,0.04,0.03
D1,mild_plus,5,1.05,-0.01,-0.01,0.0,0.4,0.0,0.4,0.02,0.04,0.03
D2,base,5,1.0,-0.01,-0.01,0.0,0.25,0.0,0.25,0.02,0.035,0.025
D2,mild_minus,5,0.95,-0.01,-0.01,0.0,0.25,0.0,0.25,0.02,0.035,0.025
D2,mild_plus,5,1.05,-0.01,-0.01,0.0,0.25,0.0,0.25,0.02,0.035,0.025
