run_id,seed,parameter_profile,state,null_variant,profile_factor,baseline_anchor_status,combined_status_stability,auxiliary_compatibility,neighbor_shift_signal,a1_shift_signal,b1_shift_signal,gain_value,gain_vs_A,gain_vs_D,sign_stability,replicate_consistency,null_noise_margin,auxiliary_primary_takeover,role_flip,support_sep_baseline,support_sep_combined
H3SMD01_20260417_232025,101,base,D1,permutation_null,1.0,primary_retained,stable,noise_compatible,positive_shift,positive_shift,stable,0.035,0.035,0.045,1.0,0.4,0.02,False,False,0.145,0.18
H3SMD01_20260417_232025,101,base,D2,topology_preserving_random_null,1.0,primary_retained,stable,noise_compatible,positive_low_level_shift,positive_low_level_shift,stable,0.01,0.01,0.02,1.0,0.25,0.02,False,False,-0.03,-0.02
H3SMD01_20260417_232025,101,mild_plus,D1,permutation_null,1.05,primary_retained,stable,noise_compatible,positive_shift,positive_shift,stable,0.035,0.035,0.045,1.0,0.4,0.02,False,False,0.145,0.18
H3SMD01_20260417_232025,101,mild_plus,D2,topology_preserving_random_null,1.05,primary_retained,stable,noise_compatible,positive_low_level_shift,positive_low_level_shift,stable,0.01,0.01,0.02,1.0,0.25,0.02,False,False,-0.03,-0.02
H3SMD01_20260417_232025,101,mild_minus,D1,permutation_null,0.95,primary_retained,stable,noise_compatible,positive_shift,positive_shift,stable,0.035,0.035,0.045,1.0,0.4,0.02,False,False,0.145,0.18
H3SMD01_20260417_232025,101,mild_minus,D2,topology_preserving_random_null,0.95,primary_retained,stable,noise_compatible,positive_low_level_shift,positive_low_level_shift,stable,0.01,0.01,0.02,1.0,0.25,0.02,False,False,-0.03,-0.02
H3SMD01_20260417_232025,202,base,D1,permutation_null,1.0,primary_retained,destabilized,not_compatible,none_or_negative,none_or_negative,unstable,-0.01,-0.01,0.0,0.0,0.4,0.02,False,False,0.04,0.03
H3SMD01_20260417_232025,202,base,D2,topology_preserving_random_null,1.0,primary_retained,unstable,undefined,undefined,undefined,undefined,nan,nan,nan,0.0,0.25,0.02,False,False,nan,nan
H3SMD01_20260417_232025,202,mild_plus,D1,permutation_null,1.05,primary_retained,destabilized,not_compatible,none_or_negative,none_or_negative,unstable,-0.01,-0.01,0.0,0.0,0.4,0.02,False,False,0.04,0.03
H3SMD01_20260417_232025,202,mild_plus,D2,topology_preserving_random_null,1.05,primary_retained,unstable,undefined,undefined,undefined,undefined,nan,nan,nan,0.0,0.25,0.02,False,False,nan,nan
H3SMD01_20260417_232025,202,mild_minus,D1,permutation_null,0.95,primary_retained,destabilized,not_compatible,none_or_negative,none_or_negative,unstable,-0.01,-0.01,0.0,0.0,0.4,0.02,False,False,0.04,0.03
H3SMD01_20260417_232025,202,mild_minus,D2,topology_preserving_random_null,0.95,primary_retained,unstable,undefined,undefined,undefined,undefined,nan,nan,nan,0.0,0.25,0.02,False,False,nan,nan
H3SMD01_20260417_232025,303,base,D1,permutation_null,1.0,primary_retained,destabilized,not_compatible,none_or_negative,none_or_negative,unstable,-0.01,-0.01,0.0,0.0,0.4,0.02,False,False,0.03,0.02
H3SMD01_20260417_232025,303,base,D2,topology_preserving_random_null,1.0,primary_retained,destabilized,not_compatible,none_or_negative,none_or_negative,unstable,-0.01,-0.01,0.0,0.0,0.25,0.02,False,False,0.04,0.03
H3SMD01_20260417_232025,303,mild_plus,D1,permutation_null,1.05,primary_retained,destabilized,not_compatible,none_or_negative,none_or_negative,unstable,-0.01,-0.01,0.0,0.0,0.4,0.02,False,False,0.03,0.02
H3SMD01_20260417_232025,303,mild_plus,D2,topology_preserving_random_null,1.05,primary_retained,destabilized,not_compatible,none_or_negative,none_or_negative,unstable,-0.01,-0.01,0.0,0.0,0.25,0.02,False,False,0.04,0.03
H3SMD01_20260417_232025,303,mild_minus,D1,permutation_null,0.95,primary_retained,destabilized,not_compatible,none_or_negative,none_or_negative,unstable,-0.01,-0.01,0.0,0.0,0.4,0.02,False,False,0.03,0.02
H3SMD01_20260417_232025,303,mild_minus,D2,topology_preserving_random_null,0.95,primary_retained,destabilized,not_compatible,none_or_negative,none_or_negative,unstable,-0.01,-0.01,0.0,0.0,0.25,0.02,False,False,0.04,0.03
H3SMD01_20260417_232025,404,base,D1,permutation_null,1.0,primary_retained,stable,noise_compatible,positive_shift,positive_shift,stable,0.035,0.035,0.045,1.0,0.4,0.02,False,False,0.145,0.18
H3SMD01_20260417_232025,404,base,D2,topology_preserving_random_null,1.0,primary_retained,destabilized,not_compatible,none_or_negative,none_or_negative,unstable,-0.01,-0.01,0.0,0.0,0.25,0.02,False,False,0.03,0.02
H3SMD01_20260417_232025,404,mild_plus,D1,permutation_null,1.05,primary_retained,stable,noise_compatible,positive_shift,positive_shift,stable,0.035,0.035,0.045,1.0,0.4,0.02,False,False,0.145,0.18
H3SMD01_20260417_232025,404,mild_plus,D2,topology_preserving_random_null,1.05,primary_retained,destabilized,not_compatible,none_or_negative,none_or_negative,unstable,-0.01,-0.01,0.0,0.0,0.25,0.02,False,False,0.03,0.02
H3SMD01_20260417_232025,404,mild_minus,D1,permutation_null,0.95,primary_retained,stable,noise_compatible,positive_shift,positive_shift,stable,0.035,0.035,0.045,1.0,0.4,0.02,False,False,0.145,0.18
H3SMD01_20260417_232025,404,mild_minus,D2,topology_preserving_random_null,0.95,primary_retained,destabilized,not_compatible,none_or_negative,none_or_negative,unstable,-0.01,-0.01,0.0,0.0,0.25,0.02,False,False,0.03,0.02
H3SMD01_20260417_232025,505,base,D1,permutation_null,1.0,primary_retained,destabilized,not_compatible,none_or_negative,none_or_negative,unstable,-0.01,-0.01,0.0,0.0,0.4,0.02,False,False,0.03,0.02
H3SMD01_20260417_232025,505,base,D2,topology_preserving_random_null,1.0,primary_retained,destabilized,not_compatible,none_or_negative,none_or_negative,unstable,-0.01,-0.01,0.0,0.0,0.25,0.02,False,False,0.04,0.03
H3SMD01_20260417_232025,505,mild_plus,D1,permutation_null,1.05,primary_retained,destabilized,not_compatible,none_or_negative,none_or_negative,unstable,-0.01,-0.01,0.0,0.0,0.4,0.02,False,False,0.03,0.02
H3SMD01_20260417_232025,505,mild_plus,D2,topology_preserving_random_null,1.05,primary_retained,destabilized,not_compatible,none_or_negative,none_or_negative,unstable,-0.01,-0.01,0.0,0.0,0.25,0.02,False,False,0.04,0.03
H3SMD01_20260417_232025,505,mild_minus,D1,permutation_null,0.95,primary_retained,destabilized,not_compatible,none_or_negative,none_or_negative,unstable,-0.01,-0.01,0.0,0.0,0.4,0.02,False,False,0.03,0.02
H3SMD01_20260417_232025,505,mild_minus,D2,topology_preserving_random_null,0.95,primary_retained,destabilized,not_compatible,none_or_negative,none_or_negative,unstable,-0.01,-0.01,0.0,0.0,0.25,0.02,False,False,0.04,0.03
