theta,k0_n_edges,k0_n_components,k0_graph_diameter,n0_fully_connected_fraction,n0_fragmented_fraction,n0_mean_n_edges,n0_mean_n_components,n0_mean_graph_diameter,n0_d03_minus_d01_defined_fraction,n0_d03_minus_d12_defined_fraction,n0_d02_minus_d13_defined_fraction,k0_d03_minus_d01_percentile,k0_d03_minus_d12_percentile,k0_d02_minus_d13_percentile
0.001,6,1,1.0,1.0,0.0,6.0,1.0,1.08,1.0,1.0,1.0,0.62,0.66,0.62
0.001047615752789665,6,1,1.0,1.0,0.0,6.0,1.0,1.08,1.0,1.0,1.0,0.62,0.66,0.62
0.0010974987654930556,6,1,1.0,1.0,0.0,6.0,1.0,1.08,1.0,1.0,1.0,0.62,0.66,0.62
0.0011497569953977356,6,1,1.0,1.0,0.0,6.0,1.0,1.08,1.0,1.0,1.0,0.62,0.66,0.62
0.0012045035402587824,6,1,1.0,1.0,0.0,6.0,1.0,1.08,1.0,1.0,1.0,0.62,0.66,0.62
0.0012618568830660211,6,1,1.0,1.0,0.0,6.0,1.0,1.08,1.0,1.0,1.0,0.62,0.66,0.62
0.0013219411484660286,6,1,1.0,1.0,0.0,6.0,1.0,1.08,1.0,1.0,1.0,0.62,0.66,0.62
0.0013848863713938732,6,1,1.0,1.0,0.0,6.0,1.0,1.08,1.0,1.0,1.0,0.62,0.66,0.62
0.0014508287784959402,6,1,1.0,1.0,0.0,6.0,1.0,1.1,1.0,1.0,1.0,0.62,0.66,0.62
0.0015199110829529332,6,1,1.0,1.0,0.0,6.0,1.0,1.1,1.0,1.0,1.0,0.62,0.66,0.62
0.0015922827933410922,6,1,1.0,1.0,0.0,6.0,1.0,1.1,1.0,1.0,1.0,0.62,0.66,0.62
0.0016681005372000592,6,1,1.0,1.0,0.0,6.0,1.0,1.1,1.0,1.0,1.0,0.62,0.66,0.62
0.001747528400007683,6,1,1.0,1.0,0.0,6.0,1.0,1.1,1.0,1.0,1.0,0.62,0.66,0.62
0.0018307382802953678,6,1,1.0,1.0,0.0,6.0,1.0,1.1,1.0,1.0,1.0,0.62,0.66,0.62
0.0019179102616724887,6,1,1.0,1.0,0.0,6.0,1.0,1.1,1.0,1.0,1.0,0.62,0.66,0.62
0.002009233002565048,6,1,1.0,1.0,0.0,6.0,1.0,1.1,1.0,1.0,1.0,0.62,0.66,0.62
0.00210490414451202,6,1,1.0,1.0,0.0,6.0,1.0,1.16,1.0,1.0,1.0,0.62,0.66,0.62
0.0022051307399030455,6,1,1.0,1.0,0.0,6.0,1.0,1.18,1.0,1.0,1.0,0.62,0.66,0.62
0.0023101297000831605,6,1,1.0,1.0,0.0,6.0,1.0,1.22,1.0,1.0,1.0,0.62,0.66,0.62
0.0024201282647943836,6,1,1.0,1.0,0.0,6.0,1.0,1.22,1.0,1.0,1.0,0.62,0.66,0.62
0.0025353644939701114,6,1,1.0,1.0,0.0,6.0,1.0,1.24,1.0,1.0,1.0,0.62,0.66,0.62
0.0026560877829466868,6,1,1.0,1.0,0.0,6.0,1.0,1.26,1.0,1.0,1.0,0.62,0.66,0.62
0.0027825594022071257,6,1,1.0,1.0,0.0,6.0,1.0,1.28,1.0,1.0,1.0,0.62,0.66,0.62
0.002915053062825176,6,1,1.0,1.0,0.0,6.0,1.0,1.28,1.0,1.0,1.0,0.62,0.66,0.62
0.0030538555088334154,6,1,1.0,1.0,0.0,6.0,1.0,1.28,1.0,1.0,1.0,0.62,0.66,0.62
0.0031992671377973846,6,1,1.0,1.0,0.0,6.0,1.0,1.32,1.0,1.0,1.0,0.62,0.66,0.62
0.003351602650938841,6,1,1.0,1.0,0.0,6.0,1.0,1.32,1.0,1.0,1.0,0.62,0.66,0.62
0.003511191734215131,6,1,1.0,1.0,0.0,6.0,1.0,1.32,1.0,1.0,1.0,0.62,0.66,0.62
0.0036783797718286343,6,1,1.0,1.0,0.0,6.0,1.0,1.34,1.0,1.0,1.0,0.62,0.66,0.62
0.0038535285937105275,6,1,1.0,1.0,0.0,6.0,1.0,1.36,1.0,1.0,1.0,0.62,0.66,0.62
0.004037017258596553,6,1,1.0,1.0,0.0,6.0,1.0,1.38,1.0,1.0,1.0,0.62,0.66,0.62
0.0042292428743894986,6,1,1.0,1.0,0.0,6.0,1.0,1.4,1.0,1.0,1.0,0.62,0.66,0.62
