run_id,case_id,p_family,k0,sigma_k,t,v,nu,reference_mode,x_width_delta,branch_label_none_hard,branch_label_quadratic_hard,branch_label_none_nearest,branch_label_quadratic_nearest,branch_label_none_soft,branch_label_quadratic_soft,hard_branch_change_flag,nearest_branch_change_flag,soft_branch_change_flag,hard_branch_ambiguous_flag_none,hard_branch_ambiguous_flag_quadratic,dispersion_sensitive_flag,pair_migration_label,branch_label
config_m33_v0,P0__k0=-4__sk=0.3__t=2__nu=0.02,P0,-4.0,0.3,2.0,1.0,0.02,pruned,0.0001727910429767,NONE,NONE,S3,S3,S3,S3,0,0,0,1,1,0,partial_migration,S3
config_m33_v0,P0__k0=-4__sk=0.3__t=5__nu=0.02,P0,-4.0,0.3,5.0,1.0,0.02,pruned,0.0010796503065646,NONE,NONE,S3,S3,S3,S3,0,0,0,1,1,0,partial_migration,S3
config_m33_v0,P0__k0=-4__sk=0.3__t=10__nu=0.02,P0,-4.0,0.3,10.0,1.0,0.02,pruned,0.0043144157450338,NONE,NONE,S3,S3,S3,S3,0,0,0,1,1,0,partial_migration,S3
config_m33_v0,P0__k0=-4__sk=0.5__t=2__nu=0.02,P0,-4.0,0.5,2.0,1.0,0.02,pruned,0.0007996802557443,NONE,NONE,S3,S3,S3,S3,0,0,0,1,1,0,partial_migration,S3
config_m33_v0,P0__k0=-4__sk=0.5__t=5__nu=0.02,P0,-4.0,0.5,5.0,1.0,0.02,pruned,0.0049875621120889,NONE,NONE,S3,S3,S3,S3,0,0,0,1,1,0,partial_migration,S3
config_m33_v0,P0__k0=-4__sk=0.5__t=10__nu=0.02,P0,-4.0,0.5,10.0,1.0,0.02,pruned,0.0198039027185554,NONE,NONE,S3,S3,S3,S3,0,0,0,1,1,0,partial_migration,S3
config_m33_v0,P0__k0=-4__sk=0.8__t=2__nu=0.02,P0,-4.0,0.8,2.0,1.0,0.02,pruned,0.0032681336226298,NONE,NONE,S3,S3,S3,S3,0,0,0,1,1,0,partial_migration,S3
config_m33_v0,P0__k0=-4__sk=0.8__t=5__nu=0.02,P0,-4.0,0.8,5.0,1.0,0.02,pruned,0.0201542907222361,NONE,NONE,S3,S3,S3,S3,0,0,0,1,1,0,partial_migration,S3
config_m33_v0,P0__k0=-4__sk=0.8__t=10__nu=0.02,P0,-4.0,0.8,10.0,1.0,0.02,pruned,0.0771548045108194,NONE,NONE,S3,S3,S3,S3,0,0,0,1,1,0,partial_migration,S3
config_m33_v0,P0__k0=-4__sk=1__t=2__nu=0.02,P0,-4.0,1.0,2.0,1.0,0.02,pruned,0.0063345427138636,NONE,NONE,S3,S3,S3,S3,0,0,0,1,1,0,partial_migration,S3
config_m33_v0,P0__k0=-4__sk=1__t=5__nu=0.02,P0,-4.0,1.0,5.0,1.0,0.02,pruned,0.0383734427353337,NONE,NONE,S3,S3,S3,S3,0,0,0,1,1,0,partial_migration,S3
config_m33_v0,P0__k0=-4__sk=1__t=10__nu=0.02,P0,-4.0,1.0,10.0,1.0,0.02,pruned,0.1398684609773617,NONE,NONE,S3,S3,S3,S3,0,0,0,1,1,0,partial_migration,S3
config_m33_v0,P0__k0=-1.5__sk=0.3__t=2__nu=0.02,P0,-1.5,0.3,2.0,1.0,0.02,pruned,0.0001727910429765,NONE,NONE,S3,S3,S3,S3,0,0,0,1,1,0,partial_migration,S3
config_m33_v0,P0__k0=-1.5__sk=0.3__t=5__nu=0.02,P0,-1.5,0.3,5.0,1.0,0.02,pruned,0.0010796503065642,NONE,NONE,S3,S3,S3,S3,0,0,0,1,1,0,partial_migration,S3
config_m33_v0,P0__k0=-1.5__sk=0.3__t=10__nu=0.02,P0,-1.5,0.3,10.0,1.0,0.02,pruned,0.0043144157450334,NONE,NONE,S3,S3,S3,S3,0,0,0,1,1,0,partial_migration,S3
config_m33_v0,P0__k0=-1.5__sk=0.5__t=2__nu=0.02,P0,-1.5,0.5,2.0,1.0,0.02,pruned,0.0007996802557445,NONE,NONE,S3,S3,S3,S3,0,0,0,1,1,0,partial_migration,S3
config_m33_v0,P0__k0=-1.5__sk=0.5__t=5__nu=0.02,P0,-1.5,0.5,5.0,1.0,0.02,pruned,0.0049875621120891,NONE,NONE,S3,S3,S3,S3,0,0,0,1,1,1,stable_reweighting,S3
config_m33_v0,P0__k0=-1.5__sk=0.5__t=10__nu=0.02,P0,-1.5,0.5,10.0,1.0,0.02,pruned,0.019803902718557,NONE,NONE,S3,S3,S3,S3,0,0,0,1,1,0,partial_migration,S3
config_m33_v0,P0__k0=-1.5__sk=0.8__t=2__nu=0.02,P0,-1.5,0.8,2.0,1.0,0.02,pruned,0.0032682548084057,NONE,NONE,S2,S2,S2,S2,0,0,0,1,1,0,stable_reweighting,S2
config_m33_v0,P0__k0=-1.5__sk=0.8__t=5__nu=0.02,P0,-1.5,0.8,5.0,1.0,0.02,pruned,0.0201550201308199,NONE,NONE,S2,S2,S2,S2,0,0,0,1,1,0,major_migration,S2
config_m33_v0,P0__k0=-1.5__sk=0.8__t=10__nu=0.02,P0,-1.5,0.8,10.0,1.0,0.02,pruned,0.0771573897638585,NONE,NONE,S2,S2,S2,S2,0,0,0,1,1,1,partial_migration,S2
config_m33_v0,P0__k0=-1.5__sk=1__t=2__nu=0.02,P0,-1.5,1.0,2.0,1.0,0.02,pruned,0.0063595559927052,NONE,NONE,S2,S2,S2,S2,0,0,0,1,1,0,stable_reweighting,S2
config_m33_v0,P0__k0=-1.5__sk=1__t=5__nu=0.02,P0,-1.5,1.0,5.0,1.0,0.02,pruned,0.0385164804032408,NONE,NONE,S2,S2,S2,S2,0,0,0,1,1,0,major_migration,S2
config_m33_v0,P0__k0=-1.5__sk=1__t=10__nu=0.02,P0,-1.5,1.0,10.0,1.0,0.02,pruned,0.1403124227765778,NONE,NONE,S2,S2,S2,S2,0,0,0,1,1,1,partial_migration,S2
config_m33_v0,P0__k0=-1__sk=0.3__t=2__nu=0.02,P0,-1.0,0.3,2.0,1.0,0.02,pruned,0.0001727910429762,NONE,NONE,S3,S3,S3,S3,0,0,0,1,1,0,partial_migration,S3
config_m33_v0,P0__k0=-1__sk=0.3__t=5__nu=0.02,P0,-1.0,0.3,5.0,1.0,0.02,pruned,0.0010796503065646,NONE,NONE,S3,S3,S3,S3,0,0,0,1,1,0,stable_reweighting,S3
config_m33_v0,P0__k0=-1__sk=0.3__t=10__nu=0.02,P0,-1.0,0.3,10.0,1.0,0.02,pruned,0.0043144157450334,NONE,NONE,S3,S3,S3,S3,0,0,0,1,1,0,partial_migration,S3
config_m33_v0,P0__k0=-1__sk=0.5__t=2__nu=0.02,P0,-1.0,0.5,2.0,1.0,0.02,pruned,0.0007996802557443,NONE,NONE,S3,S3,S3,S3,0,0,0,1,1,0,major_migration,S3
config_m33_v0,P0__k0=-1__sk=0.5__t=5__nu=0.02,P0,-1.0,0.5,5.0,1.0,0.02,pruned,0.0049875621120895,NONE,NONE,S3,S3,S3,S3,0,0,0,1,1,0,major_migration,S3
config_m33_v0,P0__k0=-1__sk=0.5__t=10__nu=0.02,P0,-1.0,0.5,10.0,1.0,0.02,pruned,0.019803902718557,NONE,NONE,S3,S3,S3,S3,0,0,0,1,1,0,major_migration,S3
config_m33_v0,P0__k0=-1__sk=0.8__t=2__nu=0.02,P0,-1.0,0.8,2.0,1.0,0.02,pruned,0.0032682548084058,NONE,NONE,S3,S3,S3,S3,0,0,0,1,1,0,major_migration,S3
config_m33_v0,P0__k0=-1__sk=0.8__t=5__nu=0.02,P0,-1.0,0.8,5.0,1.0,0.02,pruned,0.0201550201308208,NONE,NONE,S2,S2,S2,S2,0,0,0,1,1,0,major_migration,S2
config_m33_v0,P0__k0=-1__sk=0.8__t=10__nu=0.02,P0,-1.0,0.8,10.0,1.0,0.02,pruned,0.0771573897638622,S3,S3,S3,S3,S3,S3,0,0,0,0,0,0,partial_migration,S3
config_m33_v0,P0__k0=-1__sk=1__t=2__nu=0.02,P0,-1.0,1.0,2.0,1.0,0.02,pruned,0.0063595560450049,NONE,NONE,S2,S2,S2,S2,0,0,0,1,1,0,partial_migration,S2
config_m33_v0,P0__k0=-1__sk=1__t=5__nu=0.02,P0,-1.0,1.0,5.0,1.0,0.02,pruned,0.0385164807026746,NONE,NONE,S2,S2,S2,S2,0,0,0,1,1,0,partial_migration,S2
config_m33_v0,P0__k0=-1__sk=1__t=10__nu=0.02,P0,-1.0,1.0,10.0,1.0,0.02,pruned,0.1403124237096746,NONE,NONE,S2,S2,S2,S2,0,0,0,1,1,0,stable_reweighting,S2
config_m33_v0,P0__k0=3.5__sk=0.3__t=2__nu=0.02,P0,3.5,0.3,2.0,1.0,0.02,pruned,0.0001727910429765,NONE,NONE,S3,S3,S3,S3,0,0,0,1,1,0,partial_migration,S3
config_m33_v0,P0__k0=3.5__sk=0.3__t=5__nu=0.02,P0,3.5,0.3,5.0,1.0,0.02,pruned,0.0010796503065648,NONE,NONE,S3,S3,S3,S3,0,0,0,1,1,0,partial_migration,S3
