run_id,case_id,reference_mode,top_k,pair_i,pair_j,present_in_none,present_in_quadratic,rank_none,rank_quadratic,weight_none,weight_quadratic,rank_shift,weight_shift,migration_type
config_m33_v0,P0__k0=-4__sk=0.3__t=5__nu=0.02,pruned,10,0,4,1,1,7,7,1.433546309862389e-76,4.4398797403762566e-76,0,3.0063334305138676e-76,shared
config_m33_v0,P0__k0=-4__sk=0.3__t=5__nu=0.02,pruned,10,0,5,1,1,10,10,5.388889022642885e-116,5.899725954395704e-116,0,5.108369317528186e-117,shared
config_m33_v0,P0__k0=-4__sk=0.3__t=5__nu=0.02,pruned,10,1,2,1,1,3,3,1.1143831578403404e-29,6.549332552393525e-31,0,-1.0488898323164051e-29,shared
config_m33_v0,P0__k0=-4__sk=0.3__t=5__nu=0.02,pruned,10,1,3,1,1,5,5,1.5282250093251846e-54,2.4133837907667716e-54,0,8.85158781441587e-55,shared
config_m33_v0,P0__k0=-4__sk=0.3__t=5__nu=0.02,pruned,10,1,4,1,1,8,8,3.7062728762819232e-87,3.5030374481637494e-87,0,-2.0323542811817387e-88,shared
config_m33_v0,P0__k0=-4__sk=0.3__t=5__nu=0.02,pruned,10,2,3,1,1,6,6,4.1455900135641016e-73,3.668022883626343e-73,0,-4.775671299377583e-74,shared
config_m33_v0,P0__k0=-4__sk=0.3__t=5__nu=0.02,pruned,10,2,4,1,1,9,9,3.2847154045535345e-105,4.420152359754902e-105,0,1.135436955201368e-105,shared
config_m33_v0,P0__k0=-4__sk=0.3__t=10__nu=0.02,pruned,1,0,1,1,1,1,1,1.0,1.0,0,0.0,shared
config_m33_v0,P0__k0=-4__sk=0.3__t=10__nu=0.02,pruned,3,0,1,1,1,1,1,1.0,1.0,0,0.0,shared
config_m33_v0,P0__k0=-4__sk=0.3__t=10__nu=0.02,pruned,3,0,2,1,1,2,2,3.902519726790486e-19,7.931721019364235e-19,0,4.029201292573749e-19,shared
config_m33_v0,P0__k0=-4__sk=0.3__t=10__nu=0.02,pruned,3,1,2,1,1,3,3,1.1143831578403407e-29,1.222702324418258e-29,0,1.083191665779173e-30,shared
config_m33_v0,P0__k0=-4__sk=0.3__t=10__nu=0.02,pruned,5,0,1,1,1,1,1,1.0,1.0,0,0.0,shared
config_m33_v0,P0__k0=-4__sk=0.3__t=10__nu=0.02,pruned,5,0,2,1,1,2,2,3.902519726790486e-19,7.931721019364235e-19,0,4.029201292573749e-19,shared
config_m33_v0,P0__k0=-4__sk=0.3__t=10__nu=0.02,pruned,5,0,3,1,1,4,4,6.838834272267397e-45,4.0716494385464056e-44,0,3.387766011319666e-44,shared
config_m33_v0,P0__k0=-4__sk=0.3__t=10__nu=0.02,pruned,5,1,2,1,1,3,3,1.1143831578403407e-29,1.222702324418258e-29,0,1.083191665779173e-30,shared
config_m33_v0,P0__k0=-4__sk=0.3__t=10__nu=0.02,pruned,5,1,3,1,1,5,5,2.5126863574602708e-55,5.3257010341404285e-55,0,2.8130146766801577e-55,shared
config_m33_v0,P0__k0=-4__sk=0.3__t=10__nu=0.02,pruned,10,0,1,1,1,1,1,1.0,1.0,0,0.0,shared
config_m33_v0,P0__k0=-4__sk=0.3__t=10__nu=0.02,pruned,10,0,2,1,1,2,2,3.902519726790486e-19,7.931721019364235e-19,0,4.029201292573749e-19,shared
config_m33_v0,P0__k0=-4__sk=0.3__t=10__nu=0.02,pruned,10,0,3,1,1,4,4,6.838834272267397e-45,4.0716494385464056e-44,0,3.387766011319666e-44,shared
config_m33_v0,P0__k0=-4__sk=0.3__t=10__nu=0.02,pruned,10,0,4,1,1,7,7,7.920492459034841e-77,8.358567396023105e-77,0,4.380749369882637e-78,shared
config_m33_v0,P0__k0=-4__sk=0.3__t=10__nu=0.02,pruned,10,0,5,1,1,10,10,1.7735816972820392e-116,5.087868655964569e-117,0,-1.2647948316855822e-116,shared
config_m33_v0,P0__k0=-4__sk=0.3__t=10__nu=0.02,pruned,10,1,2,1,1,3,3,1.1143831578403407e-29,1.222702324418258e-29,0,1.083191665779173e-30,shared
config_m33_v0,P0__k0=-4__sk=0.3__t=10__nu=0.02,pruned,10,1,3,1,1,5,5,2.5126863574602708e-55,5.3257010341404285e-55,0,2.8130146766801577e-55,shared
config_m33_v0,P0__k0=-4__sk=0.3__t=10__nu=0.02,pruned,10,1,4,1,1,8,8,2.544098308024991e-88,6.539918956660295e-88,0,3.9958206486353044e-88,shared
config_m33_v0,P0__k0=-4__sk=0.3__t=10__nu=0.02,pruned,10,2,3,1,1,6,6,4.145590013564101e-73,4.2333857444451223e-73,0,8.779573088102135e-75,shared
config_m33_v0,P0__k0=-4__sk=0.3__t=10__nu=0.02,pruned,10,2,4,1,1,9,9,5.400683495426975e-106,4.97355860971221e-106,0,-4.2712488571476435e-107,shared
config_m33_v0,P0__k0=-4__sk=0.5__t=2__nu=0.02,pruned,1,0,1,1,1,1,1,0.9999995194803925,0.9999988440405314,0,-6.754398610420154e-07,shared
config_m33_v0,P0__k0=-4__sk=0.5__t=2__nu=0.02,pruned,3,0,1,1,1,1,1,0.9999995194803925,0.9999988440405314,0,-6.754398610420154e-07,shared
config_m33_v0,P0__k0=-4__sk=0.5__t=2__nu=0.02,pruned,3,0,2,1,1,2,2,4.804818558324406e-07,1.1559089059654605e-06,0,6.754270501330199e-07,shared
config_m33_v0,P0__k0=-4__sk=0.5__t=2__nu=0.02,pruned,3,1,2,1,1,3,3,3.7751327302529266e-11,5.0561715164357866e-11,0,1.28103878618286e-11,shared
config_m33_v0,P0__k0=-4__sk=0.5__t=2__nu=0.02,pruned,5,0,1,1,1,1,1,0.9999995194803925,0.9999988440405314,0,-6.754398610420154e-07,shared
config_m33_v0,P0__k0=-4__sk=0.5__t=2__nu=0.02,pruned,5,0,2,1,1,2,2,4.804818558324406e-07,1.1559089059654605e-06,0,6.754270501330199e-07,shared
