run_id,case_id,side,reference_mode,dist_to_S1,dist_to_S2,dist_to_S3,score_S1,score_S2,score_S3,best_branch,second_branch,best_score,second_score,score_margin,hard_assignment_flag
config_m33_v0,P0__k0=-4__sk=0.3__t=2__mode=none__nu=0,none,pruned,1.5858635849955618,2.503417191103474,1.1505566127186788,0.332024688512335,0.21033084889890266,0.45764446258876235,S3,S1,0.45764446258876235,0.332024688512335,0.12561977407642733,0
config_m33_v0,P0__k0=-4__sk=0.3__t=2__mode=quadratic__nu=0.02,quadratic,pruned,1.5858635849955618,2.503417191103474,1.1505566127186788,0.332024688512335,0.21033084889890266,0.45764446258876235,S3,S1,0.45764446258876235,0.332024688512335,0.12561977407642733,0
config_m33_v0,P0__k0=-4__sk=0.3__t=5__mode=none__nu=0,none,pruned,1.5858635849955618,2.503417191103474,1.1505566127186788,0.332024688512335,0.21033084889890266,0.45764446258876235,S3,S1,0.45764446258876235,0.332024688512335,0.12561977407642733,0
config_m33_v0,P0__k0=-4__sk=0.3__t=5__mode=quadratic__nu=0.02,quadratic,pruned,1.5858635849955618,2.503417191103474,1.1505566127186788,0.332024688512335,0.21033084889890266,0.45764446258876235,S3,S1,0.45764446258876235,0.332024688512335,0.12561977407642733,0
config_m33_v0,P0__k0=-4__sk=0.3__t=10__mode=none__nu=0,none,pruned,1.5858635849955618,2.503417191103474,1.1505566127186788,0.332024688512335,0.21033084889890266,0.45764446258876235,S3,S1,0.45764446258876235,0.332024688512335,0.12561977407642733,0
config_m33_v0,P0__k0=-4__sk=0.3__t=10__mode=quadratic__nu=0.02,quadratic,pruned,1.5858635849955618,2.503417191103474,1.1505566127186788,0.332024688512335,0.21033084889890266,0.45764446258876235,S3,S1,0.45764446258876235,0.332024688512335,0.12561977407642733,0
config_m33_v0,P0__k0=-4__sk=0.5__t=2__mode=none__nu=0,none,pruned,1.585863584995571,2.503417191103464,1.1505566127186695,0.33202468851233224,0.21033084889890297,0.45764446258876484,S3,S1,0.45764446258876484,0.33202468851233224,0.1256197740764326,0
config_m33_v0,P0__k0=-4__sk=0.5__t=2__mode=quadratic__nu=0.02,quadratic,pruned,1.5858635849955809,2.503417191103452,1.1505566127186604,0.33202468851232925,0.21033084889890344,0.4576444625887673,S3,S1,0.4576444625887673,0.33202468851232925,0.12561977407643804,0
config_m33_v0,P0__k0=-4__sk=0.5__t=5__mode=none__nu=0,none,pruned,1.5858635849955764,2.5034171911034573,1.150556612718665,0.3320246885123307,0.21033084889890327,0.45764446258876607,S3,S1,0.45764446258876607,0.3320246885123307,0.12561977407643538,0
config_m33_v0,P0__k0=-4__sk=0.5__t=5__mode=quadratic__nu=0.02,quadratic,pruned,1.5858635849955525,2.503417191103482,1.1505566127186806,0.33202468851233674,0.21033084889890186,0.45764446258876135,S3,S1,0.45764446258876135,0.33202468851233674,0.1256197740764246,0
