run_id,case_label_a,case_label_b,branch_a,branch_b,top_k,pair_overlap_count,pair_overlap_fraction_a,pair_overlap_fraction_b,weighted_pair_overlap,case_weight_a,case_weight_b,pair_overlap_weighted_by_case,relation_type
M33_V0_alpha_peak_robustness,t=20.0__pf=P2__th=1e-08,t=40.0__pf=P3__th=1e-09,S1,S2,1,0,0.0,0.0,0.0,1.0,1.0,0.0,between_branch
M33_V0_alpha_peak_robustness,t=20.0__pf=P2__th=1e-08,t=40.0__pf=P3__th=1e-09,S1,S2,3,0,0.0,0.0,0.0,1.0,1.0,0.0,between_branch
M33_V0_alpha_peak_robustness,t=20.0__pf=P2__th=1e-08,t=40.0__pf=P3__th=1e-09,S1,S2,5,0,0.0,0.0,0.0,1.0,1.0,0.0,between_branch
M33_V0_alpha_peak_robustness,t=20.0__pf=P2__th=1e-08,t=5.0__pf=P0__th=1e-09,S1,S1,1,0,0.0,0.0,0.0,1.0,1.0,0.0,within_branch
M33_V0_alpha_peak_robustness,t=20.0__pf=P2__th=1e-08,t=5.0__pf=P0__th=1e-09,S1,S1,3,0,0.0,0.0,0.0,1.0,1.0,0.0,within_branch
M33_V0_alpha_peak_robustness,t=20.0__pf=P2__th=1e-08,t=5.0__pf=P0__th=1e-09,S1,S1,5,0,0.0,0.0,0.0,1.0,1.0,0.0,within_branch
M33_V0_alpha_peak_robustness,t=40.0__pf=P2__th=1e-09,t=40.0__pf=P3__th=1e-09,S1,S2,1,0,0.0,0.0,0.0,1.0,1.0,0.0,between_branch
M33_V0_alpha_peak_robustness,t=40.0__pf=P2__th=1e-09,t=40.0__pf=P3__th=1e-09,S1,S2,3,1,0.3333333333333333,0.3333333333333333,0.32557037236263164,1.0,1.0,0.32557037236263164,between_branch
M33_V0_alpha_peak_robustness,t=40.0__pf=P2__th=1e-09,t=40.0__pf=P3__th=1e-09,S1,S2,5,2,0.4,0.4,0.32557545117671916,1.0,1.0,0.32557545117671916,between_branch
M33_V0_alpha_peak_robustness,t=40.0__pf=P2__th=1e-09,t=5.0__pf=P0__th=1e-09,S1,S1,1,0,0.0,0.0,0.0,1.0,1.0,0.0,within_branch
M33_V0_alpha_peak_robustness,t=40.0__pf=P2__th=1e-09,t=5.0__pf=P0__th=1e-09,S1,S1,3,3,1.0,1.0,0.6558091969001739,1.0,1.0,0.6558091969001739,within_branch
M33_V0_alpha_peak_robustness,t=40.0__pf=P2__th=1e-09,t=5.0__pf=P0__th=1e-09,S1,S1,5,4,0.8,0.8,0.6558092125408539,1.0,1.0,0.6558092125408539,within_branch
M33_V0_alpha_peak_robustness,t=40.0__pf=P3__th=1e-09,t=5.0__pf=P0__th=1e-09,S2,S1,1,0,0.0,0.0,0.0,1.0,1.0,0.0,between_branch
M33_V0_alpha_peak_robustness,t=40.0__pf=P3__th=1e-09,t=5.0__pf=P0__th=1e-09,S2,S1,3,1,0.3333333333333333,0.3333333333333333,0.32557037236263164,1.0,1.0,0.32557037236263164,between_branch
M33_V0_alpha_peak_robustness,t=40.0__pf=P3__th=1e-09,t=5.0__pf=P0__th=1e-09,S2,S1,5,3,0.6,0.6,0.3255754612949773,1.0,1.0,0.3255754612949773,between_branch
