run_id,case_label_a,case_label_b,branch_a,branch_b,top_k,pair_overlap_count,pair_overlap_fraction_a,pair_overlap_fraction_b,weighted_pair_overlap,case_weight_a,case_weight_b,pair_overlap_weighted_by_case,relation_type,mode,sigma_factor
M33_V0_alpha_peak_robustness,t=20.0__pf=P2__th=1e-08,t=40.0__pf=P2__th=1e-09,S1,S1,3,0,0.0,0.0,0.0,1.0,1.0,0.0,within_branch,pruned,0.5
M33_V0_alpha_peak_robustness,t=20.0__pf=P2__th=1e-08,t=40.0__pf=P2__th=1e-09,S1,S1,5,0,0.0,0.0,0.0,1.0,1.0,0.0,within_branch,pruned,0.5
M33_V0_alpha_peak_robustness,t=20.0__pf=P2__th=1e-08,t=40.0__pf=P3__th=1e-09,S1,S2,1,0,0.0,0.0,0.0,1.0,1.0,0.0,between_branch,pruned,0.5
M33_V0_alpha_peak_robustness,t=20.0__pf=P2__th=1e-08,t=40.0__pf=P3__th=1e-09,S1,S2,3,0,0.0,0.0,0.0,1.0,1.0,0.0,between_branch,pruned,0.5
M33_V0_alpha_peak_robustness,t=20.0__pf=P2__th=1e-08,t=40.0__pf=P3__th=1e-09,S1,S2,5,0,0.0,0.0,0.0,1.0,1.0,0.0,between_branch,pruned,0.5
M33_V0_alpha_peak_robustness,t=20.0__pf=P2__th=1e-08,t=5.0__pf=P0__th=1e-09,S1,S1,1,0,0.0,0.0,0.0,1.0,1.0,0.0,within_branch,pruned,0.5
M33_V0_alpha_peak_robustness,t=20.0__pf=P2__th=1e-08,t=5.0__pf=P0__th=1e-09,S1,S1,3,0,0.0,0.0,0.0,1.0,1.0,0.0,within_branch,pruned,0.5
M33_V0_alpha_peak_robustness,t=20.0__pf=P2__th=1e-08,t=5.0__pf=P0__th=1e-09,S1,S1,5,0,0.0,0.0,0.0,1.0,1.0,0.0,within_branch,pruned,0.5
M33_V0_alpha_peak_robustness,t=40.0__pf=P2__th=1e-09,t=40.0__pf=P3__th=1e-09,S1,S2,1,0,0.0,0.0,0.0,1.0,1.0,0.0,between_branch,pruned,0.5
M33_V0_alpha_peak_robustness,t=40.0__pf=P2__th=1e-09,t=40.0__pf=P3__th=1e-09,S1,S2,3,1,0.3333333333333333,0.3333333333333333,0.03387889036630801,1.0,1.0,0.03387889036630801,between_branch,pruned,0.5
M33_V0_alpha_peak_robustness,t=40.0__pf=P2__th=1e-09,t=40.0__pf=P3__th=1e-09,S1,S2,5,2,0.4,0.4,0.03387889036630803,1.0,1.0,0.03387889036630803,between_branch,pruned,0.5
M33_V0_alpha_peak_robustness,t=40.0__pf=P2__th=1e-09,t=5.0__pf=P0__th=1e-09,S1,S1,1,0,0.0,0.0,0.0,1.0,1.0,0.0,within_branch,pruned,0.5
M33_V0_alpha_peak_robustness,t=40.0__pf=P2__th=1e-09,t=5.0__pf=P0__th=1e-09,S1,S1,3,3,1.0,1.0,0.4900668659782823,1.0,1.0,0.4900668659782823,within_branch,pruned,0.5
M33_V0_alpha_peak_robustness,t=40.0__pf=P2__th=1e-09,t=5.0__pf=P0__th=1e-09,S1,S1,5,4,0.8,0.8,0.4900668659782823,1.0,1.0,0.4900668659782823,within_branch,pruned,0.5
M33_V0_alpha_peak_robustness,t=40.0__pf=P3__th=1e-09,t=5.0__pf=P0__th=1e-09,S2,S1,1,0,0.0,0.0,0.0,1.0,1.0,0.0,between_branch,pruned,0.5
M33_V0_alpha_peak_robustness,t=40.0__pf=P3__th=1e-09,t=5.0__pf=P0__th=1e-09,S2,S1,3,1,0.3333333333333333,0.3333333333333333,0.03387889036630801,1.0,1.0,0.03387889036630801,between_branch,pruned,0.5
M33_V0_alpha_peak_robustness,t=40.0__pf=P3__th=1e-09,t=5.0__pf=P0__th=1e-09,S2,S1,5,3,0.6,0.6,0.03387889036630803,1.0,1.0,0.03387889036630803,between_branch,pruned,0.5
M33_V0_alpha_peak_robustness,t=10.0__pf=P2__th=1e-08,t=2.0__pf=P1__th=1e-09,S3,S2,1,0,0.0,0.0,0.0,1.0,1.0,0.0,between_branch,pruned,0.75
M33_V0_alpha_peak_robustness,t=10.0__pf=P2__th=1e-08,t=2.0__pf=P1__th=1e-09,S3,S2,3,0,0.0,0.0,0.0,1.0,1.0,0.0,between_branch,pruned,0.75
M33_V0_alpha_peak_robustness,t=10.0__pf=P2__th=1e-08,t=2.0__pf=P1__th=1e-09,S3,S2,5,1,0.2,0.2,2.090244025438236e-129,1.0,1.0,2.090244025438236e-129,between_branch,pruned,0.75
M33_V0_alpha_peak_robustness,t=10.0__pf=P2__th=1e-08,t=20.0__pf=P2__th=1e-08,S3,S1,1,0,0.0,0.0,0.0,1.0,1.0,0.0,between_branch,pruned,0.75
M33_V0_alpha_peak_robustness,t=10.0__pf=P2__th=1e-08,t=20.0__pf=P2__th=1e-08,S3,S1,3,0,0.0,0.0,0.0,1.0,1.0,0.0,between_branch,pruned,0.75
M33_V0_alpha_peak_robustness,t=10.0__pf=P2__th=1e-08,t=20.0__pf=P2__th=1e-08,S3,S1,5,0,0.0,0.0,0.0,1.0,1.0,0.0,between_branch,pruned,0.75
M33_V0_alpha_peak_robustness,t=10.0__pf=P2__th=1e-08,t=40.0__pf=P2__th=1e-09,S3,S1,1,0,0.0,0.0,0.0,1.0,1.0,0.0,between_branch,pruned,0.75
M33_V0_alpha_peak_robustness,t=10.0__pf=P2__th=1e-08,t=40.0__pf=P2__th=1e-09,S3,S1,3,1,0.3333333333333333,0.3333333333333333,1.3813114459598101e-90,1.0,1.0,1.3813114459598101e-90,between_branch,pruned,0.75
M33_V0_alpha_peak_robustness,t=10.0__pf=P2__th=1e-08,t=40.0__pf=P2__th=1e-09,S3,S1,5,2,0.4,0.4,1.3813114459598101e-90,1.0,1.0,1.3813114459598101e-90,between_branch,pruned,0.75
M33_V0_alpha_peak_robustness,t=10.0__pf=P2__th=1e-08,t=40.0__pf=P3__th=1e-09,S3,S2,1,1,1.0,1.0,0.8001360816938488,1.0,1.0,0.8001360816938488,between_branch,pruned,0.75
M33_V0_alpha_peak_robustness,t=10.0__pf=P2__th=1e-08,t=40.0__pf=P3__th=1e-09,S3,S2,3,1,0.3333333333333333,0.3333333333333333,0.8001360816938488,1.0,1.0,0.8001360816938488,between_branch,pruned,0.75
M33_V0_alpha_peak_robustness,t=10.0__pf=P2__th=1e-08,t=40.0__pf=P3__th=1e-09,S3,S2,5,3,0.6,0.6,0.8001360816938488,1.0,1.0,0.8001360816938488,between_branch,pruned,0.75
M33_V0_alpha_peak_robustness,t=10.0__pf=P2__th=1e-08,t=5.0__pf=P0__th=1e-09,S3,S1,1,0,0.0,0.0,0.0,1.0,1.0,0.0,between_branch,pruned,0.75
M33_V0_alpha_peak_robustness,t=10.0__pf=P2__th=1e-08,t=5.0__pf=P0__th=1e-09,S3,S1,3,1,0.3333333333333333,0.3333333333333333,1.3813114459598101e-90,1.0,1.0,1.3813114459598101e-90,between_branch,pruned,0.75
M33_V0_alpha_peak_robustness,t=10.0__pf=P2__th=1e-08,t=5.0__pf=P0__th=1e-09,S3,S1,5,2,0.4,0.4,1.3813114459598101e-90,1.0,1.0,1.3813114459598101e-90,between_branch,pruned,0.75
M33_V0_alpha_peak_robustness,t=2.0__pf=P1__th=1e-09,t=20.0__pf=P2__th=1e-08,S2,S1,1,1,1.0,1.0,0.9675496515331752,1.0,1.0,0.9675496515331752,between_branch,pruned,0.75
M33_V0_alpha_peak_robustness,t=2.0__pf=P1__th=1e-09,t=20.0__pf=P2__th=1e-08,S2,S1,3,1,0.3333333333333333,0.3333333333333333,0.9675496515331752,1.0,1.0,0.9675496515331752,between_branch,pruned,0.75
M33_V0_alpha_peak_robustness,t=2.0__pf=P1__th=1e-09,t=20.0__pf=P2__th=1e-08,S2,S1,5,2,0.4,0.4,0.9675496515331752,1.0,1.0,0.9675496515331752,between_branch,pruned,0.75
M33_V0_alpha_peak_robustness,t=2.0__pf=P1__th=1e-09,t=40.0__pf=P2__th=1e-09,S2,S1,1,0,0.0,0.0,0.0,1.0,1.0,0.0,between_branch,pruned,0.75
M33_V0_alpha_peak_robustness,t=2.0__pf=P1__th=1e-09,t=40.0__pf=P2__th=1e-09,S2,S1,3,0,0.0,0.0,0.0,1.0,1.0,0.0,between_branch,pruned,0.75
M33_V0_alpha_peak_robustness,t=2.0__pf=P1__th=1e-09,t=40.0__pf=P2__th=1e-09,S2,S1,5,1,0.2,0.2,1.1449247658401018e-103,1.0,1.0,1.1449247658401018e-103,between_branch,pruned,0.75
M33_V0_alpha_peak_robustness,t=2.0__pf=P1__th=1e-09,t=40.0__pf=P3__th=1e-09,S2,S2,1,0,0.0,0.0,0.0,1.0,1.0,0.0,within_branch,pruned,0.75
M33_V0_alpha_peak_robustness,t=2.0__pf=P1__th=1e-09,t=40.0__pf=P3__th=1e-09,S2,S2,3,0,0.0,0.0,0.0,1.0,1.0,0.0,within_branch,pruned,0.75
M33_V0_alpha_peak_robustness,t=2.0__pf=P1__th=1e-09,t=40.0__pf=P3__th=1e-09,S2,S2,5,0,0.0,0.0,0.0,1.0,1.0,0.0,within_branch,pruned,0.75
M33_V0_alpha_peak_robustness,t=2.0__pf=P1__th=1e-09,t=5.0__pf=P0__th=1e-09,S2,S1,1,0,0.0,0.0,0.0,1.0,1.0,0.0,between_branch,pruned,0.75
M33_V0_alpha_peak_robustness,t=2.0__pf=P1__th=1e-09,t=5.0__pf=P0__th=1e-09,S2,S1,3,0,0.0,0.0,0.0,1.0,1.0,0.0,between_branch,pruned,0.75
M33_V0_alpha_peak_robustness,t=2.0__pf=P1__th=1e-09,t=5.0__pf=P0__th=1e-09,S2,S1,5,1,0.2,0.2,1.1449247658401018e-103,1.0,1.0,1.1449247658401018e-103,between_branch,pruned,0.75
M33_V0_alpha_peak_robustness,t=20.0__pf=P2__th=1e-08,t=40.0__pf=P2__th=1e-09,S1,S1,1,0,0.0,0.0,0.0,1.0,1.0,0.0,within_branch,pruned,0.75
M33_V0_alpha_peak_robustness,t=20.0__pf=P2__th=1e-08,t=40.0__pf=P2__th=1e-09,S1,S1,3,0,0.0,0.0,0.0,1.0,1.0,0.0,within_branch,pruned,0.75
M33_V0_alpha_peak_robustness,t=20.0__pf=P2__th=1e-08,t=40.0__pf=P2__th=1e-09,S1,S1,5,0,0.0,0.0,0.0,1.0,1.0,0.0,within_branch,pruned,0.75
M33_V0_alpha_peak_robustness,t=20.0__pf=P2__th=1e-08,t=40.0__pf=P3__th=1e-09,S1,S2,1,0,0.0,0.0,0.0,1.0,1.0,0.0,between_branch,pruned,0.75
M33_V0_alpha_peak_robustness,t=20.0__pf=P2__th=1e-08,t=40.0__pf=P3__th=1e-09,S1,S2,3,0,0.0,0.0,0.0,1.0,1.0,0.0,between_branch,pruned,0.75
M33_V0_alpha_peak_robustness,t=20.0__pf=P2__th=1e-08,t=40.0__pf=P3__th=1e-09,S1,S2,5,0,0.0,0.0,0.0,1.0,1.0,0.0,between_branch,pruned,0.75
M33_V0_alpha_peak_robustness,t=20.0__pf=P2__th=1e-08,t=5.0__pf=P0__th=1e-09,S1,S1,1,0,0.0,0.0,0.0,1.0,1.0,0.0,within_branch,pruned,0.75
M33_V0_alpha_peak_robustness,t=20.0__pf=P2__th=1e-08,t=5.0__pf=P0__th=1e-09,S1,S1,3,0,0.0,0.0,0.0,1.0,1.0,0.0,within_branch,pruned,0.75
M33_V0_alpha_peak_robustness,t=20.0__pf=P2__th=1e-08,t=5.0__pf=P0__th=1e-09,S1,S1,5,0,0.0,0.0,0.0,1.0,1.0,0.0,within_branch,pruned,0.75
M33_V0_alpha_peak_robustness,t=40.0__pf=P2__th=1e-09,t=40.0__pf=P3__th=1e-09,S1,S2,1,0,0.0,0.0,0.0,1.0,1.0,0.0,between_branch,pruned,0.75
M33_V0_alpha_peak_robustness,t=40.0__pf=P2__th=1e-09,t=40.0__pf=P3__th=1e-09,S1,S2,3,1,0.3333333333333333,0.3333333333333333,0.198312418382969,1.0,1.0,0.198312418382969,between_branch,pruned,0.75
M33_V0_alpha_peak_robustness,t=40.0__pf=P2__th=1e-09,t=40.0__pf=P3__th=1e-09,S1,S2,5,2,0.4,0.4,0.19831242461954568,1.0,1.0,0.19831242461954568,between_branch,pruned,0.75
M33_V0_alpha_peak_robustness,t=40.0__pf=P2__th=1e-09,t=5.0__pf=P0__th=1e-09,S1,S1,1,0,0.0,0.0,0.0,1.0,1.0,0.0,within_branch,pruned,0.75
M33_V0_alpha_peak_robustness,t=40.0__pf=P2__th=1e-09,t=5.0__pf=P0__th=1e-09,S1,S1,3,3,1.0,1.0,0.5484777362058705,1.0,1.0,0.5484777362058705,within_branch,pruned,0.75
M33_V0_alpha_peak_robustness,t=40.0__pf=P2__th=1e-09,t=5.0__pf=P0__th=1e-09,S1,S1,5,4,0.8,0.8,0.5484777362059072,1.0,1.0,0.5484777362059072,within_branch,pruned,0.75
M33_V0_alpha_peak_robustness,t=40.0__pf=P3__th=1e-09,t=5.0__pf=P0__th=1e-09,S2,S1,1,0,0.0,0.0,0.0,1.0,1.0,0.0,between_branch,pruned,0.75
M33_V0_alpha_peak_robustness,t=40.0__pf=P3__th=1e-09,t=5.0__pf=P0__th=1e-09,S2,S1,3,1,0.3333333333333333,0.3333333333333333,0.198312418382969,1.0,1.0,0.198312418382969,between_branch,pruned,0.75
M33_V0_alpha_peak_robustness,t=40.0__pf=P3__th=1e-09,t=5.0__pf=P0__th=1e-09,S2,S1,5,3,0.6,0.6,0.19831242461956944,1.0,1.0,0.19831242461956944,between_branch,pruned,0.75
M33_V0_alpha_peak_robustness,t=10.0__pf=P2__th=1e-08,t=2.0__pf=P1__th=1e-09,S3,S2,1,0,0.0,0.0,0.0,1.0,1.0,0.0,between_branch,pruned,1.0
M33_V0_alpha_peak_robustness,t=10.0__pf=P2__th=1e-08,t=2.0__pf=P1__th=1e-09,S3,S2,3,0,0.0,0.0,0.0,1.0,1.0,0.0,between_branch,pruned,1.0
M33_V0_alpha_peak_robustness,t=10.0__pf=P2__th=1e-08,t=2.0__pf=P1__th=1e-09,S3,S2,5,1,0.2,0.2,4.146005081727976e-73,1.0,1.0,4.146005081727976e-73,between_branch,pruned,1.0
M33_V0_alpha_peak_robustness,t=10.0__pf=P2__th=1e-08,t=20.0__pf=P2__th=1e-08,S3,S1,1,0,0.0,0.0,0.0,1.0,1.0,0.0,between_branch,pruned,1.0
M33_V0_alpha_peak_robustness,t=10.0__pf=P2__th=1e-08,t=20.0__pf=P2__th=1e-08,S3,S1,3,0,0.0,0.0,0.0,1.0,1.0,0.0,between_branch,pruned,1.0
M33_V0_alpha_peak_robustness,t=10.0__pf=P2__th=1e-08,t=20.0__pf=P2__th=1e-08,S3,S1,5,0,0.0,0.0,0.0,1.0,1.0,0.0,between_branch,pruned,1.0
