run_id,case_label,branch_label,mode,sigma_factor,sigma_p_test,t,p_family,theta,source_feature,best_p0,sigma_p_base,best_alpha_source,diversity_group,group_weight,class_mode,class_label,class_rank,sum_contrib_primary,normalized_class_contrib
M33_V0_alpha_peak_robustness,t=20.0__pf=P2__th=1e-08,S1,pruned,0.5,0.5,20.0,P2,1e-08,abs,4.0,1.0,1.42,S1|20.0|P2|abs,1.0,delta_p2,dp2=4,12,2.3714419655459672e-48,4.614160623078737e-41
M33_V0_alpha_peak_robustness,t=20.0__pf=P2__th=1e-08,S1,pruned,0.5,0.5,20.0,P2,1e-08,abs,4.0,1.0,1.42,S1|20.0|P2|abs,1.0,delta_p2,dp2=7,13,6.359772532263374e-61,1.2374332754692324e-53
M33_V0_alpha_peak_robustness,t=20.0__pf=P2__th=1e-08,S1,pruned,0.5,0.5,20.0,P2,1e-08,abs,4.0,1.0,1.42,S1|20.0|P2|abs,1.0,delta_p2,dp2=-20,14,1.8871696386407923e-63,3.671902564852071e-56
M33_V0_alpha_peak_robustness,t=20.0__pf=P2__th=1e-08,S1,pruned,0.5,0.5,20.0,P2,1e-08,abs,4.0,1.0,1.42,S1|20.0|P2|abs,1.0,delta_p2,dp2=15,15,4.6462986398789674e-67,9.040393371911197e-60
M33_V0_alpha_peak_robustness,t=20.0__pf=P2__th=1e-08,S1,pruned,0.5,0.5,20.0,P2,1e-08,abs,4.0,1.0,1.42,S1|20.0|P2|abs,1.0,delta_p2,dp2=16,16,1.1593133452396679e-73,2.2556984590525385e-66
M33_V0_alpha_peak_robustness,t=20.0__pf=P2__th=1e-08,S1,pruned,0.5,0.5,20.0,P2,1e-08,abs,4.0,1.0,1.42,S1|20.0|P2|abs,1.0,delta_p2,dp2=12,17,3.6250065737773403e-90,7.053245592402313e-83
M33_V0_alpha_peak_robustness,t=40.0__pf=P2__th=1e-09,S1,pruned,0.5,0.4,40.0,P2,1e-09,neg,-1.5,0.8,1.42,S1|40.0|P2|neg,1.0,delta_p,dp=-1,1,2.877933400254215e-07,0.9990456140721191
M33_V0_alpha_peak_robustness,t=40.0__pf=P2__th=1e-09,S1,pruned,0.5,0.4,40.0,P2,1e-09,neg,-1.5,0.8,1.42,S1|40.0|P2|neg,1.0,delta_p,dp=-2,2,2.74927956233533e-10,0.0009543847291138176
M33_V0_alpha_peak_robustness,t=40.0__pf=P2__th=1e-09,S1,pruned,0.5,0.4,40.0,P2,1e-09,neg,-1.5,0.8,1.42,S1|40.0|P2|neg,1.0,delta_p,dp=-3,3,3.451491307895848e-16,1.198150468963876e-09
M33_V0_alpha_peak_robustness,t=40.0__pf=P2__th=1e-09,S1,pruned,0.5,0.4,40.0,P2,1e-09,neg,-1.5,0.8,1.42,S1|40.0|P2|neg,1.0,delta_p,dp=-4,4,1.7765040500101184e-19,6.166955008017879e-13
M33_V0_alpha_peak_robustness,t=40.0__pf=P2__th=1e-09,S1,pruned,0.5,0.4,40.0,P2,1e-09,neg,-1.5,0.8,1.42,S1|40.0|P2|neg,1.0,delta_p,dp=-5,5,1.0605402560823028e-24,3.681558757726485e-18
M33_V0_alpha_peak_robustness,t=40.0__pf=P2__th=1e-09,S1,pruned,0.5,0.4,40.0,P2,1e-09,neg,-1.5,0.8,1.42,S1|40.0|P2|neg,1.0,delta_p,dp=-7,6,5.974045112550672e-85,2.0738296332484727e-78
M33_V0_alpha_peak_robustness,t=40.0__pf=P2__th=1e-09,S1,pruned,0.5,0.4,40.0,P2,1e-09,neg,-1.5,0.8,1.42,S1|40.0|P2|neg,1.0,delta_p,dp=-6,7,2.0464120763878785e-87,7.103913555883318e-81
M33_V0_alpha_peak_robustness,t=40.0__pf=P2__th=1e-09,S1,pruned,0.5,0.4,40.0,P2,1e-09,neg,-1.5,0.8,1.42,S1|40.0|P2|neg,1.0,delta_p,dp=-10,8,0.0,0.0
M33_V0_alpha_peak_robustness,t=40.0__pf=P2__th=1e-09,S1,pruned,0.5,0.4,40.0,P2,1e-09,neg,-1.5,0.8,1.42,S1|40.0|P2|neg,1.0,delta_p,dp=-8,9,0.0,0.0
M33_V0_alpha_peak_robustness,t=40.0__pf=P2__th=1e-09,S1,pruned,0.5,0.4,40.0,P2,1e-09,neg,-1.5,0.8,1.42,S1|40.0|P2|neg,1.0,delta_p2,dp2=3,1,2.8720173652228875e-07,0.9969919220547073
M33_V0_alpha_peak_robustness,t=40.0__pf=P2__th=1e-09,S1,pruned,0.5,0.4,40.0,P2,1e-09,neg,-1.5,0.8,1.42,S1|40.0|P2|neg,1.0,delta_p2,dp2=1,2,5.916038440258093e-10,0.0020536932007877
