run_id,mode,sigma_factor,n_cases_effective,pair_within_overlap_top3,pair_between_overlap_top3,delta_p_within_overlap_top3,delta_p_between_overlap_top3,delta_p2_within_overlap_top3,delta_p2_between_overlap_top3,pair_separability_score,delta_p_separability_score,delta_p2_separability_score,dominant_identity_level,robust_identity_label
M33_V0_alpha_peak_robustness,pruned,0.5,6.0,0.12251671649457058,0.1848862940790126,0.24979297472154832,0.09110557605274844,0.12251671649457058,6.383564375384827e-204,-0.06236957758444203,0.15868739866879988,0.12251671649457058,delta_p_class,delta_p2_robust
M33_V0_alpha_peak_robustness,pruned,0.75,6.0,0.13711943405146762,0.19675550636299655,0.2500061623241474,0.10179089607692204,0.13711943405146762,2.511475356290564e-91,-0.059636072311528926,0.14821526624722536,0.13711943405146762,delta_p_class,delta_p2_robust
M33_V0_alpha_peak_robustness,pruned,1.0,6.0,0.1639522992250435,0.19219241530988998,0.25045763520705605,0.13920712338487778,0.16395229922959142,6.428829509207108e-52,-0.028240116084846473,0.11125051182217827,0.16395229922959142,delta_p2_class,delta_p2_robust
M33_V0_alpha_peak_robustness,pruned,1.25,6.0,0.1829623694268938,0.17849070966235833,0.25334068706022544,0.17732280594372196,0.18296238290210703,1.1181502068671469e-33,0.004471659764535479,0.07601788111650348,0.18296238290210703,delta_p2_class,delta_p2_robust
M33_V0_alpha_peak_robustness,pruned,1.5,6.0,0.19301097094400654,0.16691660029620206,0.2598306141714647,0.20199302117096282,0.1930119961196101,9.054163405835525e-24,0.026094370647804482,0.05783759300050187,0.1930119961196101,delta_p2_class,delta_p2_robust
M33_V0_alpha_peak_robustness,pruned,2.0,6.0,0.18389100256544993,0.14641244136903334,0.2804523663177473,0.22725738221090888,0.188987712605874,6.440195820073913e-14,0.0374785611964166,0.0531949841068384,0.1889877126058096,delta_p2_class,delta_p2_robust
M33_V0_alpha_peak_robustness,pruned,3.0,6.0,0.1397167190760994,0.11027835697824541,0.3423143273969864,0.2737105551958604,0.14702525300796673,7.836733053546867e-07,0.029438362097853985,0.06860377220112601,0.14702446933466137,delta_p2_class,delta_p2_robust
M33_V0_alpha_peak_robustness,weighted,0.5,6.0,0.2341964071225343,0.1848862940790126,0.34527386884789674,0.09110557605274844,0.2341964071225343,6.383564375384827e-204,0.0493101130435217,0.2541682927951483,0.2341964071225343,delta_p_class,delta_p2_robust
M33_V0_alpha_peak_robustness,weighted,0.75,6.0,0.2469405969903717,0.19675550636299655,0.34545992348289234,0.10179089607692204,0.2469405969903717,2.511475356290564e-91,0.05018509062737517,0.2436690274059703,0.2469405969903717,delta_p2_class,delta_p2_robust
M33_V0_alpha_peak_robustness,weighted,1.0,6.0,0.27035837023276527,0.19219241530988998,0.3458539361807035,0.13920712338487778,0.2703583702367343,6.428829509207108e-52,0.07816595492287529,0.2066468127958257,0.2703583702367343,delta_p2_class,delta_p2_robust
M33_V0_alpha_peak_robustness,weighted,1.25,6.0,0.28694897695438004,0.17849070966235833,0.3483700541616513,0.17732280594372193,0.28694898871456614,1.1181502068671467e-33,0.10845826729202171,0.17104724821792935,0.28694898871456614,delta_p2_class,delta_p2_robust
M33_V0_alpha_peak_robustness,weighted,1.5,6.0,0.29571866555113296,0.16691660029620206,0.3540339905496419,0.20199302117096282,0.2957195602498416,9.054163405835525e-24,0.1288020652549309,0.15204096937867909,0.2957195602498416,delta_p2_class,delta_p2_robust
M33_V0_alpha_peak_robustness,weighted,2.0,6.0,0.28775942042071323,0.14641244136903334,0.37203115605912485,0.22725738221090888,0.2922074582741742,6.440195820073913e-14,0.1413469790516799,0.14477377384821596,0.2922074582741098,delta_p2_class,delta_p2_robust
M33_V0_alpha_peak_robustness,weighted,3.0,6.0,0.24920725033940583,0.11027835697824541,0.42601977540635616,0.2737105551958604,0.2555856072253992,7.836733053546867e-07,0.13892889336116043,0.15230922021049575,0.25558482355209383,delta_p2_class,delta_p2_robust
