dataset_root,mode,marker_family,marker_name,negative_value,abs_value,delta_negative_minus_abs,winner,comment
/home/ralf-kemmann/Downloads/deBroglie_Kaster_Theorie/debroglie-phase-bridge/debroglie-phase-bridge/results/a1_sign_scan/k0/theta_0.03,alternative,channel,a1_b1_gap_mean,1.25,1.25,0.0,tie,
/home/ralf-kemmann/Downloads/deBroglie_Kaster_Theorie/debroglie-phase-bridge/debroglie-phase-bridge/results/a1_probe/n1a_alpha,baseline,structure,mean_neighbor_count,0.0,0.0,0.0,tie,
/home/ralf-kemmann/Downloads/deBroglie_Kaster_Theorie/debroglie-phase-bridge/debroglie-phase-bridge/results/a1_probe/n1a_alpha,baseline,structure,median_neighbor_count,0.0,0.0,0.0,tie,
/home/ralf-kemmann/Downloads/deBroglie_Kaster_Theorie/debroglie-phase-bridge/debroglie-phase-bridge/results/a1_probe/n1a_alpha,baseline,structure,max_neighbor_count,0.0,0.0,0.0,tie,
/home/ralf-kemmann/Downloads/deBroglie_Kaster_Theorie/debroglie-phase-bridge/debroglie-phase-bridge/results/a1_probe/n1a_alpha,baseline,structure,shell_density_ratio,0.0,0.0,0.0,tie,
/home/ralf-kemmann/Downloads/deBroglie_Kaster_Theorie/debroglie-phase-bridge/debroglie-phase-bridge/results/a1_probe/n1a_alpha,baseline,structure,component_compactness_proxy,0.0,0.0,0.0,tie,
/home/ralf-kemmann/Downloads/deBroglie_Kaster_Theorie/debroglie-phase-bridge/debroglie-phase-bridge/results/a1_probe/n1a_alpha,baseline,weights,weight_mean,1.2509428180631232,1.2509428180631232,0.0,tie,
/home/ralf-kemmann/Downloads/deBroglie_Kaster_Theorie/debroglie-phase-bridge/debroglie-phase-bridge/results/a1_probe/n1a_alpha,baseline,weights,weight_median,1.2509428180631232,1.2509428180631232,0.0,tie,
/home/ralf-kemmann/Downloads/deBroglie_Kaster_Theorie/debroglie-phase-bridge/debroglie-phase-bridge/results/a1_probe/n1a_alpha,baseline,weights,weight_max,1.5018856361262463,1.5018856361262463,0.0,tie,
/home/ralf-kemmann/Downloads/deBroglie_Kaster_Theorie/debroglie-phase-bridge/debroglie-phase-bridge/results/a1_probe/n1a_alpha,baseline,weights,weight_cv,0.20060294878359533,0.20060294878359533,0.0,tie,
