family_id,variant_id,spectral_type,spacing_mean,spacing_std,spacing_cv,spacing_ratio_mean,simple_unfolding_density,simple_rigidity_surrogate,grid_deviation_score,second_difference_curvature
ER1_RING,RING_SIGNED,type_A_ladder,1.2,0.4,0.33333333333333337,0.75,7.199999999999999,0.16,0.20000000000000007,0.5
ER1_RING,RING_ABS,type_A_ladder,0.4,0.48989794855663565,1.2247448713915892,0.0,7.199999999999999,0.24000000000000005,0.19999999999999998,1.0
ER1_RING,RING_DEGEN_SAFE,type_A_ladder,1.2,0.4,0.33333333333333337,0.75,7.199999999999999,0.16,0.20000000000000007,0.5
ER2_CAVITY,CAVITY_STANDARD,type_C_multiindex_structure,0.5842053096316764,0.13758452075231867,0.23550713847339305,0.7924491734087854,9.142857142857142,0.018929500350645206,0.1912257732533279,0.1357485719625339
ER3_MEMBRANE,MEMBRANE_STANDARD,type_C_multiindex_structure,0.892700336457143,0.4582063705162735,0.5132812790625303,0.5027529366967777,9.142857142857142,0.20995307798169652,0.39059233448749975,0.6123529974666656
TD1_1D_BOX,BOX_STANDARD,type_D_regular_nonring,1.0,0.0,0.0,1.0,7.199999999999999,0.0,0.0,0.0
TB2_FINITE_SQUARE_WELL_1D_SWEEP,FSW_DEEP,type_B_quadratic_nontrivial,0.938,0.039698866482558395,0.04232288537586183,0.9708126470527347,7.199999999999999,0.0015759999999999986,0.045000000000000116,0.02749999999999997
TB2_FINITE_SQUARE_WELL_1D_SWEEP,FSW_INTERMEDIATE,type_B_quadratic_nontrivial,0.6779999999999999,0.2125464655081332,0.3134903621063912,0.784786393711743,7.199999999999999,0.04517600000000005,0.24500000000000013,0.1475000000000001
TB2_FINITE_SQUARE_WELL_1D_SWEEP,FSW_SHALLOW,type_B_quadratic_nontrivial,0.458,0.21866869917754578,0.4774425746234624,0.6696110713247809,7.199999999999999,0.04781600000000001,0.25666666666666665,0.15250000000000002
TB3_ANHARMONIC_OSCILLATOR_1D_SWEEP,AO_WEAK,type_B_quadratic_nontrivial,1.1199999999999999,0.05656854249492361,0.05050762722761037,0.9648581463236637,7.199999999999999,0.003199999999999978,0.06666666666666636,0.039999999999999813
TB3_ANHARMONIC_OSCILLATOR_1D_SWEEP,AO_INTERMEDIATE,type_B_quadratic_nontrivial,1.3599999999999999,0.2127909772523261,0.15646395386200448,0.8954282160625444,7.199999999999999,0.045279999999999966,0.24999999999999986,0.1499999999999999
TB3_ANHARMONIC_OSCILLATOR_1D_SWEEP,AO_STRONG,type_B_quadratic_nontrivial,1.8359999999999999,0.535372767331324,0.29159736782751855,0.8126519779976554,7.199999999999999,0.28662399999999993,0.6266666666666664,0.375
