family_id,variant_id,marker_name,strength_mean,strength_ci_low,strength_ci_high,bootstrap_win_fraction,dominance_stable_flag
TB2_FINITE_SQUARE_WELL_1D_SWEEP,FSW_SHALLOW,abs_delta_p,0.6029028574095239,0.5362559762825508,0.7134936863499378,0.0,0
TB2_FINITE_SQUARE_WELL_1D_SWEEP,FSW_SHALLOW,delta_p2,0.5660434916244046,0.44636649198300776,0.681765980450088,0.169,0
TB2_FINITE_SQUARE_WELL_1D_SWEEP,FSW_SHALLOW,abs_delta_p2,0.5641203795362549,0.4459042995934919,0.6797041008931901,0.0,0
TB2_FINITE_SQUARE_WELL_1D_SWEEP,FSW_SHALLOW,delta_E_quad,0.5667011332272187,0.4528981688190404,0.6785540305231105,0.0,0
TB3_ANHARMONIC_OSCILLATOR_1D_SWEEP,AO_WEAK,delta_p,0.5809329856555361,0.4846216294349382,0.6989334378615149,0.526,0
TB3_ANHARMONIC_OSCILLATOR_1D_SWEEP,AO_WEAK,abs_delta_p,0.5814472954461746,0.4861718878363947,0.7183690680543013,0.0,0
TB3_ANHARMONIC_OSCILLATOR_1D_SWEEP,AO_WEAK,delta_p2,0.5751425063029038,0.47140726375250613,0.6900185301348856,0.474,0
TB3_ANHARMONIC_OSCILLATOR_1D_SWEEP,AO_WEAK,abs_delta_p2,0.5753460037438117,0.4732895510920497,0.7094687621713311,0.0,0
TB3_ANHARMONIC_OSCILLATOR_1D_SWEEP,AO_WEAK,delta_E_quad,0.5707113034435431,0.45865960809917755,0.6895153946116527,0.0,0
TB3_ANHARMONIC_OSCILLATOR_1D_SWEEP,AO_INTERMEDIATE,delta_p,0.59175039761273,0.5163227773624158,0.6988675893686619,0.749,1
TB3_ANHARMONIC_OSCILLATOR_1D_SWEEP,AO_INTERMEDIATE,abs_delta_p,0.5917970779265275,0.5133405568305699,0.7093744807432785,0.0,0
TB3_ANHARMONIC_OSCILLATOR_1D_SWEEP,AO_INTERMEDIATE,delta_p2,0.5598407757203668,0.42979588234408167,0.69583445077809,0.251,0
TB3_ANHARMONIC_OSCILLATOR_1D_SWEEP,AO_INTERMEDIATE,abs_delta_p2,0.5575985643385866,0.4300941038503811,0.7044197434000838,0.0,0
TB3_ANHARMONIC_OSCILLATOR_1D_SWEEP,AO_INTERMEDIATE,delta_E_quad,0.5594923129994354,0.4320346804640139,0.6820602920445925,0.0,0
TB3_ANHARMONIC_OSCILLATOR_1D_SWEEP,AO_STRONG,delta_p,0.5933026723434607,0.5235294739795805,0.7084470857582816,0.866,1
TB3_ANHARMONIC_OSCILLATOR_1D_SWEEP,AO_STRONG,abs_delta_p,0.5941519761030482,0.5190420852579853,0.7038884975396341,0.0,0
TB3_ANHARMONIC_OSCILLATOR_1D_SWEEP,AO_STRONG,delta_p2,0.5305328720259562,0.3699678344442804,0.6749259539982215,0.134,0
TB3_ANHARMONIC_OSCILLATOR_1D_SWEEP,AO_STRONG,abs_delta_p2,0.5244703422076342,0.356808070586468,0.6868108544955414,0.0,0
TB3_ANHARMONIC_OSCILLATOR_1D_SWEEP,AO_STRONG,delta_E_quad,0.5264918885866322,0.35611980772510426,0.6844603939504957,0.0,0
